"kodeunit","tanggal","nourut","noinput","kelompok","noaktiva","noaktivab","tarifpct","nmaktiva","kdafd","kdbud","norek","norekl","tglbeli","nobukti","tglbukti","leveransir","jmlunit","jmlunit1","satuan","nilaiperolehan","nilaipenyusutan","nilaipenyusutan_thl","nilaipenyusutan_sbl","nilaikoreksipenyusutan","kelompokaset","thntnm","statedit",
"13","31-12-2016 00:00:00","001","SUT201612-00001","008","1300800171","","0","MESIN PETIK TEH MERK OCHIAI (N8 NEW ZZ)","02","02","008010000","080010300","30-04-2012 00:00:00","","01-01-1900 00:00:00","","0","0","UNIT","0","1825011","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","002","SUT201612-00001","008","1300800172","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW ZZ)","02","02","008010000","080010300","31-05-2012 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","4866653","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","003","SUT201612-00001","008","1300800173","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","30-06-2012 00:00:00","","01-01-1900 00:00:00","","0","0","UNIT","0","6083320","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","004","SUT201612-00001","008","1300800174","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","30-06-2012 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","6083320","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","005","SUT201612-00001","008","1300800175","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","30-06-2012 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","6083320","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","006","SUT201612-00001","008","1300800177","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","31-12-2012 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","6379999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","007","SUT201612-00001","008","1300800180","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","31-01-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","7300011","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","008","SUT201612-00001","008","1300800076","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","28-02-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","23724997","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","009","SUT201612-00001","008","1300800077","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","28-02-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","7908344","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","010","SUT201612-00001","008","1300800183","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","31-03-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","8516677","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","011","SUT201612-00001","008","1300800184","","0","MESIN PETIK TEH MERK KAWASAKI SV-120H","02","02","008010000","080010300","31-03-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","16239998","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","012","SUT201612-00001","008","1300800185","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","31-03-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","17033320","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","013","SUT201612-00001","008","1300800078","","0","MESIN PETIK TEH MERK KAWASAKI SV-120H","02","02","008010000","080010300","30-04-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","8699999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","014","SUT201612-00001","008","1300800079","","0","MESIN PETIK TEH MERK KAWASAKI SV-120H","02","02","008010000","080010300","30-04-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","8699999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","015","SUT201612-00001","008","1300800080","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","30-04-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","27374997","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","016","SUT201612-00001","008","1300800081","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","31-05-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","9733343","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","017","SUT201612-00001","008","1300800186","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","31-05-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","9279999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","018","SUT201612-00001","008","1300800187","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","31-05-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","29199997","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","019","SUT201612-00001","008","1300800188","","0","MESIN PETIK TEH MERK OCHIAI (V8 NEW Z.2)","02","02","008010000","080010300","31-05-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","9279999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","020","SUT201612-00001","008","1300800083","","0","MESIN PETIK TEH MERK OCHIAI","02","02","008010000","080010300","30-09-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","11599999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","021","SUT201612-00001","008","1300800192","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","30-09-2013 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","12166675","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","022","SUT201612-00001","008","1300800193","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","28-02-2014 00:00:00","","31-12-2016 00:00:00","","0","0","UNIT","0","14499999","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","023","SUT201612-00001","008","1300800194","","0","MESIN PETIK TEH MERK KAWASAKI","02","02","008010000","080010300","28-02-2014 00:00:00","","01-01-1900 00:00:00","","0","0","UNIT","0","28533344","0","0","0","04","0","False",
"13","31-12-2016 00:00:00","001","TBM201612-00001","002","1300200002","","0","TBM TEH TAHUN TANAM 2013","11","02","002000000","042200000","01-06-2013 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","575605222","0","0","0","0","04","2013","False",
"13","31-12-2016 00:00:00","002","TBM201612-00001","002","1300200003","","0","TBM TEH TAHUN TANAM 2014","10","02","002000000","042200000","31-10-2014 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","619155869","0","0","0","0","04","2014","False",
"13","31-12-2016 00:00:00","003","TBM201612-00001","002","1300200004","","0","TBM JERUK TAHUN TANAM 2012","10","37","002000000","042200000","31-12-2012 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","5373794","0","0","0","0","04","2012","False",
"13","31-12-2016 00:00:00","004","TBM201612-00001","002","1300200005","","0","TBM KOPI TAHUN TANAM 2013","14","36","002000000","042200000","31-08-2013 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","64105383","0","0","0","0","04","2013","False",
"13","31-12-2016 00:00:00","001","SUT201612-00002","002","1300200004","","0","TBM JERUK TAHUN TANAM 2012","10","37","002000000","080010300","31-12-2012 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","0","82179934","0","0","0","04","0","False",
