"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","601050200","1935","2000","","MENYIANG DENGAN KIMIA","","D","568000","8","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","604010601","0200","","","PEMEL. TUNGKU RUANG BAKAR","","D","3125000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1927","1600","","BLISTER BLIGHT","","D","377487,416794986","6,3","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601070500","1927","1100","","PEMUPUKAN DAUN LAINNYA","","D","2269389,46336992","566","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","602130000","","2900","","ALAT PERLENGKAPAN PANEN","","D","6305730,35471713","681","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","605040000","0200","","","BARANG BAHAN PELENGKAP","","D","1581839,36226749","1,92","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","143000010","","","","ASEP HENDI","","K","2705336","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","042050103","2014","","","KORED","","D","2163718","5,64","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","157030000","D835PN","","","BIAYA SPD","","D","88800","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","404060000","","","","I.D.P.","","D","24009","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","168030000","D8087YI","","","JAMSOSTEK NONSTAF TERHUTANG","","K","2499588","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","300020201","2010","","","HERBISIDA","","K","16455,93","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300150000","D1462EE","","","SUKU CADANG KENDARAAN","","K","58265617","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","603040100","0200","","","UPAH DAN BIAYA SOSIAL SORTASI TETAP","","K","58099060","22880","CLOSING","07-12-2016 10:01:58","01",
"13","31-12-2016 00:00:00","JLL201612-00012","JLL/12/XII/2016","CADANGAN TUNJANGAN CUTI","001","02","02","403020000","","","","Pemb.tunj.cuti periode bulan DESEMBER 2016 Karpim Umum","L","D","4870169","0","arifin","31-12-2016 20:47:08","01",
"13","31-12-2016 00:00:00","JLL201612-00012","JLL/12/XII/2016","CADANGAN TUNJANGAN CUTI","002","02","02","600000101","0200","","","Pemb.tunj.cuti periode bulan DESEMBER 2016 Karpim Tanaman","L","D","7681526","0","arifin","31-12-2016 20:47:08","01",
"13","31-12-2016 00:00:00","JLL201612-00012","JLL/12/XII/2016","CADANGAN TUNJANGAN CUTI","003","02","02","600000201","0200","","","Pemb.tunj.cuti periode bulan DESEMBER 2016 Karpim Pengolahan","L","D","8223380","0","arifin","31-12-2016 20:47:08","01",
"13","31-12-2016 00:00:00","JLL201612-00012","JLL/12/XII/2016","CADANGAN TUNJANGAN CUTI","004","02","02","404030000","","","","Pemb.tunj.cuti periode bulan DESEMBER 2016 Karpel I biaya umum","L","D","7288878","0","arifin","31-12-2016 20:47:08","01",
