"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"13","29-12-2016 00:00:00","A53201612-V00055","A53201612-00055","02","","300150000","01505111","","","B","Penerimaan 1 PER DEPAN COLT DIESEL 2014 NO.3","0","530000","0","TUP",
"13","22-12-2016 00:00:00","A53201612-V00029","A53201612-00029","02","","300160000","01600316","","","B","Penerimaan 20 GARPU RABUK","0","3045000","0","TUP",
"13","29-12-2016 00:00:00","A53201612-V00060","A53201612-00060","02","","300160000","01600964","","","B","Penerimaan 1000 KARUNG BEKAS","0","3000000","0","TUP",
"13","29-12-2016 00:00:00","A53201612-V00052","A53201612-00052","02","","300190000","01900152","","","B","Penerimaan 24 BENANG JAHIT U/KARUNG","0","211200","0","TUP",
"13","17-12-2016 00:00:00","A53201612-V00017","A53201612-00017","02","","300190000","01902103","","","B","Penerimaan 500 BEKATUL","0","2250000","0","TUP",
"13","17-12-2016 00:00:00","A53201612-V00017","A53201612-00017","02","","300190000","01902186","","","B","Penerimaan 100 RUMPUT LAUT","0","3000000","0","TUP",
"13","17-12-2016 00:00:00","A53201612-V00017","A53201612-00017","02","","300190000","01902187","","","B","Penerimaan 100 SUSU MURNI","0","750000","0","TUP",
"13","17-12-2016 00:00:00","A53201612-V00017","A53201612-00017","02","","300190000","01902188","","","B","Penerimaan 50 AIR KELAPA","0","87500","0","TUP",
"13","17-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300190000","01902242","","","B","Penerimaan 150 DEKOMPOSER","0","8250000","0","TUP",
"13","22-12-2016 00:00:00","A53201612-V00030","A53201612-00030","02","","300110000","01100202","","","B","Penerimaan 2 ANGKERLAK","0","178000","0","TUP",
"13","22-12-2016 00:00:00","A53201612-V00030","A53201612-00030","02","","300110000","01100241","","","B","Penerimaan 1 TINOL","0","119000","0","TUP",
"13","22-12-2016 00:00:00","A53201612-V00030","A53201612-00030","02","","300060000","00600273","","","B","Penerimaan 6 ISOLASI SLANG 4 MM","0","34500","0","TUP",
"13","22-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300060000","00600311","","","B","Penerimaan 10 KABEL NYM 3 X 1,5 MM","0","187500","0","TUP",
"13","29-12-2016 00:00:00","A53201612-V00050","A53201612-00050","02","","300060000","00600313","","","B","Penerimaan 20 KABEL NYM 3 X 2.5 MM","0","375000","0","TUP",
"13","29-12-2016 00:00:00","A53201612-V00056","A53201612-00056","02","","300060000","00600313","","","B","Penerimaan 15 KABEL NYM 3 X 2.5 MM","0","281250","0","TUP",
