"Tahun","KodeBarang","NamaBarang","Tr1","Tr2","Tr3","Tr4",
"2014","00202282","TAMACRON 500 EC","0,00","0,00","194000,00","0,00",
"2014","00202505","METION 500 EC","0,00","0,00","187500,00","0,00",
"2014","00202913","ETHREEL 480 PGR","0,00","0,00","487000,00","0,00",
"2014","00202206","FENVAL 25 EC","0,00","0,00","102000,00","0,00",
"2014","01504858","BAN GOODYEAR UK.750 X 16  - EXTRA GRIF","1978000,00","2057000,00","0,00","0,00",
"2014","00202118","TUNTAS","43750,00","0,00","44300,00","0,00",
"2014","00202601","AGRISTIK","74000,00","73500,00","73500,00","0,00",
"2014","00202241","RATGONE","38750,00","0,00","0,00","0,00",
"2014","00201202","GROWTONE","320000,00","0,00","0,00","0,00",
"2014","00202259","MITISUN","169500,00","168500,00","168500,00","0,00",
"2014","00202234","BETA","99000,00","105500,00","105500,00","0,00",
"2014","00202222","WINDER","639000,00","0,00","0,00","0,00",
"2014","00202303","NORDOK","186000,00","185500,00","185500,00","0,00",
"2014","00202116","BIO UP 490 SL","50250,00","50000,00","50000,00","0,00",
"2014","00202227","IMIDA PLUS","287500,00","0,00","408000,00","0,00",
"2014","00202333","ENDOHEVEA","4500,00","0,00","0,00","0,00",
"2014","00202119","SEE TOP","61000,00","60800,00","60800,00","0,00",
"2014","00202232","BRAVO 50 EC","70000,00","0,00","0,00","0,00",
"2014","00202307","DANVIL","110000,00","0,00","0,00","0,00",
"2014","00202721","APLIKATOR LET I SYSTEM","114000,00","0,00","0,00","0,00",
"2014","00202702","ETHREL 10 LS","62675,00","0,00","0,00","0,00",
"2014","00202715","VITAMIN KARET PLUS","380000,00","0,00","0,00","0,00",
"2014","01600318","GAS LATENE","8000,00","0,00","0,00","0,00",
"2014","00201147","PMLT-TOP","1700,00","0,00","0,00","0,00",
"2014","00202905","KARDAN 50 SP","147500,00","0,00","0,00","0,00",
"2014","00202265","TALSTAR 25 EC","134000,00","144000,00","144000,00","0,00",
"2014","00202911","BACTROCYN 150 AL","618000,00","0,00","0,00","0,00",
"2014","01200228","KANTONG TEA SAMPLE (BARU)","380,00","377,00","0,00","0,00",
"2014","01200583","STIKER TEA SAMPLE BARU","80,00","80,00","0,00","0,00",
"2014","01200573","PLASTIK SUNGKUP","46800,00","49400,00","0,00","0,00",
"2014","01200324","KARUNG BAGOR 120CM X 80CM","3450,00","3400,00","0,00","0,00",
"2014","01200112","PLASTIK INNER UK. 120CM X 80CM","1350,00","1300,00","0,00","0,00",
"2014","01200581","LAKBAN PAPER SACK","30500,00","31500,00","0,00","0,00",
