"kode","kdmutuklas","score","indexbobot",
"MUTU","03","95% s/d <98%","0,7",
"MUTU","04","90% s/d <95%","0,6",
"KLAS","A1","425 - 500","100",
"KLAS","A2","375 - 424","75",
"KLAS","A3","300 - 374","50",
"KLAS","A4","<300","0",
"KLAS","B1","425 - 500","75",
"KLAS","B2","375 - 424","56,25",
"KLAS","B3","300 - 374","37,5",
"KLAS","B4","<300","0",
"KLAS","C1","425 - 500","50",
"KLAS","C2","375 - 424","37,5",
"KLAS","C3","300 - 374","25",
"KLAS","C4","<300","0",
"KLAS","D1","NO SCORE","0",
"MUTU","","","0",
"KLAS","","","0",
"MUTU","01","100%","0,9",
"MUTU","02","98% s/d <100%","0,8",
