"norek","uraian",
"05000","PESEMAIAN KARET,TEH",
"05001","PESEMAIAN KINA",
"05002","PESEMAIAN TEGAKAN KARET",
"05003","PESEMAIAN POLYBAG KARET",
"05004","PESEMAIAN PRE NURSERY SAWIT",
"05005","PERSEMAIAN MAIN NURSERY SAWIT",
"05006","PESEMAIAN KAKAO",
"05008","PEMBUATAN PESEMAIAN ENTRES KARET",
"05009","PEMELIHARAN PESEMAIAN ENTRES KARET",
"05200","TAKELING KARET",
"05201","TAKELING MAHONI",
"05202","TAKELING SUREN",
"05203","TAKELING ALBAZIA",
"05204","TAKELING SUCIRUBRA",
"05205","TAKELING LAINNYA",
"05601","DEMPLOT CASSAVA",
"05602","BATANG BAWAH CASSAVA",
"05603","BATANG ATAS CASSAVA",
"05701","TTI JARAK PAGAR",
"05702","TBM JARAK PAGAR",
"05703","TM JARAK PAGAR",
"05801","PESEMAIAN KKE",
"05802","TTI KKE",
"05803","TBM KKE",
