"kdjabatan","uraian",
"082002320","Petugas Gudang",
"090301000","Kepala Bagian SPI",
"070200010","Calon Staf Bidang Administrasi",
"070201100","Kepala Sub Seksi Asuhan Keperawatan (Askep)",
"070202100","Kepala Sub Seksi Profesi SDM Keperawatan",
"070202101","Kepala Subsie Logistik Keperawatan",
"070203002","Kepala Ruangan",
"070203100","Wakil Kepala Ruangan",
"070203101","Kepala Jaga/Rawat Inap",
"070203102","JTU Perincian Pemulangan Pasien",
"070203103","Wakil Kepala Rawat Inap",
"070203201","Perawat Rawat Inap",
"070203202","Pembantu Perawatan Inap",
"070203203","Karyawan Adsi Perawatan",
"000000000","DIREKTUR UTAMA",
"000010000","DIREKTUR OPERASIONAL",
"000030000","DIREKTUR KOMERSIL",
"000100000","DIREKTUR KEUANGAN",
"000200000","DIREKTUR SDM & UMUM",
"000300000","DIREKTUR PRODUKSI",
"000300001","Staf Ahli Direktur Produksi",
"000310000","DIREKTUR KOMODITI TEH",
"000400000","DIREKTUR PEMASARAN",
"000410000","DIREKTUR KOMODITI NON TEH",
"000500000","DIREKTUR PENGEMBANGAN",
"000510000","DIREKTUR INDUSTRI HILIR",
"000600000","Kuasa Direksi",
"000700000","Kepala Bagian Litbang",
"000800000","Dewan Komisaris",
"000900000","Anggota Dewan Pembina Pusat Penel.Perk.",
"001000000","Anggota Dewan Pusat PTP.CL.New York",
"001100000","Manajer dpk BUMN Hijau",
"001200000","Manajer dpk Bionusa",
"001300000","Manajer dpk KPB",
"001400000","Staf Khusus Proyek High Speed Railway (H",
"010000000","SEKRETARIS PERUSAHAAN",
"010000001","KEPALA BAGIAN SEKRETARIAT PERUSAHAAN",
"010000100","Kepala Urusan Sekretariat",
"010000101","Kasubag Sekretariat & Humas",
"010000110","Staf Urs.Sekretariat",
"010000111","Calon Staf Urs Sekretariat",
"010000112","Staf Subag Sekretariat & Humas",
"010000120","Karyawan Urs.Sekretariat",
"010000121","Kary.Subag Sekretariat & Humas",
"010000200","Kepala Urusan Hubungan Masyarakat",
"010000210","Staf Urs.Hubungan Masyarakat",
"010000220","Karyawan Urs.Hubungan Masyarakat",
"010000300","Kaur GCG dan Risk Management",
"010000305","Pjs. Kaur GCG dan Risk Management",
"010000306","Kasubag GCG dan Risk Management",
