"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Jawa Barat","Kab.","Cianjur","Leles","43273",
"Jawa Barat","Kab.","Kuningan","Lebakwangi","45574",
"Jawa Barat","Kab.","Indramayu","Arahan","45365",
"Jawa Barat","Kota","Bandung","Arcamanik","40293 - 40294",
"Jawa Barat","Kab.","Majalengka","Argapura","45462",
"Jawa Barat","Kab.","Bandung","Arjasari","40379",
"Jawa Barat","Kab.","Cirebon","Arjawinangun","45162",
"Jawa Barat","Kota","Bandung","Astana Anyar","40241 - 40243",
"Jawa Barat","Kab.","Cirebon","Astanajapura","45181",
"Jawa Barat","Kab.","Cirebon","Babakan","45191",
"Jawa Barat","Kota","Bandung","Babakan Ciparay","40221 - 40227",
"Jawa Barat","Kab.","Bogor","Babakan Madang","16810",
"Jawa Barat","Kab.","Purwakarta","Babakancikao","41151",
"Jawa Barat","Kab.","Bekasi","Babelan","17610",
"Jawa Barat","Kab.","Bandung","Baleendah","40258 - 40375",
"Jawa Barat","Kab.","Indramayu","Balongan","45217 - 45285",
"Jawa Barat","Kota","Bandung","Bandung Kidul","40256 - 40287",
"Jawa Barat","Kota","Bandung","Bandung Kulon","40211 - 40215",
"Jawa Barat","Kota","Bandung","Bandung Wetan","40114 - 40116",
"Jawa Barat","Kab.","Indramayu","Bangodua","45272",
"Jawa Barat","Kota","Banjar","Banjar","46311 - 46321",
"Jawa Barat","Kab.","Bandung","Banjaran","40377",
"Jawa Barat","Kab.","Majalengka","Banjaran","45468",
"Jawa Barat","Kab.","Ciamis","Banjarsari","46383",
"Jawa Barat","Kab.","Garut","Banjarwangi","44172",
"Jawa Barat","Kota","Bekasi","Bantar Gebang","17151 - 17154",
"Jawa Barat","Kab.","Sukabumi","Bantargadung","43363",
"Jawa Barat","Kab.","Tasikmalaya","Bantarkalong","46168 - 46188",
"Jawa Barat","Kab.","Majalengka","Bantarujeg","45464",
"Jawa Barat","Kab.","Garut","Banyuresmi","44191",
"Jawa Barat","Kab.","Karawang","Banyusari","41374",
"Jawa Barat","Kab.","Ciamis","Baregbeg","46274",
"Jawa Barat","Kota","Sukabumi","Baros","43161 - 43166",
"Jawa Barat","Kab.","Bandung Barat","Batujajar","40561",
"Jawa Barat","Kab.","Karawang","Batujaya","41354",
"Jawa Barat","Kota","Bandung","Batununggal","40271 - 40275",
"Jawa Barat","Kab.","Garut","Bayongbong","44162",
"Jawa Barat","Kab.","Cirebon","Beber","45172",
"Jawa Barat","Kota","Depok","Beji","16421 - 16426",
"Jawa Barat","Kota","Bekasi","Bekasi Barat","17133 - 17145",
"Jawa Barat","Kota","Bekasi","Bekasi Selatan","17141 - 17148",
"Jawa Barat","Kota","Bekasi","Bekasi Timur","17111 - 17113",
"Jawa Barat","Kota","Bekasi","Bekasi Utara","17121 - 17142",
"Jawa Barat","Kab.","Subang","Binong","41253",
"Jawa Barat","Kab.","Subang","Blanakan","41259",
"Jawa Barat","Kab.","Garut","Blubur Limbangan","44186",
"Jawa Barat","Kota","Bogor","Bogor Barat - Kota","16111 - 16119",
"Jawa Barat","Kab.","Subang","Cisalak","41283",
"Jawa Barat","Kab.","Bandung Barat","Cisarua","40551",
"Jawa Barat","Kab.","Bogor","Cisarua","16750",
"Jawa Barat","Kab.","Sumedang","Cisarua","45355",
"Jawa Barat","Kab.","Tasikmalaya","Cisayong","46153",
"Jawa Barat","Kab.","Bogor","Ciseeng","16120",
"Jawa Barat","Kab.","Garut","Cisewu","44166",
"Jawa Barat","Kab.","Sumedang","Cisitu","45363",
"Jawa Barat","Kab.","Sukabumi","Cisolok","43366",
"Jawa Barat","Kab.","Garut","Cisompet","44174",
"Jawa Barat","Kab.","Garut","Cisurupan","44163",
"Jawa Barat","Kota","Sukabumi","Citamiang","43141 - 43145",
"Jawa Barat","Kab.","Bogor","Citeureup","16810",
"Jawa Barat","Kab.","Cirebon","Ciwaringin","45167",
"Jawa Barat","Kab.","Kuningan","Ciwaru","45583",
"Jawa Barat","Kab.","Bandung","Ciwidey","40973",
"Jawa Barat","Kota","Bandung","Coblong","40131 - 40135",
"Jawa Barat","Kab.","Subang","Compreng","41258",
"Jawa Barat","Kab.","Sumedang","Conggeang","45391",
"Jawa Barat","Kab.","Cianjur","Cugenang","43252",
"Jawa Barat","Kab.","Tasikmalaya","Culamega","46188",
"Jawa Barat","Kab.","Sukabumi","Curugkembar","43182",
"Jawa Barat","Kab.","Purwakarta","Darangdan","41163",
"Jawa Barat","Kab.","Kuningan","Darma","45562",
"Jawa Barat","Kab.","Sumedang","Darmaraja","45372",
"Jawa Barat","Kab.","Majalengka","Dawuan","45453",
"Jawa Barat","Kab.","Subang","Dawuan","41271",
"Jawa Barat","Kab.","Bandung","Dayeuhkolot","40238 - 40267",
"Jawa Barat","Kab.","Cirebon","Depok","45155",
"Jawa Barat","Kab.","Bogor","Dramaga","16680",
"Jawa Barat","Kab.","Cirebon","Dukupuntang","45652",
"Jawa Barat","Kab.","Indramayu","Gabuswetan","45263",
"Jawa Barat","Kab.","Sumedang","Ganeas","45356",
"Jawa Barat","Kab.","Indramayu","Gantar","45264",
"Jawa Barat","Kab.","Kuningan","Garawangi","45571 - 45572",
"Jawa Barat","Kab.","Garut","Garut Kota","44111 - 44119",
"Jawa Barat","Kab.","Cirebon","Gebang","45191",
"Jawa Barat","Kota","Bandung","Gedebage","40294",
"Jawa Barat","Kab.","Sukabumi","Geger Bitung","43154 - 43197",
"Jawa Barat","Kab.","Cirebon","Gegesik","45164",
"Jawa Barat","Kab.","Cianjur","Gekbrong","43261",
"Jawa Barat","Kab.","Cirebon","Gempol","45161",
"Jawa Barat","Kab.","Cirebon","Greged (Greget)","45172 - 45181",
"Jawa Barat","Kab.","Sukabumi","Gunung Guruh","43156",
"Jawa Barat","Kab.","Cirebon","Gunung Jati (Cirebon Utara)","45151",
"Jawa Barat","Kab.","Bogor","Gunung Putri","16960 - 16969",
"Jawa Barat","Kota","Sukabumi","Gunung Puyuh","43121 - 43123",
"Jawa Barat","Kab.","Bogor","Gunung Sindur","16340",
"Jawa Barat","Kab.","Tasikmalaya","Gunung Tanjung","46418",
"Banten","Kab.","Lebak","Cimarga","42361",
"Banten","Kab.","Lebak","Cipanas","42372",
