"kodepdp","nourut","namapdp","nobukti",
"00101","01","Gaji","GJI-00101",
"00102","01","Tunjangan Tetap","GJI-00102",
"00103","01","Tunjangan Khusus","GJI-00103",
"00104","01","Tunj.Jamsostek & BPJS Bbn.Persh.","GJI-00104",
"00105","01","Tunj.Dapenbun","GJI-00105",
"00106","01","Tunjangan Trans.Sepeda Motor","GJI-00106",
"00108","01","Rapel","GJI-00108",
"00109","01","Lain-Lain","GJI-00109",
"00112","01","Tunjangan PPIP","GJI-00112",
"00115","01","Tunjangan Peralihan","GJI-00115",
"00201","01","Tunjangan Sansos","GJI-00201",
"00202","01","Tunjangan Struktural","GJI-00202",
"00203","01","Tunjangan Jabatan","GJI-00203",
"00204","01","Reward dan Punishment Manajemen","GJI-00204",
"00301","01","Potongan Jamsostek & BPJS","GJI-00301",
"00302","01","Potongan Dapenbun","GJI-00302",
"00303","01","Pinjaman Peg.Staf","GJI-00303",
"00304","01","Potongan Koperasi","GJI-00304",
"00305","01","Potongan PPIP","GJI-00305",
"00401","01","Tunjangan PPH Ps.21","GJI-00401",
"00402","01","Potongan PPH Ps.21","GJI-00402",
"10101","01","Gaji","GJI-10101",
"10102","01","Tunjangan Tetap","GJI-10102",
"10104","01","Tunj.Jamsostek & BPJS Bbn.Persh.","GJI-10104",
"10105","01","Tunj.Dapenbun Bbn.Persh.","GJI-10105",
"10108","01","Rapel","GJI-10108",
"10109","01","Lain-Lain","GJI-10109",
"10110","01","Premi Panen - Mandor","GJI-10110",
"10111","01","Premi MB,Bongkar, dll","GJI-10111",
"10112","01","Tunjangan PPIP","GJI-10112",
"10116","01","Tunj.BPJS Kesehatan Bbn.Persh.","GJI-10116",
"10201","01","Tunjangan Sansos","GJI-10201",
"10202","01","Tunjangan Struktural","GJI-10202",
"10203","01","Tunjangan Jabatan","GJI-10203",
"10301","01","Potongan Jamsostek & BPJS","GJI-10301",
"10302","01","Potongan Dapenbun","GJI-10302",
"10303","01","Potongan Kebun","GJI-10303",
"10304","01","Potongan Koperasi","GJI-10304",
"10305","01","Potongan PPIP","GJI-10305",
"10401","01","Tunjangan PPH Ps.21","GJI-10401",
"10402","01","Potongan PPH Ps.21","GJI-10402",
"20101","01","Upah Harian","GJI-20101",
"20102","01","Upah Borong","GJI-20102",
"20103","01","Upah Sosial","GJI-20103",
"20104","01","Selisih MKG","GJI-20104",
"20105","01","Tunj.Jamsostek & BPJS Bbn.Persh.","GJI-20105",
"20106","01","Tunj.Jamsostek & BPJS Bbn.Prib.","GJI-20106",
"20107","01","Tunj.Dapenbun Bbn.Persh.","GJI-20107",
"20108","01","Tunj.Dapenbun Bbn.Prib.","GJI-20108",
"20109","01","Rapel","GJI-20109",
"20110","01","Premi/Lembur","GJI-20110",
"20111","01","Premi Panen Karet","GJI-20111",
"20112","01","Premi Panen Mandor","GJI-20112",
"20113","01","Premi Bongkar, dll","GJI-20113",
"20114","01","Kulir Metik/Recovery","GJI-20114",
"20115","01","Sadap Libur Resmi","GJI-20115",
"20116","01","Tunj.BPJS Kesehatan","GJI-20116",
"20201","01","Sansos","GJI-20201",
"20301","01","Potongan Jamsostek & BPJS","GJI-20301",
"20302","01","Potongan Dapenbun","GJI-20302",
"20303","01","Potongan Kebun","GJI-20303",
"20304","01","Potongan Koperasi","GJI-20304",
"20305","02","Potongan Dapenbun Bbn.Persh.","GJI-20305",
"20306","01","Potongan BPJS Kesehatan","GJI-20306",
"20401","01","Tunjangan PPH Ps.21","GJI-20401",
"20402","01","Potongan PPH Ps.21","GJI-20402",
"30101","01","Upah Harian","GJI-30101",
"30102","01","Upah Borong","GJI-30102",
"30103","01","Sansos","GJI-30103",
"30109","01","Rapel","GJI-30109",
"30110","01","Premi/Lembur","GJI-30110",
"30111","01","Premi Panen Karet","GJI-30111",
"30112","01","Premi Panen Mandor","GJI-30112",
"30113","01","Premi Bongkar, dll","GJI-30113",
"30114","01","Kulir Metik/Recovery","GJI-30114",
"30115","01","Sadap Libur Resmi","GJI-30115",
"30303","01","Potongan Kebun","GJI-30303",
"30304","01","Potongan Koperasi","GJI-30304",
"40101","01","Upah Kerja SPK","GJI-40101",
"40102","01","Upah Honorer","GJI-40102",
"40402","01","Potongan PPH Ps.21","GJI-40402",
"60101","01","Premi Kulir/Lain2 Tetap","GJI-60101",
"60102","02","Premi Kulir/Lain2 Lepas","GJI-60102",
