"Grup","urut","kode","uraian",
"01","1","","Gaji dan Tunjangan",
"01","101","K0101","Gaji",
"01","102","K0201","Sansos",
"01","103","K0103","Struktural/Khusus",
"01","104","K0203","Jabatan",
"01","105","K0102","Tetap",
"01","106","K0115","Peralihan",
"01","107","K0104","Jamsostek & BPJS",
"01","108","K0105","Dapenbun/PPIP",
"01","109","K0401","PPH Pasal 21",
"01","110","K0108","Rapel",
"01","111","K0109","Lembur",
"01","2","","Potongan",
"01","201","K0402","PPH Pasal 21",
"01","202","K0301","Jamsostek & BPJS",
"01","203","K0302","Dapenbun/PPIP",
"01","204","K0303","Perusahaan (Bank)",
"01","205","K0304","Koperasi",
"02","3","","Upah",
"02","301","K3001","Upah",
"02","302","K3002","Sansos",
"02","303","K3003","Jamsostek & BPJS",
"02","304","K3004","Dapenbun/PPIP",
"02","305","K3005","PPH Pasal 21",
"02","306","K3006","Rapel",
"02","307","K3007","Premi/Lembur",
"02","4","","Potongan",
"02","401","K4001","Jamsostek & BPJS",
"02","402","K4002","Dapenbun/PPIP",
"02","403","K4003","PPH Pasal 21",
"02","405","K4004","Perusahaan (Bank)",
"02","406","K4005","Koperasi",
