"kodeunit","tanggal","NoSPK","nourut","kodeafd","kodebud","kodePJTK","nama","norek","netral","kdblok","thntnm","hrgsatuan","lain2","potongan","pph","jmlhasil","jmlhadir","pct","jmlupah","PPH2123","tender","SAP_TargetAlokasi","SAP_WBS","NoInput","KgLatek","KgLump","JmlTBS","JmlBrondol","Pct1","PremiAnemer","KgTBS","JelajahHA","Aplo",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","10","02","021","PT. SELARAS GEMA PRAKARSYA","601050200","","000009","1982","248100","","0","0","7","14","0","1736700","","Ya","","","PJTK/02021/202101-00192","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","11","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000037","1981","347,5","","0","0","2645","18","0","919137,5","","Ya","","","PJTK/02021/202101-00188","0","0","0","0","0","0","","","38",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","10","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000004","1981","347,5","","0","0","1540","14","0","535150","","Ya","","","PJTK/02021/202101-00189","0","0","0","0","0","0","","","26",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","12","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000074","1907","347,5","","0","0","3050","3050","0","1059875","","Ya","","","PJTK/02021/202101-00190","0","0","0","0","0","0","","","35",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","13","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000089","1989","347,5","","0","0","832","4","0","289120","","Ya","","","PJTK/02021/202101-00191","0","0","0","0","0","0","","","17",
"12","31-01-2021 00:00:00","02/BAPHK/MAL/1/2021","001","11","02","021","PT. SELARAS GEMA PRAKARSYA","602030102","","000025","2011","695","","0","0","7350","33","0","5108250","","Ya","","","PJTK/02021/202101-00193","0","0","0","0","0","0","","","50",
"12","31-01-2021 00:00:00","02/BAPHK/MAL/1/2021","002","11","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000029","2000","347,5","","0","0","3986","23","0","1385135","","Ya","","","PJTK/02021/202101-00193","0","0","0","0","0","0","","","39",
"12","31-01-2021 00:00:00","02/BAPHK/MAL/1/2021","001","12","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000058","1990","695","","0","0","7850","36","0","5455750","","Ya","","","PJTK/02021/202101-00194","0","0","0","0","0","0","","","51",
"12","31-01-2021 00:00:00","02/BAPHK/MAL/1/2021","001","13","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000093","1989","695","","0","0","6020","24","0","4183900","","Ya","","","PJTK/02021/202101-00195","0","0","0","0","0","0","","","51",
"12","31-01-2021 00:00:00","02/BAPHK/MAL/1/2021","002","13","02","021","PT. SELARAS GEMA PRAKARSYA","602030101","","000088","1990","695","","0","0","5800","24","0","4031000","","Ya","","","PJTK/02021/202101-00195","0","0","0","0","0","0","","","51",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","11","02","021","PT. SELARAS GEMA PRAKARSYA","601020100","","000026","2010","3142488","","0","0","1","1","0","3142488","","Ya","","","PJTK/02021/202101-00196","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","002","11","02","021","PT. SELARAS GEMA PRAKARSYA","602020100","","000030","1980","2054219","","0","0","1","1","0","2054219","","Ya","","","PJTK/02021/202101-00196","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","10","02","021","PT. SELARAS GEMA PRAKARSYA","601020100","","000001","1981","2976434","","0","0","1","1","0","2976434","","Ya","","","PJTK/02021/202101-00197","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","002","10","02","021","PT. SELARAS GEMA PRAKARSYA","602020100","","000010","1982","1090483","","0","0","1","1","0","1090483","","Ya","","","PJTK/02021/202101-00197","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","12","02","021","PT. SELARAS GEMA PRAKARSYA","601020100","","000072","1980","3316639","","0","0","1","1","0","3316639","","Ya","","","PJTK/02021/202101-00198","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","002","12","02","021","PT. SELARAS GEMA PRAKARSYA","602020100","","000075","2000","2897860","","0","0","1","1","0","2897860","","Ya","","","PJTK/02021/202101-00198","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","001","13","02","021","PT. SELARAS GEMA PRAKARSYA","601020100","","000099","1999","3162421","","0","0","1","1","0","3162421","","Ya","","","PJTK/02021/202101-00199","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","01/BAPHK/MAL/1/2021","002","13","02","021","PT. SELARAS GEMA PRAKARSYA","602020100","","000098","1979","1403546","","0","0","1","1","0","1403546","","Ya","","","PJTK/02021/202101-00199","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","001","20","02","021","PT. SELARAS GEMA PRAKARSYA","605030000","0200","","","15","","0","0","352140","15","0","5282100","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","002","20","02","021","PT. SELARAS GEMA PRAKARSYA","605030000","0200","","","20","","0","0","82020","20","0","1640400","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","003","20","02","021","PT. SELARAS GEMA PRAKARSYA","605030000","0200","","","20","","0","0","81880","9","0","1637600","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","004","20","02","021","PT. SELARAS GEMA PRAKARSYA","605030000","0200","","","20","","0","0","14560","7","0","291200","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","005","20","02","021","PT. SELARAS GEMA PRAKARSYA","603100300","0200","","","20","","0","0","26000","3","0","520000","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","006","20","02","021","PT. SELARAS GEMA PRAKARSYA","603100300","0200","","","20","","0","0","26000","3","0","520000","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","007","20","02","021","PT. SELARAS GEMA PRAKARSYA","929070300","","","","106","","0","0","17000","2","0","1802000","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","008","20","02","021","PT. SELARAS GEMA PRAKARSYA","604020200","0200","","","770000","","0","0","5","12","0","3850000","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
"12","31-01-2021 00:00:00","BAPHK/MAL/80/I/2021","009","20","02","021","PT. SELARAS GEMA PRAKARSYA","603020200","0200","","","854882","","0","0","1","1","0","854882","","Ya","","","PJTK/02021/202101-00200","0","0","0","0","0","0","","","0",
