"kodeunit","tanggal","tanggal1","waktu","nourut","kodebln","kodetrans","kodemerk","kodemerk1","kodebud","kodeJenisOlah","kodeasal","kodekemasan","kodegrade","namagrade","kodegrade1","namagrade1","kodekbn","kodeafd","kodevar","thchop","nochop","nopol","pengemudi","norek","kodeterima","kodeLE","nosc","kodepembeli","sack","JmlKg1","JmlKg2","Tarra","rbi","pbi","bbm","pct","pakang","nospa","tglspa","kodeangkutan","kodegudang","nottp","noppt","uraian","inisial","ED","QR","tglinput","userID","BBM1","UTZ","KodeBlok","ThnTnm","BahanOlah","MC","CC","Tinggi","JmlKantong",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","001","BI","Sortasi","120","","02","0200","01","","28","BOP","","","120","","","","","","","","","","","","0","106","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","002","BI","Sortasi","120","","02","0200","01","","27","BOPF","","","120","","","","","","","","","","","","0","91","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","003","BI","Sortasi","120","","02","0200","01","","12","PF","","","120","","","","","","","","","","","","0","269","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","004","BI","Sortasi","120","","02","0200","01","","10","DUST","","","120","","","","","","","","","","","","0","182","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","005","BI","Sortasi","120","","02","0200","01","","70","BT","","","120","","","","","","","","","","","","0","528","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","006","BI","Sortasi","120","","02","0200","01","","8","BP","","","120","","","","","","","","","","","","0","37","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","007","BI","Sortasi","120","","02","0200","01","","25","PF II","","","120","","","","","","","","","","","","0","23","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","008","BI","Sortasi","120","","02","0200","01","","41","DUST II","","","120","","","","","","","","","","","","0","34","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","009","BI","Sortasi","120","","02","0200","01","","23","FANN II","","","120","","","","","","","","","","","","0","638","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","010","BI","Sortasi","120","","02","0200","01","","1110","PW DUST","","","120","","","","","","","","","","","","0","299","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","011","BI","Sortasi","120","","02","0200","01","","1107","BM","","","120","","","","","","","","","","","","0","361","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:28:58","012","BI","Sortasi","120","","02","0200","01","","205","PLUFF","","","120","","","","","","","","","","","","0","342","2940","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 16:29:02","pabrik","2000","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:23:36","001","BI","Pengepakan","120","","02","0200","01","07","70","BT","","","120","","","2021","95","","","","","","","","40","1680","1708","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:23:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:23:36","002","BI","Pengepakan","120","","02","0200","01","07","28","BOP","","","120","","","2021","96","","","","","","","","40","2000","2028","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:23:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:23:36","003","BI","Pengepakan","120","","02","0200","01","07","8","BP","","","120","","","2021","97","","","","","","","","40","2520","2548","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:23:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:23:36","004","BI","Pengepakan","120","","02","0200","01","07","12","PF","","","120","","","2021","98","","","","","","","","40","2200","2228","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:23:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","16:23:36","005","BI","Pengepakan","120","","02","0200","01","07","25","PF II","","","120","","","2021","99","","","","","","","","40","2240","2268","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:23:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","16:24:33","001","BI","Ex Contoh","120","","02","0200","01","","70","BT","","","120","","","","","","","","","","","","0","0","2","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:24:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","16:24:33","002","BI","Ex Contoh","120","","02","0200","01","","28","BOP","","","120","","","","","","","","","","","","0","0","2","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:24:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","16:24:33","003","BI","Ex Contoh","120","","02","0200","01","","8","BP","","","120","","","","","","","","","","","","0","0","2","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:24:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","16:24:33","004","BI","Ex Contoh","120","","02","0200","01","","12","PF","","","120","","","","","","","","","","","","0","0","2","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:24:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","16:24:33","005","BI","Ex Contoh","120","","02","0200","01","","25","PF II","","","120","","","","","","","","","","","","0","0","2","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","01-02-2021 16:24:40","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","18:59:53","001","BI","Pengiriman","120","","02","0200","11","41","27","BOPF","","","","","","2021","KB32","D1130AAF","FEBI","","","L","","290","1","10","11","0","0","0","0","0","0","65","01-01-1900 00:00:00","20","20","","","","","","System.Byte[]","02-02-2021 19:00:24","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","14:52:01","001","BI","Blending","122","","02","0201","02","","1101","BP 1","0048A","BP1 BOLD","151","","","","","","","","","","","","0","2600","5200","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:52:04","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","14:52:01","002","BI","Blending","122","","02","0201","02","","1101","BP 1","0048A","BP1 BOLD","351","","","","","","","","","","","","0","2600","5200","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:52:04","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","14:53:46","001","BI","Pengepakan","122","","02","0202","01","07","0048A","BP1 BOLD","","","122","","","2021","06A","","","","","","","","20","1040","1054","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:53:47","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","14:53:46","002","BI","Pengepakan","122","","02","0202","01","07","0048A","BP1 BOLD","","","122","","","2021","07A","","","","","","","","20","1040","1054","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:53:47","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","14:53:46","003","BI","Pengepakan","122","","02","0202","01","07","0048A","BP1 BOLD","","","122","","","2021","08A","","","","","","","","20","1040","1054","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:53:47","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","14:53:46","004","BI","Pengepakan","122","","02","0202","01","07","0048A","BP1 BOLD","","","122","","","2021","09A","","","","","","","","20","1040","1054","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:53:47","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","31-01-2021 00:00:00","14:53:46","005","BI","Pengepakan","122","","02","0202","01","07","0048A","BP1 BOLD","","","122","","","2021","10A","","","","","","","","20","1040","1054","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 14:53:47","akhmad","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","17:17:41","001","BI","Bahan Olah","120","","02","0200","01","","","","","","120","11","","","","","","","","","","","0","11270","11336","0","0","0","0","35","2","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 17:18:35","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","17:17:41","002","BI","Bahan Olah","120","","02","0200","01","","","","","","120","12","","","","","","","","","","","0","7790","7850","0","0","0","0","37","2","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 17:18:35","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","17:17:41","003","BI","Bahan Olah","120","","02","0200","01","","","","","","120","13","","","","","","","","","","","0","11730","11850","0","0","0","0","38","2","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 17:18:35","pabrik","0","","","","","","","0","0",
"12","31-01-2021 00:00:00","01-01-1900 00:00:00","17:17:41","004","BI","Bahan Olah","120","","02","0200","07","","","","","","370","0","","","","","","","","","","","0","18000","18150","0","0","0","0","38","2","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-02-2021 17:18:35","pabrik","0","","","","","","","0","0",
