"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"14","05-01-2016 00:00:00","02","0200","","BASAH","6080100","11","2350","0","0",
"14","05-01-2016 00:00:00","02","0200","","BASAH","6080100","15","13100","0","0",
"14","05-01-2016 00:00:00","02","0200","","BASAH","6090100","37","-8250","0","0",
"14","05-01-2016 00:00:00","02","0200","","BASAH","X","14","1273440","1032000","1032000",
"14","05-01-2016 00:00:00","02","0200","","JADI","6080400","11","522","0","0",
"14","05-01-2016 00:00:00","02","0200","","JADI","6080400","15","2893","0","0",
"14","05-01-2016 00:00:00","02","0200","","JADI","6090400","12","0","-8233","-5016",
"14","05-01-2016 00:00:00","02","0200","","JADI","6090400","37","-1814","0","0",
"14","05-01-2016 00:00:00","02","0200","","JADI","X","14","287311","229369","229369",
"14","02-03-2016 00:00:00","02","0200","","BASAH","6090100","10","-11930","0","0",
"14","02-03-2016 00:00:00","02","0200","","BASAH","6090100","15","-87340","0","0",
"14","02-03-2016 00:00:00","02","0200","","BASAH","6090100","37","-13470","0","0",
"14","02-03-2016 00:00:00","02","0200","","BASAH","6090100","39","-21190","0","0",
"14","02-03-2016 00:00:00","02","0200","","BASAH","X","14","844890","1542443","1542443",
"14","02-03-2016 00:00:00","02","0200","","JADI","6090400","12","0","-31389","-7079",
"14","02-03-2016 00:00:00","02","0200","","JADI","6090400","10","-2556","0","0",
"14","17-01-2016 00:00:00","36","0000","","BASAH","X","14","217","0","0",
"14","17-01-2016 00:00:00","36","0000","","JADI","X","14","33","0","0",
"14","02-03-2016 00:00:00","02","0200","","JADI","6090400","15","-19361","0","0",
"14","02-03-2016 00:00:00","02","0200","","JADI","6090400","37","-2882","0","0",
"14","02-03-2016 00:00:00","02","0200","","JADI","6090400","39","-4926","0","0",
"14","02-03-2016 00:00:00","02","0200","","JADI","X","14","189620","342765","342765",
"14","04-04-2016 00:00:00","02","0200","","BASAH","X","14","1015220","1427524","1480078",
"14","04-04-2016 00:00:00","02","0200","","JADI","6090400","12","0","-32130","-5016",
"14","04-04-2016 00:00:00","02","0200","","JADI","6900403","29","-4000","0","0",
"14","04-04-2016 00:00:00","02","0200","","JADI","X","14","233202","317228","329795",
"14","05-04-2016 00:00:00","36","0000","","BASAH","6080300","14","2637","0","0",
"14","05-04-2016 00:00:00","36","0000","","BASAH","X","14","171","1016","1016",
"14","02-05-2016 00:00:00","36","0000","","BASAH","6080300","14","6693","0","26806",
"14","02-05-2016 00:00:00","36","0000","","BASAH","X","14","2868","11619","2006",
"14","02-05-2016 00:00:00","36","0000","","JADI","6080600","14","0","0","4289",
"14","02-05-2016 00:00:00","36","0000","","JADI","X","14","0","1859","321",
"14","02-05-2016 00:00:00","36","0000","","BASAH","6080100","13","75","0","0",
"14","03-11-2016 00:00:00","36","0000","","BASAH","X","14","0","2324","1680",
"14","03-11-2016 00:00:00","36","0000","","JADI","X","14","0","372","235",
"14","02-06-2016 00:00:00","36","0000","","BASAH","6080100","12","480","0","0",
"14","02-06-2016 00:00:00","36","0000","","BASAH","6080300","14","28556","0","43648",
"14","02-06-2016 00:00:00","36","0000","","BASAH","X","14","7020","11619","5731",
"14","03-11-2016 00:00:00","36","0000","","BASAH","6080300","14","0","0","18110",
"14","03-11-2016 00:00:00","36","0000","","JADI","6080600","14","0","0","2535",
"14","03-07-2016 00:00:00","02","0200","","BASAH","X","14","689270","1292956","1064214",
"14","03-07-2016 00:00:00","02","0200","","BASAH","6080100","11","91890","0","0",
"14","03-07-2016 00:00:00","02","0200","","BASAH","6080100","12","22420","0","0",
"14","03-07-2016 00:00:00","02","0200","","BASAH","6080100","13","12530","0","0",
"14","03-07-2016 00:00:00","02","0200","","JADI","X","14","160866","287324","236492",
"14","03-07-2016 00:00:00","02","0200","","JADI","6080400","11","20458","0","0",
"14","03-07-2016 00:00:00","02","0200","","JADI","6080400","12","5024","0","0",
"14","03-07-2016 00:00:00","02","0200","","JADI","6080400","13","2798","0","0",
"14","03-07-2016 00:00:00","02","0200","","JADI","6090400","12","0","-46414","-8278",
"14","04-08-2016 00:00:00","36","0000","","BASAH","6080100","13","2098","0","0",
"14","04-08-2016 00:00:00","36","0000","","BASAH","6080300","14","8877","0","66059",
"14","04-08-2016 00:00:00","36","0000","","BASAH","X","14","1287","2324","9252",
"14","04-08-2016 00:00:00","36","0000","","JADI","6080400","13","1772","0","0",
"14","04-08-2016 00:00:00","36","0000","","JADI","6080600","14","10133","0","10574",
"14","04-08-2016 00:00:00","36","0000","","JADI","X","14","3546","372","1481",
"14","05-02-2016 00:00:00","02","0200","","BASAH","6080100","13","51030","0","0",
"14","05-02-2016 00:00:00","02","0200","","BASAH","6090100","37","-67890","-124209","-124209",
"14","05-02-2016 00:00:00","02","0200","","BASAH","X","14","992200","1427273","1427273",
"14","05-02-2016 00:00:00","02","0200","","JADI","6080400","13","23231","0","0",
"14","05-02-2016 00:00:00","02","0200","","JADI","6090400","12","-11890","-27602","-3080",
"14","05-02-2016 00:00:00","02","0200","","JADI","6090400","37","-15088","0","0",
"14","05-02-2016 00:00:00","02","0200","","JADI","X","14","221462","317172","317172",
