"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK",
"14","BT","BBD","BBD201612-00012","19-12-2016 00:00:00","Terlampir","Terlampir","","110000001","001","02","02","198000000","","","Storan tunai menurut RC","10000000","0","T005","23-12-2016 15:09:31","kas","","01",
"14","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","Kht Bag.Administrasi","Santosa","","100000000","001","02","02","154030200","","","Gaji Karyawan Gol IA Bagian Administrasi Bulan Nopember 2016","2521406","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00008","09-12-2016 00:00:00","Kht Pab. Santosa","Santosa","","100000000","001","02","20","154032000","","","Gaji Karyawan Gol IA Pabrik Santosa Bulan Nopember 2016","6746923","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00016","09-12-2016 00:00:00","Khl Afd. Talun","Talun","","100000000","001","02","11","154041100","","","Gaji KHL Afdeling Talun Bulan Nopember 2016","93749390","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00016","09-12-2016 00:00:00","Khl Afd. Talun","Talun","","100000000","002","02","11","154111100","","","Gaji Anemeran Afdeling Talun Bulan Nopember 2016","5108613","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00017","09-12-2016 00:00:00","Khl Afd. Santosa","Santosa","","100000000","001","02","12","154041200","","","Gaji KHL Afdeling Santosa Bulan Nopember 2016","98869565","0","K001","08-12-2016 00:00:00","kas","","01",
"14","BT","BBD","BBD201612-00025","27-12-2016 00:00:00","DAPENBUN","BANDUNG","","110000001","001","02","02","198000000","","","Transfer DAPENBUN uang pembayaran manpaat pensiunan Bulan Desember 2016","1065575","0","T005","28-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00017","09-12-2016 00:00:00","Khl Afd. Santosa","Santosa","","100000000","002","02","12","154111200","","","Gaji Anemeran Afdeling Santosa Bulan Nopember 2016","5378599","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00015","09-12-2016 00:00:00","Khl Afd. Sukatingal","Sukatingal","","100000000","001","02","10","154041000","","","Gaji KHL Afdeling Sukatingal Bulan Nopember 2016","125025311","0","K001","08-12-2016 00:00:00","kas","","01",
"14","KK","KAS","KAS201612-00015","09-12-2016 00:00:00","Khl Afd. Sukatingal","Sukatingal","","100000000","002","02","10","154111000","","","Gaji Anemeran Afdeling Sukatingal Bulan Nopember 2016","6673032","0","K001","08-12-2016 00:00:00","kas","","01",
"14","BK","BBD","BBD201612-00013","19-12-2016 00:00:00","TERLAMPIR","TERLAMPIR","","110000001","001","02","02","168030000","","","Premi BPJS-TK dari KaryGol IA- IID Bulan Nopember 2016","45130578","0","K005","23-12-2016 15:12:09","kas","","01",
"14","BT","BBD","BBD201612-00001","05-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","","110000001","001","02","02","080010100","","","Transfer Uang Kerja dari kanpus untuk pembayaran :cuti Januari Tahun 2015","57009500","0","T004","15-12-2016 00:00:00","kas","","02",
"14","BT","BBD","BBD201612-00001","05-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","","110000001","002","02","02","080010100","","","Yubilium Triw IV Tahun 2014","7306000","0","T004","15-12-2016 00:00:00","kas","","02",
"14","BT","BBD","BBD201612-00001","05-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","","110000001","003","02","02","080010100","","","5 % SHT Periode Juli - Desember 2014","24760321","0","T004","15-12-2016 00:00:00","kas","","02",
"14","BT","BBD","BBD201612-00001","05-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","","110000001","004","02","02","080010100","","","5 % SHT Periode Januari - Desember 2015","198978661","0","T004","15-12-2016 00:00:00","kas","","02",
"14","BT","BBD","BBD201612-00001","05-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","","110000001","005","02","02","080010100","","","Barang bahan Oktober 2016","138799000","0","T004","15-12-2016 00:00:00","kas","","02",
"14","KT","KAS","KAS201612-00001","08-12-2016 00:00:00","BANK MANDIRI","BANDUNG","","100000000","001","02","02","198000000","","","Tarik Tunai Cek No GN 022264 Untuk  Pembayaran gaji Bulan Nopember 2016","995232640","0","T004","07-12-2016 00:00:00","kas","","01",
"14","KT","KAS","KAS201612-00001","08-12-2016 00:00:00","BANK MANDIRI","BANDUNG","","100000000","002","02","02","198000000","","","Tarik Tunai Cek No GN 022264 Untuk pembayaran cuti Januari 2015masa peralihanMasa pengabdian Triw IV 2014 SHT Tahun 2014-2015","177767360","0","T004","07-12-2016 00:00:00","kas","","02",
