"kodekebun","kodebudidaya","kodeafdeling","kodeblok","namablok","status","tahuntanam","luas","kodekloon","netral","jmlpohon","tinggipohon","topologi","exareal","KodeTopografi","KodeKetinggian","mdpl","tanggal","jmlPatok",
"14","02","10","0100","KANCANA","TM","1988","8,2400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0200","PS.IPIS","TM","1990","9,9900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0300","PS.TULUY","TM","1981","21,7900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0400","WASPADA","TM","1988","1,1200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0500","SIMPANG","TM","1991","24,2000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0600","NYALINDUNG","TM","1979","3,4200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0700","BENTANG","TM","1978","14,5700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0800","SUKAMAJU","TM","1978","6,0700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","0900","LENGKOB","TM","1978","9,0200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1000","GAMBUNG","TM","1977","14,2700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1100","GAMBUNG 2","TM","1999","13,8800","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1200","CIPAGANTI","TM","1999","13,4800","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1300","HIUR","TM","1991","13,8000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1400","LEWO","TM","1974","12,2400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1500","SUKATINGAL 1","TM","2000","9,6400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1600","PANENJOAN","TM","2000","12,4000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1700","KANCANA","TM","2000","6,9200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1800","SIMPANG","TM","2005","5,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","1900","GAMBUNG 1","TM","2005","3,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2000","SUKATINGAL","TM","2005","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2100","SUKASARI","TM","2005","16,8300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2200","CISARUA","TM","2010","9,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2300","SINDANG RERET","TM","2012","15,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2400","PADARINGAN","TM","2012","10,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2500","NARINGGUL1","TM","1999","15,4900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2600","NSRINGGUL2","TM","2005","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","2700","NSRINGGUL3","TM","2000","8,6300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0200","BUNTU","TM","1999","22,8900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0300","BILUK","TM","1983","17,8800","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0400","GAMBUNG","TM","1986","1,4500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0500","PS.LUHUR","TM","1981","3,3200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0600","LEGOK ASIH","TM","1989","2,3000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0700","AJAG","TM","1973","11,9900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0800","TEJA","TM","1989","20,4700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","0900","CISEKE","TM","1983","19,7300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1000","BOJONG","TM","1983","20,5500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1100","MARIUK","TM","1981","10,2600","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1200","HEULANG","TM","1989","5,9300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1300","SIRNAGALIH","TM","1974","3,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1600","BADAK","TM","2009","14,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1700","PUNCAKMALA","TM","2009","15,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1800","SUKAGALIH","TM","2010","17,4000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","1900","SINDANGSIRNA","TM","2011","14,0200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2000","LG ASIH","TM","2011","5,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2100","TANJUNG SARI","TM","2012","14,3000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2200","PADAAWAS","TM","1974","13,7000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2300","PADAAWAS99","TM","1999","4,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2400","PAGERSARI00","TM","2000","7,6400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2500","PAGERSARI","TM","1918","7,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2600","WATES","TM","2011","6,6900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2700","KUBANG1","TM","2001","5,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","11","2800","KUBANG00","TM","2000","8,8300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0200","PANUNDAAN","TM","1980","16,0800","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0400","KUBANGSEREH","TM","1991","16,0400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0500","PEUNTAS","TM","1990","10,6400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0600","LEGOKLEOS","TM","1990","6,2000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0700","DATAR","TM","1990","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0800","LEGOKSONO","TM","1990","3,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","0900","SOLOKANJERO","TM","1991","3,6900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1000","PANENJOAN","TM","1973","18,6000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1100","PS.SUGIH","TM","1980","17,2600","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1200","CIKAWUNG","TM","1973","13,2400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1300","PS.JOHAR","TM","1967","11,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1400","PS.ANGIN","TM","1977","10,9000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1500","PS.MUKTI","TM","1974","16,3800","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1700","PUSPARATA","TM","1990","12,7500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","1800","PS.SELA 1","TM","2001","9,2600","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2000","ANTANAN","TM","2000","9,7600","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2400","LEGOK LEOS","TM","2005","12,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2500","WALAGRI","TM","2008","11,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2600","JATI","TM","2008","14,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2700","UTAMA","TM","2009","16,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2800","NUSANTARA","TM","2009","11,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","2900","HEGARMANAH","TM","2010","18,6500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","3100","RENGGANIS","TM","2011","5,6600","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","3200","PASIR GUGUR","TM","1974","20,3500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","3300","PASIR PANJANG","TM","2009","17,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","3400","MALINGPING","TM","1974","17,5300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","12","3500","GUGUNUNGAN","TM","1961","15,2200","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0100","DARAJAT","TM","1991","1,3300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0300","LENGHOY","TM","1991","15,6000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0400","PS.SURI","TM","1999","8,9900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0500","LAKSANA","TM","1999","18,8900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0600","LODAYA","TM","1986","13,6100","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0700","BATUKORSI","TM","1986","17,8100","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0800","PUNCAKSARI 1","TM","1991","5,6900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","0900","PUNCAKSARI 2","TM","1999","9,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1000","PANORAMA","TM","1999","15,7700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1100","HARUMAN","TM","1999","11,4700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1200","WAAS","TM","1974","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1300","PS.GEGER","TM","1921","16,6100","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1400","PANGAUBAN","TM","1974","16,1400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1800","GOHA","TM","1982","2,3900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","1900","PS.BUNTET","TM","2000","18,7000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2000","WAAS 1","TM","2001","15,7400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2100","DARAJAT","TM","2004","2,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2200","WAAS 2","TM","2004","1,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2300","LODAYA 1","TM","2004","11,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2400","LODAYA 2","TM","2005","27,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2500","DARAJAT 2","TM","2005","5,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2600","RANCA IBUN","TM","2005","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2700","PUNCAKSARI","TM","2005","1,1300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2800","BATUKORSI 1","TM","2005","3,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","2900","LENGHOY","TM","2005","2,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","3100","PANIISAN","TM","2010","24,9500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","3200","KANANGA","TM","2011","15,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","3300","JEMBAR","TM","2011","15,3000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","3400","KIRANA","TM","2011","10,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","14","3500","RAKSA WIBAWA","TM","2012","15,7000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","36","15","0100","KACA-KACA","TM","2012","10,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","02","10","3200","","TBM","2014","12,3600","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","37","10","1100","","TBM","2012","4,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","11","3200","","TBM","2013","11,7800","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","11","3300","","TBM","2014","14,3600","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","11","0100","","TBM","2012","2,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","37","11","1000","","TBM","2012","5,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","12","3300","","TBM","2013","15,3000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","12","3400","","TBM","2014","9,5300","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","12","0100","","TBM","2012","1,4500","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","12","0200","","TBM","2012","0,7300","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","12","0300","","TBM","2012","1,2700","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","12","0400","","TBM","2012","0,5400","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","29","12","0500","","TBM","2012","1,1100","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","14","5300","","TBM","2013","11,7000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","37","14","1000","","TBM","2012","2,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","15","1302","","TBM","2011","10,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","36","15","1100","","TBM","2013","25,2300","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","02","12","1600","PS.KEMAR","TM","1903","0,6000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"14","36","15","1200","","TBM","2013","12,6600","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","36","15","1300","","TBM","2013","8,3800","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"14","36","15","1400","","TBM","2013","27,2100","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
