"kode","uraian","namajurnal","Filtering",
"01","Gaji Gol.IIIA - IVD","JURNAL GAJI GOL.IIIA - IVD","00101,00102,00103,00104,00105,00106,00108,00109,00112,00115,00201,00202,00203,00204,00301,00302,00303,00304,00305,00401,00402",
"02","Gaji Gol.IB - IID","JURNAL GAJI GOL.IB - IID","10101,10102,10104,10105,10108,10109,10110,10111,10112,10201,10202,10203,10301,10302,10303,10304,10305,10401,10402,10116",
"03","Gaji Gol.IA","JURNAL GAJI GOL.IA","20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20111,20112,20113,20114,20115,20201,20301,20302,20303,20304,20305,20401,20402,20116,20306",
"04","Upah KLM","JURNAL UPAH KLM","30101,30102,30109,30110,30111,30112,30113,30114,30303,30304,30115",
"05","Upah Borong SPK","JURNAL BORONG SPK","40101",
"06","Upah Kulir Lain-lain","JURNAL KULIR/LAIN-LAIN","60101,60102",
"07","Upah Honorer/Anemer","JURNAL HONORER/ANEMER","40102,40402",
"08","Jamsostek Gol.IIIA - IVD","JURNAL JAMSOSTEK GOL.IIIA - IVD","00104,00301",
"09","Jamsostek Gol.IB - IID","JURNAL JAMSOSTEK GOL.IB - IID","10104,10301",
"10","Jamsostek Gol.IA","JURNAL JAMSOSTEK GOL.IA","20105,20106,20301",
"11","Dapenbun Gol.IIIA - IVD","JURNAL DAPENBUN GOL.IIIA - IVD","00105,00112,00302,00305",
"12","Dapenbun Gol.IB - IID","JURNAL DAPENBUN GOL.IB - IID","10105,10112,10302,10305",
"13","Dapenbun Gol.IA","JURNAL DAPENBUN GOL.IA","20107,20108,20302,20305",
