"kd_arus","uraian",
"K001","BEBAN HARGA POKOK",
"K002","BEBAN UMUM DAN ADMINISTRASI",
"K003","BEBAN AKTIVA INVESTASI TANAMAN",
"K004","BEBAN AKTIVA INVESTASI NON TANAMAN",
"K005","REMISE,SHT/YUBILIUM/BONUS/PENGHARGAAN KHUSUS",
"K006","PENGELUARAN LAIN-LAIN",
"K010","REKENING ANTAR KAS/BANK",
"K099","PENGELUARAN NON ARUS KAS/BANK",
"T001","PENJUALAN",
"T002","PIUTANG",
"T003","BUNGA BANK/JASA GIRO",
"T004","REMISE, UPAH/BB/B.UMUM/SHT/YUBILIUM/BONUS/P.KHUSUS",
"T005","PENERIMAAN LAIN-LAIN",
"T010","REKENING ANTAR KAS/BANK",
