"kodeunit","kode","nmMenu","kdgrup","nmgrup","urut","norek","uraian","tampil",
"14","701","NERACA PERCOBAAN","001","ASET LANCAR","00001","100","K  A  S","YA",
"14","701","NERACA PERCOBAAN","010","HUTANG LANCAR","00003","152","UANG MUKA PENJUALAN","YA",
"14","710","Biaya Umum & Penyusutan (LMK-14)","400","BIAYA UMUM","00011","412","Pemeliharaan Mesin & Instalasi","YA",
"14","711","Biaya Tanaman Menghasilkan (LMK-17)","60107","PEMUPUKAN","00051","601070200","PEMUPUKAN ORGANIK AKAR","YA",
"14","712","Biaya Panen dan Pengangkutan","60200","BIAYA PANEN","00011","602060100","PREMI MUNGUT HASIL TETAP","YA",
"14","713","Rincian Biaya Produksi Per Budidaya","601","BIAYA PEMELIHARAAN TM","00008","60108","PANGKASAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04201","GAJI DAN TUNJANGAN","00001","042010100","GAJI","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04201","GAJI DAN TUNJANGAN","00002","042010200","TUNJANGAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04201","GAJI DAN TUNJANGAN","00003","042011900","LAIN-LAIN","YA",
"14","717","Biaya Tanaman Tahun Ini (TTI)","04109","PEKERJAAN LAIN-LAIN","00004","041090900","LAIN-LAIN","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04002","PENGERJAAN TANAH","00005","0400205","Alat-alat & Perlengkapan","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00005","0404","FUMIGASI","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00006","0405","BARANG BAHAN/BIBIT","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00007","0406","MELOBANG PLASTIK","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00008","0407","MENGISI TANAH","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00009","0409","LAIN-LAIN/EAP","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00010","0410","MENGAJIR","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00011","0411","MELUBANG","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00012","0412","MUPUK LUBANG TANAMAN","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00013","0413","MENANAM","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00014","0414","ALAT & PERLENGKAPAN","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00015","0415","MOTONG","YA",
"14","719","Biaya Pesemaian","05","JALAN, SAL.AIR DAN TERAS","00001","0500","PEMBUATAN/PEMELIHARAAN JALAN","YA",
"14","719","Biaya Pesemaian","05","JALAN, SAL.AIR DAN TERAS","00002","0501","PEMBUATAN/PEMELIHARAAN SAL.AIR DAN TERAS","YA",
"14","719","Biaya Pesemaian","05","JALAN, SAL.AIR DAN TERAS","00003","0502","PEMBUATAN/PEMELIHARAAN TERAS/PETAK","YA",
"14","719","Biaya Pesemaian","05","JALAN, SAL.AIR DAN TERAS","00004","0503","BARANG BAHAN","YA",
"14","719","Biaya Pesemaian","0600","MENYIRAM","00001","0600","MENYIRAM","YA",
"14","719","Biaya Pesemaian","07","MENYIANG DAN MERUMPUT","00001","0700","MENYIANG DAN MERUMPUT","YA",
"14","719","Biaya Pesemaian","07","MENYIANG DAN MERUMPUT","00002","0701","MENYIANG MANUAL","YA",
"14","719","Biaya Pesemaian","07","MENYIANG DAN MERUMPUT","00003","0702","PEMBERANTASAN LALANG DENGAN KIMIA","YA",
"14","719","Biaya Pesemaian","07","MENYIANG DAN MERUMPUT","00004","0703","BARANG BAHAN","YA",
"14","719","Biaya Pesemaian","08","PEMBERANTASAN HAMA DAN PENYAKIT","00001","0800","PEMBERANTASAN HAMA","YA",
"14","719","Biaya Pesemaian","08","PEMBERANTASAN HAMA DAN PENYAKIT","00002","0801","PEMBERANTASAN PENYAKIT","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00001","0900","MEMUPUK","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00002","1000","MENUNAS","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00003","1100","MENGOKULASI","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00004","1200","RISET DAN SELEKSI","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00005","1300","BONGKAR BIBIT","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00006","1400","PENJAGA PESEMAIAN/KEAMANAN","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00007","1500","POHON PELINDUNG","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00008","1600","ALAT DAN PERLENGKAPAN","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00009","1700","BARANG BAHAN PUPUK","YA",
"14","719","Biaya Pesemaian","09","LAIN-LAIN","00010","1701","BARANG BAHAN AGROKIMIA","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00001","1901","CUTI TAHUNAN/PANJANG","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00002","1902","PAKAIAN KERJA","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00003","1903","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00004","1904","JAMSOSTEK","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00005","1905","DAPENBUN","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00006","1906","DETASERING","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00007","1907","TUNJANGAN PPH","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00008","1908","TUNJANGAN TRANSPORT","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00009","1909","TUNJANGAN KOMUNIKASI","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00010","1910","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00011","1911","TUNJANGAN TETAP","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00012","1912","TUNJANGAN STRUKTURAL","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00013","1913","TUNJANGAN JABATAN","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00014","1914","TUNJANGAN KHUSUS","YA",
"14","719","Biaya Pesemaian","190","BIAYA PEGAWAI GOL.IB-IID","00015","1915","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00001","1931","CUTI TAHUNAN/PANJANG","YA",
