"KodeUnit","Norek","NamaRekening","Netral","vblok",
"14","130227232","a/n AEP DANEU RIANA/ CV. BUMI TELUK HAMBE","False","False",
"14","050061931","CUTI TAHUNAN/PANJANG","False","False",
"14","058020302","PEMBUATAN/PEMELIHARAAN SAL.AIR","False","False",
"14","150000114","PT.PAGER LUHUR","False","False",
"14","150080135","TOKO GUNUNG INTAN CIBADAK","False","False",
"14","255190203","ASURANSI KECELAKAAN DIRI/MOLES","False","False",
"14","300174000","ZALF/CREAM","False","False",
"14","421070000","RADIO LINK","False","False",
"14","050100702","MENYUSUN POLIBAG","False","False",
"14","056021915","TUNJANGAN HARI RAYA KEAGAMAAN","False","False",
"14","150000289","CV.BUMI INTAN MANDIRI","False","False",
"14","144031500","KHL CIKEMBANG","False","False",
"14","031030001","RUMAH KARYAWAN STAF","False","False",
"14","050030200","MENGUKUR/SURVAI TANAH","False","False",
"14","052020601","PEMBUATAN/PEMELIHARAAN JALAN","False","False",
"14","057011600","ALAT DAN PERLENGKAPAN","False","False",
"14","130100005","META BROMED CO.LTD","False","False",
"14","130100006","MR FERNANDO CESAR","False","False",
"14","130100007","TONG FONG CO","False","False",
"14","130100008","TAI ENG PTE LTD","False","False",
"14","130100009","WEBER SHAER","False","False",
"14","130100010","YAMACHI DENTAL MPG","False","False",
"14","130100011","SANGYONG","False","False",
"14","130100012","DRAMAGA CV.","False","False",
"14","130100013","DUNLOP","False","False",
"14","130100014","KARYA BINA BERSAMA","False","False",
"14","130100015","MERIDIAN","False","False",
"14","130100016","ABAD  PT.","False","False",
"14","130100017","WILSON GLOBAL PT.","False","False",
"14","130100018","YUHWA TRADING CO. LTD","False","False",
"14","130100019","INTERWALGA","False","False",
"14","130100020","ARTHA DELIRA PT.","False","False",
"14","130100021","KARAKTER PT.","False","False",
"14","130100022","COMODITIES PT.","False","False",
"14","130100023","LITERA","False","False",
"14","130100024","QUANG 59","False","False",
"14","130100025","KARYA MULTINIAGA PT.","False","False",
"14","130100026","ASIAN AGRO PT.","False","False",
"14","13011****","PIUTANG EKSPOR SAWIT","False","False",
"14","13012****","PIUTANG EKSPOR TEH","False","False",
"14","130120001","BOH PLANTATAION SDN BHD","False","False",
"14","130120002","CHAKRA","False","False",
"14","130120003","EXPERTINDO","False","False",
"14","130120004","FAJAR NUSARIFINDO","False","False",
