"KD_TK","NM_TK","KONDISI","TG_POHON","BASIC_TDN","BASIC_BRN","PREMI_BRN","RBT1","RBT2","RBT3","RBT4",
"00","0","Panen Pertama","0         ","85","120","200","304","355","406","0",
"01","ID","Datar",">10       ","30","160","150","863","1006","1150","1294",
"02","IB","Bukit",">10       ","20","160","150","1294","1509","1725","1941",
"03","IID","Datar","8-10      ","35","160","150","739","863","986","1109",
"04","IIB","Bukit","8-10      ","25","160","150","1035","1208","1380","1553",
"05","IIID","Datar","5-8       ","45","160","150","575","671","767","863",
"06","IIIB","Bukit","5-8       ","35","160","150","739","863","986","1109",
"07","IVD","Datar","4-5       ","50","160","150","518","604","690","776",
"08","IVB","Bukit","4-5       ","40","160","150","647","755","863","970",
"09","VD","Datar","3-4       ","60","160","150","431","503","575","647",
"10","VB","Bukit","3-4       ","45","160","150","575","671","767","863",
"11","VID","Datar","<3        ","75","130","175","345","403","460","0",
"12","IVB","Bukit","<3        ","65","130","175","398","464","531","0",
"","","","          ","0","0","0","0","0","0","0",
