"kdbud","Norek","kelompokaset","Keterangan","Uraian","Tarif","Tahun",
"00","000","04","Non Kelompok","TANAH","0","0",
"00","001","04","Non Kelompok","TANAMAN MENGHASILKAN (TM)","4","25",
"00","002","04","Non Kelompok","TANAMAN BELUM MENGHASILKAN (TBM)","0","0",
"00","003","01","Permanen","BANGUNAN RUMAH DINAS","5","20",
"00","003","02","Semi Permanen","BANGUNAN RUMAH DINAS","10","10",
"00","003","03","Kerangaka Kayu","BANGUNAN RUMAH DINAS","20","5",
"00","004","01","Permanen","BANGUNAN PERUSAHAAN","5","20",
"00","004","02","Semi Permanen","BANGUNAN PERUSAHAAN","10","10",
"00","004","03","Kerangaka Kayu","BANGUNAN PERUSAHAAN","20","5",
"00","005","05","Berat","MESIN DAN INSTALASI","5","20",
"00","005","06","Ringan","MESIN DAN INSTALASI","10","10",
"00","006","01","Permanen","JALAN, JEMBATAN DAN SALURAN AIR","6,25","16",
"00","006","02","Semi Permanen","JALAN, JEMBATAN DAN SALURAN AIR","20","5",
"00","007","04","Non Kelompok","ALAT PENGANGKUTAN","20","5",
"00","008","04","Non Kelompok","ALAT PERTANIAN/INVENTARIS","20","5",
"00","009","04","Non Kelompok","AKTIVA LAINNYA","0","0",
"00","010","04","Non Kelompok","AKTIVA YANG AKAN DIHAPUSKAN","0","0",
"00","011","04","Non Kelompok","HGU","0","0",
"01","000","04","Non Kelompok","TANAH","0","0",
"01","001","04","Non Kelompok","TANAMAN MENGHASILKAN (TM)","4","25",
"01","002","04","Non Kelompok","TANAMAN BELUM MENGHASILKAN (TBM)","0","0",
"01","003","01","Permanen","BANGUNAN RUMAH DINAS","5","20",
"01","003","02","Semi Permanen","BANGUNAN RUMAH DINAS","10","10",
"01","003","03","Kerangaka Kayu","BANGUNAN RUMAH DINAS","20","5",
"01","004","01","Permanen","BANGUNAN PERUSAHAAN","5","20",
"01","004","02","Semi Permanen","BANGUNAN PERUSAHAAN","10","10",
"01","004","03","Kerangaka Kayu","BANGUNAN PERUSAHAAN","20","5",
"01","005","05","Berat","MESIN DAN INSTALASI","5","20",
"01","005","06","Ringan","MESIN DAN INSTALASI","10","10",
"01","006","01","Permanen","JALAN, JEMBATAN DAN SALURAN AIR","6,25","16",
"01","006","02","Semi Permanen","JALAN, JEMBATAN DAN SALURAN AIR","20","5",
"01","007","04","Non Kelompok","ALAT PENGANGKUTAN","20","5",
"01","008","04","Non Kelompok","ALAT PERTANIAN/INVENTARIS","20","5",
"01","009","04","Non Kelompok","AKTIVA LAINNYA","0","0",
"01","010","04","Non Kelompok","AKTIVA YANG AKAN DIHAPUSKAN","0","0",
"01","011","04","Non Kelompok","HGU","0","0",
"02","000","04","Non Kelompok","TANAH","0","0",
"02","001","04","Non Kelompok","TANAMAN MENGHASILKAN (TM)","2","50",
"02","002","04","Non Kelompok","TANAMAN BELUM MENGHASILKAN (TBM)","0","0",
"02","003","01","Permanen","BANGUNAN RUMAH DINAS","5","20",
"02","003","02","Semi Permanen","BANGUNAN RUMAH DINAS","10","10",
"02","003","03","Kerangaka Kayu","BANGUNAN RUMAH DINAS","20","5",
"02","004","01","Permanen","BANGUNAN PERUSAHAAN","5","20",
