"KodeKebun","NamaKebun","UMK",
"00","KANTOR PUSAT","2626940",
"10","PASIRMALANG","2275715",
"11","KERTAMANAH","2275715",
"12","MALABAR","2275715",
"13","PURBASARI","2275715",
"14","TALUNSANTOSA","2275715",
"15","SEDEP","2275715",
"16","PAPANDAYAN","1421625",
"17","CISARUNI","1421625",
"18","DAYEUHMANGGUNG","1421625",
"19","MIRAMARE","1421625",
"20","BAGJANAGARA","1632360",
"21","BATULAWANG","1327965",
"22","BUNISARI/LENDRA","1421625",
"23","CIATER","2149720",
"24","TAMBAKSARI","2149720",
"25","WANGUNREJA","2149720",
"28","CIKUPA","1327965",
"29","INDUSTRI HILIR TEH","2626940",
"31","ANEKA USAHA","2626940",
"32","AGROWISATA","2626940",
"33","BUKITUNGGUL","2275715",
"34","SINUMBRA","2275715",
"35","RANCABALI","2275715",
"36","RANCABOLANG","2275715",
"37","PANGLEJAR","2280175",
"39","MONTAYA","2280175",
"40","PASIRNANGKA","1837520",
"41","PANYAIRAN","1837520",
"42","GOALPARA","2195435",
"43","GEDEH","1837520",
"44","GUNUNGMAS","2960325",
"45","CIANTEN","2960325",
"46","JALUPANG","2149720",
"47","CIKUMPAY","2927990",
"49","AGRABINTA","1837520",
"50","CIKASO","2195435",
"55","PETERNAKAN","1999981",
"62","BOJONGDATAR","1999981",
"64","CISALAKBARU","1965000",
"65","CIKASUNGKA","2960325",
"68","PARAKANSALAK","2195435",
"69","SUKAMAJU","2195435",
"71","CIBUNGUR","2195435",
"72","PASIRBADAK","2195435",
"74","KERTAJAYA","1965000",
"81","KANTOR WILAYAH II","2626940",
"82","KANTOR WILAYAH III","2626940",
"90","KANTOR WILAYAH I","2626940",
"91","KANTOR WILAYAH IV","2626940",
