"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","kmk",
"14","27-12-2016 00:00:00","01:32:24","A58201612-00387","A58201612-V00387","27-12-2017 00:00:00","","TEKNIK","","30","02","001","00501976","40","40","False","","36900000","604020409","0200","0","","","","29-12-2016 00:00:00","tup","","02",
"14","29-12-2016 00:00:00","23:33:29","A58201612-00418","A58201612-V00418","29-12-2016 00:00:00","","TEKNIK","","30","02","001","00501976","30","30","False","","27675000","604020409","0200","0","","","","09-12-2016 00:00:00","tup","","02",
"14","31-12-2016 00:00:00","08:17:41","A58201612-00464","A58201612-V00464","31-12-2016 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","01-01-2017 00:00:00","tup","","02",
"14","31-12-2016 00:00:00","01:15:57","A58201612-00462","A58201612-V00462","31-12-2017 00:00:00","","TEKNIK","","30","02","001","00501976","30","30","False","","27675000","604020409","0200","0","","","","01-01-2017 00:00:00","tup","","02",
"14","24-12-2016 00:00:00","01:39:24","A58201612-00347","A58201612-V00347","24-12-2017 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","28-12-2016 00:00:00","tup","","02",
"14","29-12-2016 00:00:00","23:33:59","A58201612-00420","A58201612-V00420","29-12-2016 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","09-12-2016 00:00:00","tup","","02",
"14","26-12-2016 00:00:00","09:05:41","A53201612-00035","A53201612-V00035","26-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","30-12-2016 00:00:00","08:57:27","A53201612-00046","A53201612-V00046","30-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","28-12-2016 00:00:00","08:48:47","A53201612-00041","A53201612-V00041","28-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","31-12-2016 00:00:00","01:34:02","A58201612-00463","A58201612-V00463","31-12-2017 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","29-12-2016 00:00:00","tup","","02",
"14","30-12-2016 00:00:00","01:36:20","A58201612-00445","A58201612-V00445","30-12-2016 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","27-12-2016 00:00:00","tup","","02",
"14","27-12-2016 00:00:00","01:51:22","A58201612-00386","A58201612-V00386","27-12-2016 00:00:00","","TEKNIK","","30","02","001","01404192","1","1","False","","40000000","604020303","0200","0","","","","29-12-2016 00:00:00","tup","","02",
"14","29-12-2016 00:00:00","08:55:06","A53201612-00044","A53201612-V00044","29-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","31-12-2016 00:00:00","07:16:51","A53201612-00050","A53201612-V00050","31-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","28-12-2016 00:00:00","22:13:43","A53201612-00040","A53201612-V00040","28-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","00501976","0","30","True","1","27675000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","30-12-2016 00:00:00","22:11:23","A53201612-00047","A53201612-V00047","30-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","00501976","0","30","True","1","27675000","150120353","","0","","","","29-12-2016 00:00:00","tup","","02",
"14","23-12-2016 00:00:00","21:18:16","A53201612-00029","A53201612-V00029","23-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","01404192","0","1","True","1","40000000","150120353","","0","","","","31-12-2016 00:00:00","tup","","02",
"14","24-12-2016 00:00:00","22:06:57","A53201612-00032","A53201612-V00032","24-12-2016 00:00:00","","CV.PUTRA USAHA","JL.MEKAR MULYA PANGALENGAN","","02","001","00501976","0","40","True","1","36900000","150120353","","0","","","","31-12-2016 00:00:00","tup","","02",
