"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","20","02","144022000","","","","PENGOLAHAN I","","K","338843467","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","12","02","601090903","1974","","","PEMELIHARAAN DAUNGAN","","K","66128605","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","12","02","601060120","","3400","","EAP","","D","59567,0222449628","7","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","","1800","","EAP","","D","504774,295398288","50","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","13","02","024080000","","","","BANGUNAN SOSIAL","","D","151410","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","602060100","0201","","","PREMI MUNGUT HASIL TETAP","","D","38060382,9573978","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","","1900","","EAP","","D","108384,589534302","25","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","","2500","","EAP","","D","95378,4387901853","22","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","","2600","","EAP","","D","95378,4387901853","22","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","0200","","","EAP","","D","1605773,33418797","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601071900","0201","","","EAP","","D","655460,074917035","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","12","02","601080100","0200","","","PEMANGKASAN","","D","3513711,83578709","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","12","02","601080100","0201","","","PEMANGKASAN","","D","1437760,16421291","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","13","02","601080100","0200","","","PEMANGKASAN","","D","15165497,2403169","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","13","02","601080100","0201","","","PEMANGKASAN","","D","6183443,75968309","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","13","02","601080100","1969","0400","","PEMANGKASAN","","D","21348941","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601080100","0200","","","PEMANGKASAN","","D","71739556,641856","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601080100","0201","","","PEMANGKASAN","","D","31938420,358144","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601080100","1969","0200","","PEMANGKASAN","","D","55273642","0","CLOSING","30-04-2019 15:49:50","01",
