"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"19","03-01-2020 00:00:00","00","0000","","BASAH","6080100","20","750","0","0",
"19","03-01-2020 00:00:00","00","0000","","BASAH","6080100","22","4750","0","0",
"19","03-01-2020 00:00:00","00","0000","","BASAH","6080200","19","43","0","0",
"19","03-01-2020 00:00:00","00","0000","","BASAH","X","19","2732","0","0",
"19","03-01-2020 00:00:00","00","0000","","JADI","6080400","20","188","0","0",
"19","03-01-2020 00:00:00","00","0000","","JADI","6080400","22","1170","0","0",
"19","03-01-2020 00:00:00","00","0000","","JADI","6080500","19","12","0","0",
"19","03-01-2020 00:00:00","00","0000","","JADI","X","19","711","0","0",
"19","03-01-2020 00:00:00","00","0003","","BASAH","6080100","20","144","0","0",
"19","03-01-2020 00:00:00","00","0003","","BASAH","6080100","22","800","0","0",
"19","03-01-2020 00:00:00","00","0003","","BASAH","6080200","19","16","0","0",
"19","03-01-2020 00:00:00","00","0003","","BASAH","6090100","47","0","0","0",
"19","03-01-2020 00:00:00","00","0003","","BASAH","X","19","1328","0","0",
"19","03-01-2020 00:00:00","00","0003","","JADI","6080400","20","62","0","0",
"19","03-01-2020 00:00:00","00","0003","","JADI","6080400","22","346","0","0",
"19","03-01-2020 00:00:00","00","0003","","JADI","6080500","19","7","0","0",
"19","03-01-2020 00:00:00","00","0003","","JADI","6090400","47","0","0","0",
"19","03-01-2020 00:00:00","00","0003","","JADI","X","19","571","0","0",
