"kodeunit","tanggal","tanggal1","waktu","nourut","kodebln","kodetrans","kodemerk","kodemerk1","kodebud","kodeJenisOlah","kodeasal","kodekemasan","kodegrade","namagrade","kodegrade1","namagrade1","kodekbn","kodeafd","kodevar","thchop","nochop","nopol","pengemudi","norek","kodeterima","kodeLE","nosc","kodepembeli","sack","JmlKg1","JmlKg2","Tarra","rbi","pbi","bbm","pct","pakang","nospa","tglspa","kodeangkutan","kodegudang","nottp","noppt","uraian","inisial","ED","QR","tglinput","userID","BBM1",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","004","BI","Sortasi","230","","02","0200","01","","12","PF","","","230","","","","","","","","","","","","","893","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","005","BI","Sortasi","230","","02","0200","01","","10","DUST","","","230","","","","","","","","","","","","","607","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","015","BI","Sortasi","230","","02","0200","01","","205","PLUFF","","","230","","","","","","","","","","","","","385","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","006","BI","Sortasi","230","","02","0200","01","","70","BT","","","230","","","","","","","","","","","","","757","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","009","BI","Sortasi","230","","02","0200","01","","41","DUST II","","","230","","","","","","","","","","","","","79","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","010","BI","Sortasi","230","","02","0200","01","","29","BT II","","","230","","","","","","","","","","","","","249","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","011","BI","Sortasi","230","","02","0200","01","","23","FANN II","","","230","","","","","","","","","","","","","952","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","012","BI","Sortasi","230","","02","0200","01","","16","DUST III","","","230","","","","","","","","","","","","","135","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","15:12:53","013","BI","Sortasi","230","","02","0200","01","","1110","PW DUST","","","230","","","","","","","","","","","","","600","6713","0","0","0","23","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","10-04-2017 15:12:55","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","23:13:03","001","BI","Pengiriman","230","","02","0200","08","07","10","DUST","","","","","","2016","558","T 9011 DB","ITAM","","","E","","020072","40","2400","2428","0","0","0","0","0","0","455","01-01-1900 00:00:00","30","18","","","","","","System.Byte[]","11-04-2017 23:22:11","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","23:13:03","002","BI","Pengiriman","230","","02","0200","08","07","25","PF II","","","","","","2017","78","T 9011 DB","ITAM","","","E","","020032","40","2200","2228","0","0","0","0","0","0","455","01-01-1900 00:00:00","30","18","","","","","","System.Byte[]","11-04-2017 23:22:11","eni","0",
"23","05-04-2017 00:00:00","01-01-1900 00:00:00","23:13:03","003","BI","Pengiriman","230","","02","0200","08","07","12","PF","","","","","","2017","83","T 9011 DB","ITAM","","","E","","020032","40","2160","2188","0","0","0","0","0","0","455","01-01-1900 00:00:00","30","18","","","","","","System.Byte[]","11-04-2017 23:22:11","eni","0",
