"KodeUnit","tanggal","kodebud","kodeafd","nobukti","norek","netral","uraian","dk","nilai",
"29","01/09/2019 0:00:00","02","02","RTR201909V00022","130220058","","Retur 384 Dus Teh Leci Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g) dari KOPERASI SWAKARYA PERKEBUNAN JALUPANG","K","5299008",
"29","01/09/2019 0:00:00","02","02","RTR201909V00009","130227118","","Retur 6 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.SINARSAHABAT INTIMAKMUR","K","31344,192",
"29","01/09/2019 0:00:00","02","02","RTR201909V00011","130227118","","Retur 1 Dus Teh Lemon Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.SINARSAHABAT INTIMAKMUR","K","10509,004",
"29","01/09/2019 0:00:00","02","02","RTR201909V00020","130227118","","Retur 177 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.SINARSAHABAT INTIMAKMUR","K","2809061,508",
"29","01/09/2019 0:00:00","02","02","RTR201909V00012","130227118","","Retur 5 Dus Teh Hitam Celup Walini Klasik Amplop-Dus 45 g (25 TB x 1,8 g) dari PT.SINARSAHABAT INTIMAKMUR","K","51874,46",
"29","01/09/2019 0:00:00","02","02","RTR201909V00003","130227118","","Retur 112 Dus Teh Lemon Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.SINARSAHABAT INTIMAKMUR","K","1177008,448",
"29","01/09/2019 0:00:00","02","02","RTR201909V00021","130227118","","Retur 2 Dus Teh Lemon Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.SINARSAHABAT INTIMAKMUR","K","36274,37",
"29","01/09/2019 0:00:00","02","02","RTR201909V00002","130227118","","Retur 1 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.SINARSAHABAT INTIMAKMUR","K","12347,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00012","130227118","","Retur 1 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.SINARSAHABAT INTIMAKMUR","K","4825,7",
"29","01/09/2019 0:00:00","02","02","RTR201909V00010","130227118","","Retur 3 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.SINARSAHABAT INTIMAKMUR","K","37043,127",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 5 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari Naga Pekayon","K","65549",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 2 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari Naga Pekayon","K","11399,3",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 171 Dus Teh Hitam Celup Walini Klasik Amplop-Dus 45 g (25 TB x 1,8 g) dari Naga Pekayon","K","3002076",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 128 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari Naga Pekayon","K","729597,44",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 126 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari Naga Pekayon","K","2686068",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 80 Dus Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g) dari Naga Pekayon","K","1254000",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","130227130","","Retur 47 Dus Teh Wangi Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g) dari Naga Pekayon","K","736725",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","130227267","","Retur 3 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","16998,3",
"29","01/09/2019 0:00:00","02","02","RTR201909V00007","130227267","","Retur 5 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","28330,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00013","130227267","","Retur 2 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","11332,2",
"29","01/09/2019 0:00:00","02","02","RTR201909V00015","","","Retur 2 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","11332,706",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","","","Retur 8 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","45328,8",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","","","Retur 7 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","39664,471",
"29","01/09/2019 0:00:00","02","02","RTR201909V00017","","","Retur 1 Bungkus Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","5666,353",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","","","Retur 6 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","34102,2",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","","","Retur 2 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","11368,016",
"29","01/09/2019 0:00:00","02","02","RTR201909V00015","","","Retur 1 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","5684,008",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","130227267","","Retur 7 Dus Teh Hitam Celup DC Goalpara IHT-Dus 60 Dus (30 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","39785,9",
"29","01/09/2019 0:00:00","02","02","RTR201909V00007","130227267","","Retur 7 Dus Teh Hitam Celup DC Goalpara IHT-Dus 60 Dus (30 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","39785,9",
"29","01/09/2019 0:00:00","02","02","RTR201909V00013","","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","40573,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00017","","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","51859,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00006","130227267","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","40573,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00007","130227267","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","40573,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","130227267","","Retur 6 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","81147",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","","","Retur 3 Dus Teh Hitam Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","51859,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","","","Retur 7 Dus Teh Hitam Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","121005,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00017","","","Retur 1 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","20992,4",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","","","Retur 6 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","125954,4",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","","","Retur 9 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","188931,6",
"29","01/09/2019 0:00:00","02","02","RTR201909V00013","","","Retur 4 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","58014",
"29","01/09/2019 0:00:00","02","02","RTR201909V00006","130227267","","Retur 1 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","20992,4",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","130227267","","Retur 1 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","K","20992,4",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","55566,588",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","130227272","","Retur 24 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","444532,704",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","130227272","","Retur 103 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","1703372,594",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 76 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","1256857,448",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 76 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","715007,392",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","130227272","","Retur 3 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","45569,964",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 1 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","15189,988",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 5 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","75949,94",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","130227272","","Retur 11 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","167089,868",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","130227272","","Retur 363 Dus Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","3415101,096",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 19 Dus Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","178751,848",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 123 Dus Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","2034124,554",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","130227272","","Retur 39 Dus Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","644966,322",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","130227272","","Retur 7 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","157439,744",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 35 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","K","787198,72",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 4 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.LION SUPER INDO","K","25480,004",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","130227272","","Retur 3 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.LION SUPER INDO","K","19110,003",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 3 Dus Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g) dari PT.LION SUPER INDO","K","19110,003",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","130227272","","Retur 3 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.LION SUPER INDO","K","42629,961",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","130227272","","Retur 3 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.LION SUPER INDO","K","42629,961",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","130227272","","Retur 4 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.LION SUPER INDO","K","56839,2",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","130227272","","Retur 1 Bungkus Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g) dari PT.LION SUPER INDO","K","14209,987",
