"Kodeunit","Tanggal","Waktu","NoBukti","NoPO","NoFaktur","NoInvoice","TglFaktur","TglKembali","TglBayar","JnsBayar","kdBeli","BatasTOP","norek","StatPPN","Batal","JmlNilaiFaktur","JmlDipindahkan","JmlNilaiBayar",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","1256857,448","0",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","2034124,554","0",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","787198,72","0",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","55566,588","0",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","19110,003","0",
"29","01/09/2019 0:00:00","17:19:54","RTR201909V00001","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","56839,2","0",
"29","01/09/2019 0:00:00","17:36:52","RTR201909V00002","5503","FAK201811V00989","T. 0989 R/MIH/I-TEH/X/2018","05/11/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","12347,5","0",
"29","01/09/2019 0:00:00","17:41:12","RTR201909V00003","1051221","FAK201902V00076","T. 0076 R/MIH/I-TEH/II/2019","11/02/2019 0:00:00","20/02/2019 0:00:00","01/01/1900 0:00:00","","L07118","30","130227118","Y","","0","1177008,448","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10314518-0000004","FAK201809V00836","T. 0836 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","3002076","0",
"29","01/09/2019 0:00:00","17:47:39","RTR201909V00004","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","157439,744","0",
"29","01/09/2019 0:00:00","17:47:39","RTR201909V00004","MUH9AL066","FAK201901V00028","T. 0028 R/MIH/I-TEH/I/2019","23/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","444532,704","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10314518-0000004","FAK201809V00836","T. 0836 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","729597,44","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10214518-0000003","FAK201809V00835","T. 0835 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","2686068","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","715007,392","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","178751,848","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","15189,988","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","75949,94","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","25480,004","0",
"29","01/09/2019 0:00:00","19:47:12","RTR201909V00018","MU89AH008","FAK201901V00017","T. 0017 R/MIH/I-TEH/I/2019","17/01/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","60","130227272","Y","","0","42629,961","0",
"29","01/09/2019 0:00:00","19:59:01","RTR201909V00019","MUR9BB066","FAK201902V00078","T. 0078 R/MIH/I-TEH/II/2019","12/02/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","30","130227272","Y","","0","3415101,096","0",
"29","01/09/2019 0:00:00","19:59:01","RTR201909V00019","MUR9BB066","FAK201902V00078","T. 0078 R/MIH/I-TEH/II/2019","12/02/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","30","130227272","Y","","0","45569,964","0",
"29","01/09/2019 0:00:00","19:59:01","RTR201909V00019","MUR9BB066","FAK201902V00078","T. 0078 R/MIH/I-TEH/II/2019","12/02/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","30","130227272","Y","","0","167089,868","0",
"29","01/09/2019 0:00:00","19:59:01","RTR201909V00019","MUR9BB066","FAK201902V00078","T. 0078 R/MIH/I-TEH/II/2019","12/02/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","30","130227272","Y","","0","19110,003","0",
"29","01/09/2019 0:00:00","19:59:01","RTR201909V00019","MUR9BB066","FAK201902V00078","T. 0078 R/MIH/I-TEH/II/2019","12/02/2019 0:00:00","27/03/2019 0:00:00","01/01/1900 0:00:00","","L07272","30","130227272","Y","","0","42629,961","0",
"29","01/09/2019 0:00:00","20:02:59","RTR201909V00020","1133240","FAK201904V00276","T. 0276 R/MIH/I-TEH/IV/2019","16/04/2019 0:00:00","19/04/2019 0:00:00","01/01/1900 0:00:00","","L07118","30","130227118","Y","","0","2809061,508","0",
"29","01/09/2019 0:00:00","20:07:25","RTR201909V00021","78185","FAK201812V01191","T. 1191 R/MIH/I-TEH/XII/2018","31/12/2018 0:00:00","10/01/2019 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","36274,37","0",
"29","01/09/2019 0:00:00","20:11:04","RTR201909V00022","","FAK201905V00358","T. 0358 R/MIH/I-TEH/V/2019","14/05/2019 0:00:00","29/05/2019 0:00:00","01/01/1900 0:00:00","","L00058","30","130220058","Y","","0","5299008","0",
"29","01/09/2019 0:00:00","18:50:02","RTR201909V00006","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","40573,5","0",
"29","01/09/2019 0:00:00","18:50:02","RTR201909V00006","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","20992,4","0",
"29","01/09/2019 0:00:00","18:56:09","RTR201909V00007","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","28330,5","0",
"29","01/09/2019 0:00:00","18:56:09","RTR201909V00007","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","40573,5","0",
"29","01/09/2019 0:00:00","18:56:09","RTR201909V00007","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","39785,9","0",
"29","01/09/2019 0:00:00","19:01:17","RTR201909V00008","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","16998,3","0",
"29","01/09/2019 0:00:00","19:01:17","RTR201909V00008","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","81147","0",
"29","01/09/2019 0:00:00","19:01:17","RTR201909V00008","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","20992,4","0",
"29","01/09/2019 0:00:00","19:01:17","RTR201909V00008","08082304-I-7415","FAK201809V00832","T. 0832 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","39785,9","0",
"29","01/09/2019 0:00:00","19:06:10","RTR201909V00009","5503","FAK201811V00989","T. 0989 R/MIH/I-TEH/X/2018","05/11/2018 0:00:00","01/01/1900 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","31344,192","0",
"29","01/09/2019 0:00:00","19:11:43","RTR201909V00010","78185","FAK201812V01191","T. 1191 R/MIH/I-TEH/XII/2018","31/12/2018 0:00:00","10/01/2019 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","37043,127","0",
"29","01/09/2019 0:00:00","19:14:13","RTR201909V00011","78185","FAK201812V01191","T. 1191 R/MIH/I-TEH/XII/2018","31/12/2018 0:00:00","10/01/2019 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","10509,004","0",
"29","01/09/2019 0:00:00","19:16:34","RTR201909V00012","78185","FAK201812V01191","T. 1191 R/MIH/I-TEH/XII/2018","31/12/2018 0:00:00","10/01/2019 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","4825,7","0",
"29","01/09/2019 0:00:00","19:16:34","RTR201909V00012","78185","FAK201812V01191","T. 1191 R/MIH/I-TEH/XII/2018","31/12/2018 0:00:00","10/01/2019 0:00:00","01/01/1900 0:00:00","","L07118","60","130227118","Y","","0","51874,46","0",
"29","01/09/2019 0:00:00","19:24:34","RTR201909V00013","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","40573,5","0",
"29","01/09/2019 0:00:00","19:24:34","RTR201909V00013","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","58014","0",
"29","01/09/2019 0:00:00","19:24:34","RTR201909V00013","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","130227267","Y","","0","11332,2","0",
"29","01/09/2019 0:00:00","19:29:31","RTR201909V00014","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","45328,8","0",
"29","01/09/2019 0:00:00","19:29:31","RTR201909V00014","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","51859,5","0",
"29","01/09/2019 0:00:00","19:29:31","RTR201909V00014","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","125954,4","0",
"29","01/09/2019 0:00:00","19:29:31","RTR201909V00014","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","34102,2","0",
"29","01/09/2019 0:00:00","19:36:43","RTR201909V00015","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","11332,706","0",
"29","01/09/2019 0:00:00","19:36:43","RTR201909V00015","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","5684,008","0",
"29","01/09/2019 0:00:00","19:39:55","RTR201909V00016","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","39664,471","0",
"29","01/09/2019 0:00:00","19:39:55","RTR201909V00016","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","121005,5","0",
"29","01/09/2019 0:00:00","19:39:55","RTR201909V00016","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","188931,6","0",
"29","01/09/2019 0:00:00","19:39:55","RTR201909V00016","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","11368,016","0",
"29","01/09/2019 0:00:00","19:43:40","RTR201909V00017","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","5666,353","0",
"29","01/09/2019 0:00:00","19:43:40","RTR201909V00017","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","51859,5","0",
"29","01/09/2019 0:00:00","19:43:40","RTR201909V00017","09040083-J-4215","FAK201810V00910","T. 0910 R/MIH/I-TEH/X/2018","22/10/2018 0:00:00","17/12/2018 0:00:00","01/01/1900 0:00:00","","L07267","60","","Y","","0","20992,4","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10214518-0000003","FAK201809V00835","T. 0835 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","736725","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10214518-0000003","FAK201809V00835","T. 0835 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","1254000","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10314518-0000004","FAK201809V00836","T. 0836 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","11399,3","0",
"29","01/09/2019 0:00:00","18:02:15","RTR201909V00005","10314518-0000004","FAK201809V00836","T. 0836 R/MIH/I-TEH/IX/2018","28/09/2018 0:00:00","30/11/2018 0:00:00","01/01/1900 0:00:00","","L07130","60","130227130","Y","","0","65549","0",
