"KodeProduk","NamaProduk",
"8992829101175","Teh Hitam Celup SC Jayakarta-Paper Sachet 2 g",
"8992829110400","Teh Hitam TB1 Celup SC Walini-Sachet 2 g",
"8992829110401","Teh Hitam TB5 Celup SC Walini-Sachet 10 g",
"8992829110402","Teh Hitam TB5 Celup SC Walini-Sachet 9 g",
"8992829117786","Teh Hitam Seduh Malabar BOPF-Paper Kraft 100 gr",
"8992829117784","Teh Seduh Hitam Walini Holding",
"8992829117783","Teh Lemon DPE - Bks 1 KG",
"8992829117781","Teh Hitam Seduh Jasmine BM",
"8992829117780","Teh Hitam Seduh Dayeuhmanggung BOP-Paper Kraft 500 gr",
"8992829117779","Teh Hitam Seduh Dayeuhmanggung BOPF-Paper Kraft 500 gr",
"8992829117778","Teh Hijau Seduh Konacha",
"8992829117777","Teh Hitam Seduh Rancabali BOPF-Paper Kraft 500 gr",
"8992829117776","Teh Hitam Seduh Sukawana BP1-Paper Kraft 500 gr",
"8992829117775","Teh Hitam Seduh Bunara - Metalized Roll 100 gr",
"8992829117774","Teh Hijau Seduh Green Fann",
"8992829117773","Teh Hitam Seduh Sour Sally/Gulu-Gulu Metalized Roll 1000 g",
"8992829117772","Teh Hitam seduh Malabar BOPF-Paper Kraft 500 g",
"8992829117771","Teh Hitam seduh Ciater BOPF-Paper Kraft 500 g",
"8992829110042","Teh Hijau Celup SC Goalpara - Dus 50 g (25 TB x 2 g)",
"8992829110040","Teh Hitam Celup SC Goalpara IHT-Dus 200 g (100 TB x 2 g)",
"8992829110039","Teh Hitam Celup SC Goalpara IHT-Sachet 10 g (5 TB X 2 G)",
"8992829110038","Teh Hitam Celup SC Goalpara IHT-Dus 60 g (30 TB x 2 gr)",
"8992829110037","Teh Hitam Celup SC Goalpara -Dus 50 g (25 TB x 2 g)",
"8992829112200","Teh Hitam Celup SC SP Gunung Mas-Dus 1.11 Kg (25 TB x 1.85 g)",
"8992829112201","Teh Hitam Celup SC Merpati Nusantara-Plastik 1 Kg (500 TB x 2 g)",
"8992829112202","Teh Hitam Celup SC Netral-Plastik 0,925 Kg (500 TB x 1.85 kg)",
"8992829112203","Teh Hitam Celup SC Puncak Pass-Plastik 1.85 Kg (500 TB x 1.85 g)",
"8992829112204","Teh Hitam Celup SC Borobudur-Plastik 1.85 Kg (500 TB x 1.85 g)",
"8992829112205","Teh Hitam Celup SC Garuda Logo/ACS Blank-Paper Sachet 1.85 Kg",
"8992829112206","Teh Hitam Seduh Gunung Mas-Bungkus 50 g (280 x 50 g)",
"8992829112207","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (140 x 100 g)",
"8992829112208","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (56 x 250 g)",
"8992829112223","Teh Hijau Seduh Gunung Mas GP",
"8992829112254","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (80 x 250 g)",
"8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)",
"8992829112256","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (60 x 250 g)",
"8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)",
"8992829111101","Teh Hitam Seduh Goalpara IHT-Bungkus 50 g (240 x 50 g)",
"8992829111102","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)",
"8992829111103","Teh Hitam Seduh Goalpara IHT-Bungkus 250 g (48 x 250 g)",
"8992829111130","Teh Hitam Seduh Goalpara IHT-Bungkus 50 g (240 x 50 g)",
"8992829111131","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)",
"8992829111132","Teh Hitam Seduh Goalpara IHT-Bungkus 250 g (48 x 250 g)",
"8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)",
"8992829111145","Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g)",
"8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)",
"8992829101100","Teh Hitam Celup SC Preanger-Paper Sachet 2 g",
"8992829101101","Teh Hitam Celup SC Sheraton-Paper Sachet 2 g",
"8992829101102","Teh Jahe Celup SC Sheraton-Paper Sachet 2 g",
"8992829101103","Teh Lemon Celup SC Sheraton-Paper Sachet 2 g",
"8992829101104","Teh Organik Celup SC Sheraton-Paper Sachet 2 g",
"8992829101105","Teh Hijau Celup SC Sheraton-Paper Sachet 2 g",
"8992829101106","Teh Mint Celup SC Sheraton-Paper Sachet 2 g",
"8992829101107","Teh Leci Celup SC Sheraton-Paper Sachet 2 g",
"8992829101108","Teh Apel Celup SC Sheraton-Paper Sachet 2 g",
"8992829101109","Teh Wangi Celup SC Sheraton-Paper Sachet 2 g",
"8992829101110","Teh Kayu Manis Celup SC Sheraton-Paper Sachet 2 g",
"8992829101111","Teh Blackcurrant Celup SC Sheraton-Paper Sachet 2 g",
"8992829101112","Teh Vanila Celup SC Sheraton-Paper Sachet 2 g",
"8992829101113","Teh Earl Grey Celup SC Sheraton-Paper Sachet 2 g",
"8992829101114","Teh English Breakfast Celup SC Sheraton-Paper Sachet 2 g",
"8992829101115","Teh Hitam Celup SC Holiday Inn-Paper Sachet 2 g",
"8992829101116","Teh Hijau Celup SC Holiday Inn-Paper Sachet 2 g",
"8992829101117","Teh Hitam Celup SC Le Grandeur-Paper Sachet 2 g",
"8992829101118","Teh Hijau Celup SC Le Grandeur-Paper Sachet 2 g",
