"Kodeunit","KodeMerk","TglInput","Waktu","NoInput","kdBeli","NoFaktur","TglFaktur","NoUrut","kd_produk","JmlPak","JmlKG","HrgSat","JmlNilai","norek","PPN","Keterangan","StatPPN","tglkom","namauser",
"29","290","01/09/2019 0:00:00","18:50:02","RTR201909V00006","L07267","FAK201809V00832","","001","8992829100022","1","0,0450","19084,0000","19084,00","130227267","1908,4","MEMO 023","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","18:50:02","RTR201909V00006","L07267","FAK201809V00832","","002","8992829100016","3","0,1500","12295,0000","36885,00","130227267","3688,5","MEMO 023","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","18:56:09","RTR201909V00007","L07267","FAK201809V00832","","001","8992829110031","7","0,4200","5167,0000","36169,00","130227267","3616,9","MEMO 024 - SHZ1-R-C19-6162","Y","25/09/2019 18:56:09","aldi",
"29","290","01/09/2019 0:00:00","18:56:09","RTR201909V00007","L07267","FAK201809V00832","","002","8992829100016","3","0,1500","12295,0000","36885,00","130227267","3688,5","MEMO 024 - SHZ1-R-C19-6162","Y","25/09/2019 18:56:09","aldi",
"29","290","01/09/2019 0:00:00","18:56:09","RTR201909V00007","L07267","FAK201809V00832","","003","8992829111145","5","0,5000","5151,0000","25755,00","130227267","2575,5","MEMO 024 - SHZ1-R-C19-6162","Y","25/09/2019 18:56:09","aldi",
"29","290","01/09/2019 0:00:00","19:01:17","RTR201909V00008","L07267","FAK201809V00832","","001","8992829110031","7","0,4200","5167,0000","36169,00","130227267","3616,9","MEMO 025 - SHZ1-R-C19-4233","Y","25/09/2019 19:01:17","aldi",
"29","290","01/09/2019 0:00:00","19:01:17","RTR201909V00008","L07267","FAK201809V00832","","002","8992829100022","1","0,0450","19084,0000","19084,00","130227267","1908,4","MEMO 025 - SHZ1-R-C19-4233","Y","25/09/2019 19:01:17","aldi",
"29","290","01/09/2019 0:00:00","19:01:17","RTR201909V00008","L07267","FAK201809V00832","","003","8992829100016","6","0,3000","12295,0000","73770,00","130227267","7377","MEMO 025 - SHZ1-R-C19-4233","Y","25/09/2019 19:01:17","aldi",
"29","290","01/09/2019 0:00:00","19:01:17","RTR201909V00008","L07267","FAK201809V00832","","004","8992829111145","3","0,3000","5151,0000","15453,00","130227267","1545,3","MEMO 025 - SHZ1-R-C19-4233","Y","25/09/2019 19:01:17","aldi",
"29","290","01/09/2019 0:00:00","19:06:10","RTR201909V00009","L07118","FAK201811V00989","","001","8992829110037","6","0,3000","4749,1200","28494,72","130227118","2849,472","MEMO 026 - 313763","Y","25/09/2019 19:06:10","aldi",
"29","290","01/09/2019 0:00:00","19:24:34","RTR201909V00013","L07267","FAK201810V00910","","001","8992829111145","2","0,2000","5151,0000","10302,00","130227267","1030,2","MEMO 030 - SCZ1-R-A19-0717","Y","25/09/2019 19:24:34","aldi",
"29","290","01/09/2019 0:00:00","19:24:34","RTR201909V00013","L07267","FAK201810V00910","","002","8992829100004","4","0,2000","13185,0000","52740,00","","5274","MEMO 030 - SCZ1-R-A19-0717","Y","25/09/2019 19:24:34","aldi",
