"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07182","FAK201809V00840","28/09/2018 0:00:00","07/11/2018 0:00:00","18400","3520","147488000","0","0","",
"29","L07229","FAK201804V00195","12/04/2018 0:00:00","07/08/2018 0:00:00","1280","320","13235200","0","0","",
"29","L07229","FAK201804V00194","12/04/2018 0:00:00","07/08/2018 0:00:00","2064","44,88","4519680","0","0","",
"29","L07229","FAK201804V00179","09/04/2018 0:00:00","11/04/2018 0:00:00","9006","724,8","30406200","0","0","",
"29","L07229","FAK201804V00180","09/04/2018 0:00:00","11/04/2018 0:00:00","864","172,8","9071568","0","0","",
"29","L07229","FAK201802V00114","28/02/2018 0:00:00","26/04/2018 0:00:00","480","24","2059200","0","0","",
"29","L07229","FAK201802V00108","27/02/2018 0:00:00","26/04/2018 0:00:00","3280","460","21005600","0","0","",
"29","L07229","FAK201802V00105","26/02/2018 0:00:00","26/04/2018 0:00:00","672","40,32","2598288","0","0","",
"29","L07229","FAK201801V00064","30/01/2018 0:00:00","07/02/2018 0:00:00","3600","480","20430960","0","0","",
"29","L07229","FAK201801V00026","16/01/2018 0:00:00","20/01/2018 0:00:00","10840","1060","46195820","0","0","",
"29","L07236","FAK201909V00700","16/09/2019 0:00:00","19/09/2019 0:00:00","9160","1828","78214400","0","0","",
"29","L07236","FAK201907V00536","19/07/2019 0:00:00","22/07/2019 0:00:00","4640","944","39424000","0","0","",
"29","L07236","FAK201907V00499","02/07/2019 0:00:00","05/07/2019 0:00:00","5120","968","41483200","0","0","",
"29","L07236","FAK201905V00397","29/05/2019 0:00:00","03/06/2019 0:00:00","8000","2000","82720000","0","0","",
"29","L07236","FAK201904V00264","16/04/2019 0:00:00","15/05/2019 0:00:00","13680","1809,6","106871996,88","0","0","",
"29","L07236","FAK201902V00141","28/02/2019 0:00:00","29/03/2019 0:00:00","6000","1254","61331952","0","0","",
"29","L07236","FAK201902V00063","04/02/2019 0:00:00","29/03/2019 0:00:00","8320","1638,4","88610717,36","0","0","",
"29","L07236","FAK201901V00020","31/01/2019 0:00:00","29/03/2019 0:00:00","6000","1291,2","60969480","0","0","",
"29","L07236","FAK201811V01088","30/11/2018 0:00:00","25/01/2019 0:00:00","12800","2420","103708000","0","0","",
"29","L07236","FAK201810V00907","19/10/2018 0:00:00","07/11/2018 0:00:00","14080","2341,6","102502400","0","0","",
"29","L07182","FAK201809V00841","28/09/2018 0:00:00","07/11/2018 0:00:00","18400","3520","147488000","0","0","",
