"kodeunit","kd_bud","kd_Jnsprod","kd_Kelompok","nm_kelompok",
"29","02","0210","100","Walini Celup SC/SC Dus",
"29","02","0210","101","Walini Celup SC/SC Amplop",
"29","02","0210","104","Walini Celup SC/SC Plastik (Sachet)",
"29","02","0210","105","Walini Seduh Dus/Box/Can",
"29","02","0210","107","Walini Seduh (Kertas/Alu/Plastik)",
"29","02","0210","108","Walini RTD",
"29","02","0210","110","Goalpara Celup DC/SC LMS",
"29","02","0210","111","Goalpara Seduh IHT",
"29","02","0210","112","Gunung Mas",
"29","02","0210","113","Sedap",
"29","02","0210","114","Lain-lain Celup",
"29","02","0210","117","Lain-lain Seduh",
