"kd_bud","kd_jnsprod","kd_kelompok","No_Produk","Varian","Jenis","Merk","Kd_Satuan","kd_kemasan","Berat","Ukuran","kd_Produk","Nm_Produk","kd_grade","Uraian","DusPerMC","BeratPerMC","Sts",
"02","0210","101","175","Hitam","Celup SC","Jayakarta","38","02","2,00000","","8992829101175","Teh Hitam Celup SC Jayakarta-Paper Sachet 2 g","10175","","500","1","Ya",
"02","0210","104","400","Hitam","Celup SC","Walini","38","03","2,00000","","8992829110400","Teh Hitam TB1 Celup SC Walini-Sachet 2 g","10400","","500","1,2","Ya",
"02","0210","104","401","Hitam","Celup SC","Walini","38","03","10,00000","","8992829110401","Teh Hitam TB5 Celup SC Walini-Sachet 10 g","10401","","120","1,2","Ya",
"02","0210","104","402","Hitam","Celup SC","Walini","38","03","9,00000","","8992829110402","Teh Hitam TB5 Celup SC Walini-Sachet 9 g","10402","","120","1,08","Ya",
"02","0210","117","700","Jahe","Seduh","Anugerah Alam","01","11","10,00000","","8992829117700","Teh Jahe Seduh Anugerah Alam-Plastik 10 gr","11700","","0","0","Tidak",
"02","0210","117","701","Hitam","Seduh","ETI","01","01","50,00000","","8992829117701","Teh Hitam Seduh ETI-Dus 50 gr","11701","","0","0","Tidak",
"02","0210","117","702","Hitam","Seduh","ETI","01","01","20,00000","","8992829117702","Teh Hitam Seduh ETI-Dus 20 gr","11702","","0","0","Tidak",
"02","0210","117","703","DUST","1","ARUMSARI CTC","01","13","1000,00000","Kg","8992829117703","Teh Hitam Seduh DUST 1","11703","","0","0","Tidak",
"02","0210","117","704","Hitam","Seduh","PF - 1","01","13","1000,00000","Kg","8992829117704","Teh Hitam Seduh PF -1","17704","","1","50","Ya",
"02","0210","117","705","Jasmine","Seduh","DMC","37","01","30,00000","","8992829117705","Teh Jasmine Seduh DMC-Dus 30 g","11705","","0","0","Tidak",
"02","0210","117","706","Hitam","Seduh","BOPF","01","13","1000,00000","Kg","8992829117706","Teh Hitam Seduh BOPF","11706","","0","0","Tidak",
"02","0210","117","707","Jahe","Seduh","Java Tea","01","10","1000,00000","","8992829117707","Teh Jahe Seduh Java Tea-Alu Paper 1 gr","11707","","0","0","Tidak",
"02","0210","117","770","Hitam","Seduh","FANN II","01","13","1000,00000","","8992829117770","Teh Hitam Seduh FANN II","17770","","1","1","Ya",
"02","0210","117","771","Hitam","Seduh","BOPF","38","18","500,00000","gr","8992829117771","Teh Hitam seduh Ciater BOPF-Paper Kraft 500 g","17771","","1","0,5","Ya",
"02","0210","117","772","Hitam","Seduh","BOPF","38","18","500,00000","gr","8992829117772","Teh Hitam seduh Malabar BOPF-Paper Kraft 500 g","17772","","1","0,5","Ya",
"02","0210","117","773","Hitam","Seduh","BM","01","13","1000,00000","Kg","8992829117773","Teh Hitam Seduh Sour Sally/Gulu-Gulu Metalized Roll 1000 g","17773","","1","50","Ya",
"02","0210","117","774","Hijau","Seduh","Cakra","01","13","1000,00000","Kg","8992829117774","Teh Hijau Seduh Green Fann","17774","","1","50","Ya",
"02","0210","117","775","Hitam","Seduh","Bunara","38","15","100,00000","gr","8992829117775","Teh Hitam Seduh Bunara - Metalized Roll 100 gr","17775","","1","1","Ya",
"02","0210","117","776","Hitam","Seduh","BP1","38","18","500,00000","gr","8992829117776","Teh Hitam Seduh Sukawana BP1-Paper Kraft 500 gr","17776","","1","0,5","Ya",
"02","0210","117","777","Hitam","Seduh","BOPF","38","18","500,00000","gr","8992829117777","Teh Hitam Seduh Rancabali BOPF-Paper Kraft 500 gr","17777","","1","0,5","Ya",
"02","0210","117","778","Hijau","Seduh","Cakra","01","13","1000,00000","gr","8992829117778","Teh Hijau Seduh Konacha","17778","","1","50","Ya",
"02","0210","117","779","Hitam","Seduh","BOPF","38","18","500,00000","gr","8992829117779","Teh Hitam Seduh Dayeuhmanggung BOPF-Paper Kraft 500 gr","17779","","1","0,5","Ya",
"02","0210","117","780","Hitam","Seduh","BOP","38","18","500,00000","gr","8992829117780","Teh Hitam Seduh Dayeuhmanggung BOP-Paper Kraft 500 gr","17780","","1","0,5","Ya",
"02","0210","117","781","Jasmine","Seduh","BM","01","13","1000,00000","gr","8992829117781","Teh Hitam Seduh Jasmine BM","17781","","1","50","Ya",
"02","0210","117","783","Lemon","Seduh","DPE","01","13","1000,00000","gr","8992829117783","Teh Lemon DPE - Bks 1 KG","17783","","1","1","Ya",
"02","0210","117","784","Hitam","Seduh","Walini","01","15","100,00000","gr","8992829117784","Teh Seduh Hitam Walini Holding","17784","","24","2,4","Ya",
"02","0210","107","700","Hitam","Ekstrak","Walini","38","11","1000,00000","","8992829107700","Teh Hitam Ekstrak Walini-Plastik 1000 g","10700","","0","0","Tidak",
"02","0210","107","701","Hijau","Ekstrak","Walini","38","11","1000,00000","","8992829107701","Teh Hijau Ekstrak Walini-Plastik 1000 g","10701","","0","0","Tidak",
"02","0210","107","702","Susu","Instan","Walini","38","01","100,00000","(5 x 20 g)","8992829107702","Teh Susu Instan Walini-Dus 100 g (5 x 20 g)","10702","","90","9","Ya",
"02","0210","107","703","Lemon","Instan","Walini","38","01","100,00000","(5 x 20 g)","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","10703","","90","9","Ya",
"02","0210","107","704","Wangi Hitam","Seduh","Walini","38","15","10,00000","(1200 x 10 g)","8992829107704","Teh Hitam Seduh Walini-Kertas 10 g (1200 x 10 g)","10704","","0","0","Tidak",
"02","0210","107","705","Wangi Hitam","Seduh","Walini","38","15","50,00000","(280 x 50 g)","8992829107705","Teh Hitam Seduh Walini-Kertas 50 g (280 x 50 g)","10705","","0","0","Tidak",
"02","0210","107","706","Wangi Hitam","Seduh","Walini","38","15","100,00000","(150 x 100 g)","8992829107706","Teh Hitam Seduh Walini-Kertas 100 g (150 x 100 g)","10706","","0","0","Tidak",
"02","0210","107","707","Hitam","Seduh","Walini","38","15","250,00000","","8992829107707","Teh Hitam Seduh Walini-Kertas 250 g","10707","","0","0","Tidak",
"02","0210","107","708","Wangi","Instan","Walini","38","03","20,00000","","8992829107708","Teh Wangi Instan Walini-Sachet 20 g","10708","","0","0","Tidak",
"02","0210","112","200","Hitam","Celup SC","SP Gunung Mas","25","01","46,25000","(25 TB x 1.85 g)","8992829112200","Teh Hitam Celup SC SP Gunung Mas-Dus 1.11 Kg (25 TB x 1.85 g)","11200","","24","1,11","Ya",
"02","0210","112","201","Hitam","Celup SC","Merpati Nusantara","25","11","100,00000","(500 TB x 2 g)","8992829112201","Teh Hitam Celup SC Merpati Nusantara-Plastik 1 Kg (500 TB x 2 g)","11201","","500","0,925","Ya",
"02","0210","112","202","Hitam","Celup SC","Netral","25","14","1,85000","(500 TB x 1.85 g)","8992829112202","Teh Hitam Celup SC Netral-Plastik 0,925 Kg (500 TB x 1.85 kg)","11202","","500","0,925","Ya",
"02","0210","112","203","Hitam","Celup SC","Puncak Pass","25","11","185,00000","(500 TB x 1.85 g)","8992829112203","Teh Hitam Celup SC Puncak Pass-Plastik 1.85 Kg (500 TB x 1.85 g)","11203","","500","0,925","Ya",
"02","0210","112","204","Hitam","Celup SC","Borobudur","25","11","185,00000","(500 TB x 1.85 g)","8992829112204","Teh Hitam Celup SC Borobudur-Plastik 1.85 Kg (500 TB x 1.85 g)","11204","","500","0,925","Ya",
"02","0210","112","205","Hitam","Celup SC","Garuda Logo/ACS Blank","25","02","1,85000","","8992829112205","Teh Hitam Celup SC Garuda Logo/ACS Blank-Paper Sachet 1.85 Kg","11205","","500","0,925","Ya",
"02","0210","112","206","Hitam","Seduh","Gunung Mas","26","15","50,00000","(280 x 50 g)","8992829112206","Teh Hitam Seduh Gunung Mas-Bungkus 50 g (280 x 50 g)","11206","","280","14","Ya",
"02","0210","112","207","Hitam","Seduh","Gunung Mas","15","15","100,00000","(140 x 100 g)","8992829112207","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (140 x 100 g)","11207","","140","14","Ya",
"02","0210","112","208","Hitam","Seduh","Gunung Mas","37","15","250,00000","(56 x 250 g)","8992829112208","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (56 x 250 g)","11208","","56","14","Ya",
"02","0210","107","709","Lemon","Instan","Walini","38","03","20,00000","","8992829107709","Teh Lemon Instan Walini-Sachet 20 g","10709","","0","0","Tidak",
"02","0210","107","710","Apel","Instan","Walini","38","03","20,00000","","8992829107710","Teh Apel Instan Walini-Sachet 20 g","10710","","0","0","Tidak",
"02","0210","107","711","Peach","Instan","Walini","38","03","20,00000","","8992829107711","Teh Peach Instan Walini-Sachet 20 g","10711","","0","0","Tidak",
"02","0210","112","223","Hijau","Seduh","Gunung Mas","38","15","200,00000","","8992829112223","Teh Hijau Seduh Gunung Mas GP","11223","","1","1","Ya",
"02","0210","112","254","Hitam","Seduh","Gunung Mas","37","15","250,00000","(80 x 250 g)","8992829112254","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (80 x 250 g)","11254","","80","20","Ya",
"02","0210","112","255","Hitam","Seduh","Gunung Mas","37","15","100,00000","(200 x 100 g)","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","11255","","200","20","Ya",
"02","0210","112","256","Hitam","Seduh","Gunung Mas","37","15","250,00000","(60 x 250 g)","8992829112256","Teh Hitam Seduh Gunung Mas-Bungkus 250 g (60 x 250 g)","11256","","60","15","Ya",
"02","0210","112","257","Hitam","Seduh","Gunung Mas","15","15","100,00000","(150 x 100 g)","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","11257","","150","15","Ya",
"02","0210","107","712","Jahe","Instan","Walini","38","03","20,00000","","8992829107712","Teh Jahe Instan Walini-Sachet 20 g","10712","","0","0","Tidak",
"02","0210","107","713","Gingseng","Instan","Walini","38","16","180,00000","","8992829107713","Teh Gingseng Instan Walini-Sachet 20 g","10713","","0","0","Tidak",
"02","0210","111","100","Hijau","Seduh","Goalpara LMS","25","01","100,00000","","8992829111100","Teh Hijau Seduh Goalpara LMS-Dus 100 g","11100","","0","0","Tidak",
"02","0210","111","101","Hitam","Seduh","Goalpara IHT","25","15","50,00000","(240 x 50 g)","8992829111101","Teh Hitam Seduh Goalpara IHT-Bungkus 50 g (240 x 50 g)","11101","","240","12","Ya",
"02","0210","111","102","Hitam","Seduh","Goalpara IHT","25","15","100,00000","(120 x 100 g)","8992829111102","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)","11102","","120","12","Ya",
