"kodeunit","kodeproduk","namaproduk","kodebarang","namabarang","kodesatuan","namasatuan","nourut","qty","norek","MinimumStock",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02000323","TEH PUTIH WHITE PEONY CISARUIN","01","KILOGRAM","004","4,878","605080000","0",
"29","8992829105515","Teh Putih Seduh Walini-Box 50 g (2 x 25 g)","02100013","METALIZING ROLL TS WALINI 250 MM","15","ROLL","003","0,3","605040000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02100025","POLYCELONIUM STRIP WALINI INSTAN LEMON","15","ROLL","001","1,05","605040000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000194","FLAVOUR KERING LEMON UTK WALINI","01","KILOGRAM","002","1","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000192","ASAM SITRAT","01","KILOGRAM","003","2","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02100103","DUS WALINI TEH INSTAN LEMON","31","PCS","004","1000","605040000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000204","SUCRALOSE","01","KILOGRAM","005","0,075","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000210","EKSTRAK KERING TEH HIJAU JVP (GTX)","01","KILOGRAM","006","1,5","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000257","EKSTRAK KERING TEH HITAM (BTX)","01","KILOGRAM","007","0,5","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000287","HDKN (SILIKA)","01","KILOGRAM","008","0,05","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02000279","GULA KASTOR","01","KILOGRAM","009","94,875","605080000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02100028","OPP LEBAR 200 MM","01","KILOGRAM","010","1,916","605040000","0",
"29","8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)","02100298","SEALTAPE 2'","15","ROLL","011","0,2749","605040000","0",
"29","8992829112206","Teh Hitam Seduh Gunung Mas-Bungkus 50 g (280 x 50 g)","00100173","NATRIUM BENZOAT","01","KILOGRAM","007","0,0071","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829100007","Teh Apel Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100069","DUS WALINI TC APEL","31","PCS","001","2000","605040000","0",
"29","8992829100007","Teh Apel Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","002","83,33","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02100228","BENANG 20/3","01","KILOGRAM","002","1,11","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,9536","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02100319","TEA TAG WALINI SINGLE CLASSIC MAISA","31","PCS","004","55555","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02100415","PAPER SACHET WALINI KLASIK WANGI","31","PCS","005","55555","605040000","0",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02100376","KARTON GOALPARA SEDUH ALL VARIANT","31","PCS","001","12,5","605040000","0",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02100361","PLASTIK BAL GOALPARA SEDUH MASINAL 250 GR","01","KILOGRAM","002","0,6663","605040000","0",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02100298","SEALTAPE 2'","15","ROLL","003","0,195","605040000","0",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02100236","SEALTAPE 0,5 INCI","15","ROLL","004","0,7775","605040000","0",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02100348","METALIZED ROLL GOALPARA SEDUH 250 GRAM","15","ROLL","005","0,0925","605040000","0",
