"kodeunit","tgltran","nobukti","noaktiva","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","tarifpct","jmlunit","satuan","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","kbns","reks","murnis","stopr","thntnm","kondisi",
"71","01-01-2017 00:00:00","SALDO AWAL","7100100030","12","00","001","001000000","21-01-2004 00:00:00","TM AFD.III TAHUN TANAM 1996","04","4","40,97","Hektare","856140849","0","0","0","0","0","0","363401898,13","0","0","0","0","0","0","","2004","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300055","02","00","003","003030000","01-01-1989 00:00:00","RUMAH KARYAWAN 18","01","5","1","UNIT","2107609","0","0","0","0","0","0","2107608","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500020","30","00","005","005010000","01-01-1995 00:00:00","POMPA KETEL UAP","05","5","1","UNIT","2826950","0","0","0","0","0","0","2826949","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800022","21","00","008","008050000","01-01-1972 00:00:00","BAK COAGULASI","04","20","40","BUAH","2085706","0","0","0","0","0","0","2085666","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800023","21","00","008","008050000","01-01-1980 00:00:00","BAK COAGULASI","04","20","6","BUAH","13443380","0","0","0","0","0","0","13443374","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800024","21","00","008","008050000","01-01-1983 00:00:00","BAK COAGULASI","04","20","3","BUAH","8284980","0","0","0","0","0","0","8284977","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800026","21","00","008","008050000","01-01-1988 00:00:00","BAK COAGULASI","04","20","4","BUAH","6247131","0","0","0","0","0","0","6247127","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800027","21","00","008","008050000","01-01-1988 00:00:00","SEKAT","04","20","1600","BUAH","39450000","0","0","0","0","0","0","39448400","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800028","21","00","008","008050000","01-01-1988 00:00:00","BAK COAGULASI","04","20","5","BUAH","12475964","0","0","0","0","0","0","12475959","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800029","21","00","008","008050000","01-01-1989 00:00:00","TIMBANGAN","04","20","2","BUAH","1500000","0","0","0","0","0","0","1499998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800031","21","00","008","008050000","01-01-1989 00:00:00","SKAT ALM","04","20","99","BUAH","4650000","0","0","0","0","0","0","4649901","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800032","21","00","008","008050000","01-01-1989 00:00:00","BAK COAGULASI","04","20","4","BUAH","59366100","0","0","0","0","0","0","59366096","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800033","21","00","008","008050000","01-01-1989 00:00:00","BAK COAGULASI","04","20","3","BUAH","13098150","0","0","0","0","0","0","13098147","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800034","21","00","008","008050000","01-01-1989 00:00:00","SKAT ALM","04","20","500","BUAH","9732840","0","0","0","0","0","0","9732340","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800035","30","00","008","008050000","01-01-1989 00:00:00","TABUNG AMONIAK","04","20","5","BUAH","1392500","0","0","0","0","0","0","1392495","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800036","21","00","008","008050000","01-01-1989 00:00:00","PRES BAL KARET","04","20","1","BUAH","2015000","0","0","0","0","0","0","2014999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800037","21","00","008","008050000","01-01-1990 00:00:00","THERMOMETER","04","20","5","BUAH","481250","0","0","0","0","0","0","481245","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800038","30","00","008","008050000","01-01-1990 00:00:00","TABUNG GAS","04","20","8","BUAH","4967600","0","0","0","0","0","0","4967592","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800039","21","00","008","008050000","01-01-1990 00:00:00","LORI DORONG","04","20","2","BUAH","550000","0","0","0","0","0","0","549998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800040","21","00","008","008050000","01-01-1990 00:00:00","TIMBANGAN CONTOH","04","20","4","BUAH","296670","0","0","0","0","0","0","296666","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800041","21","00","008","008050000","01-01-1990 00:00:00","SKAT ALUMINIUM","04","20","500","BUAH","8901557","0","0","0","0","0","0","8901057","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800042","02","00","008","008050000","01-06-2011 00:00:00","SERVER SQL 10 CLEAN","04","20","1","UNIT","49800000","0","0","0","0","0","0","49799999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800043","21","00","008","008050000","05-01-1998 00:00:00","PLAT SEKAT ALUMUNIUM U/PAB.CREPE","04","20","350","BUAH","16057075","0","0","0","0","0","0","16056725","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800044","21","00","008","008050000","01-06-1997 00:00:00","SEKAT ALUMUNIUM BARU","04","20","270","BUAH","6885000","0","0","0","0","0","0","6884730","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800045","21","00","008","008050000","31-12-1997 00:00:00","SEKAT ALUMUNIUM U/PAB.RSS","04","20","180","BUAH","8257925","0","0","0","0","0","0","8257745","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800046","30","00","008","008050000","31-12-1999 00:00:00","TIMBANGAN EVERY BERKEL","04","20","1","BUAH","15840000","0","0","0","0","0","0","15839999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800051","21","00","008","008050000","31-10-2003 00:00:00","SEKAT BAK ALUMUNIUM","04","20","1000","BUAH","106500000","0","0","0","0","0","0","106499000","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300021","10","00","003","003030000","01-01-1980 00:00:00","RUMAH KARYAWAN 5","01","5","1","UNIT","2564200","0","0","0","0","0","0","2564199","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500021","30","00","005","005010000","06-01-1996 00:00:00","CREPER TWO ROLLER","05","5","1","UNIT","35332040","0","0","0","0","0","0","35332039","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500022","30","00","005","005010000","07-01-1996 00:00:00","CREPER TWO ROLLER","05","5","1","UNIT","35332040","0","0","0","0","0","0","35332039","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500023","30","00","005","005010000","31-08-1997 00:00:00","KETEL UAP EX VADA","05","5","1","UNIT","42350000","0","0","0","0","0","0","42349999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500024","30","00","005","005010000","31-10-2000 00:00:00","MESIN LAS LISTRIK YANMAR TF155R","05","5","1","UNIT","26675000","0","0","0","0","0","0","26674999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500025","21","00","005","005010000","01-07-2003 00:00:00","MESIN GILING SHEETER EX MALAYSIA 1 UNIT","05","5","1","UNIT","231934199","0","0","0","0","0","0","231934163,454167","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500026","30","00","005","005020000","30-11-2009 00:00:00","1 UNIT CAVASITOR BANK PAB.TPC 6 STEP","05","5","1","UNIT","35375000","0","0","0","0","0","0","12676054,1666667","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500027","21","00","005","005020000","30-11-2009 00:00:00","1 UNIT CAVASITOR BANK PAB.RSS 2 STEP","05","5","1","UNIT","8780000","0","0","0","0","0","0","3146142,66666667","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600001","10","00","006","006010000","01-01-1991 00:00:00","PENGERASAN JALAN AFD.I","01","6,25","1260","METER","4032000","0","0","0","0","0","0","4030740","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600002","10","00","006","006010000","01-01-1991 00:00:00","JALAN AFD.I","01","6,25","1399","METER","5023422","0","0","0","0","0","0","5022023","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600003","10","00","006","006010000","01-01-1991 00:00:00","JALAN/S.AIR AFD.I","01","6,25","2500","METER","5375000","0","0","0","0","0","0","5372500","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600004","11","00","006","006010000","01-01-1991 00:00:00","PENGERASAN JALAN AFD.II","01","6,25","1","METER","5537750","0","0","0","0","0","0","5537749","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600005","12","00","006","006010000","01-01-1991 00:00:00","PENGERASAN JALAN AFD.III","01","6,25","1","METER","17098959","0","0","0","0","0","0","17098958","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600006","12","00","006","006010000","01-01-1991 00:00:00","JALAN AFD.III","01","6,25","610","METER","2100000","0","0","0","0","0","0","2099390","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600007","10","00","006","006010000","01-01-1992 00:00:00","PENGERASAN JALAN AFD.I","01","6,25","150","METER","525000","0","0","0","0","0","0","524850","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600008","12","00","006","006010000","01-01-1992 00:00:00","PENGERASAN JALAN AFD.III","01","6,25","1400","METER","5503624","0","0","0","0","0","0","5502224","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600009","02","00","006","006010000","01-01-1993 00:00:00","PENGASPALAN JALAN EMPLASEMENT","01","6,25","1","METER","37820000","0","0","0","0","0","0","37819999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600010","10","00","006","006010000","01-01-1993 00:00:00","PENGERASAN JALAN AFD.I","01","6,25","662","METER","2524989","0","0","0","0","0","0","2524327","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600011","12","00","006","006010000","01-01-1993 00:00:00","PENGERASAN JALAN AFD.III","01","6,25","1049","METER","7448900","0","0","0","0","0","0","7448899","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600012","10","00","006","006010000","01-01-1994 00:00:00","JALAN AFD.I","01","6,25","1","METER","4647000","0","0","0","0","0","0","4646999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600013","12","00","006","006010000","01-01-1994 00:00:00","JALAN/SAL.AIR LISA","01","6,25","1","METER","7383000","0","0","0","0","0","0","7382999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600014","10","00","006","006010000","15-10-1999 00:00:00","PENGERASAN JALAN PRODUKSI AFD.I  1999","01","6,25","6000","METER","46484500","0","0","0","0","0","0","46478500","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600015","11","00","006","006010000","15-10-1999 00:00:00","PENGERASAN JALAN PRODUKSI AFD.II TH.1999","01","6,25","1","METER","43173400","0","0","0","0","0","0","43173399","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600016","12","00","006","006010000","31-12-1999 00:00:00","PENGERASAN JALAN PRODUKSI  = 3 KM","01","6,25","1","METER","83700000","0","0","0","0","0","0","83699999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600017","12","00","006","006010000","01-11-2000 00:00:00","PEROLEHAN BARU JALAN PRODUKSI 3KM","01","6,25","1","METER","98860000","0","0","0","0","0","0","98859999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600018","10","00","006","006010000","31-12-2000 00:00:00","PENGER.JALAN PRODUKSI AFD.I = 8000","01","6,25","1","METER","27043200","0","0","0","0","0","0","27043199","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600019","12","00","006","006010000","31-12-2000 00:00:00","PENGER.JALAN PRODUKSI AFD.III = 200M","01","6,25","1","METER","6760800","0","0","0","0","0","0","6760799","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600020","10","00","006","006010000","30-11-2001 00:00:00","PENINGKATAN 1 KM JALAN PRODUKSI","01","6,25","1","METER","29399000","0","0","0","0","0","0","29398999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600021","10","00","006","006010000","01-11-2003 00:00:00","PENINGKATAN 1 KM JALAN PRODUKSI=3000M2","01","6,25","1","METER","49650000","0","0","0","0","0","0","49649999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600022","10","00","006","006010000","26-12-2008 00:00:00","JALAN PRODUKSI AFD.I UK. 1000 M2","01","6,25","1","METER","74482500","0","0","0","0","0","0","74482499","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300056","02","00","003","003030000","01-01-1989 00:00:00","RUMAH KARYAWAN 20","01","5","1","UNIT","2107609","0","0","0","0","0","0","2107608","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300057","02","00","003","003030000","01-01-1989 00:00:00","RUMAH KARYAWAN EX MESS 13","01","5","1","UNIT","14560143","0","0","0","0","0","0","14560142","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300058","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 68","01","5","1","UNIT","6235350","0","0","0","0","0","0","6235349","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300059","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 69","01","5","1","UNIT","6235350","0","0","0","0","0","0","6235349","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300060","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 70","01","5","1","UNIT","6235351","0","0","0","0","0","0","6235350","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300061","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 71","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300062","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 72","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300063","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 73","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300064","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 74","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300065","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 75","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100300066","12","00","003","003030000","01-01-1991 00:00:00","RUMAH KARYAWAN 76","01","5","1","UNIT","3716327","0","0","0","0","0","0","3716326","0","0","0","0","0","0","","","0",
