"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"71","19-01-2017 00:00:00","LL","02","00","403010102","","","0","0","","0","0","0","2222243","0","0","0","2491000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","403020000","","","0","0","","0","0","0","1076500","0","0","0","5782000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","403040000","","","0","0","","0","0","0","181500","0","0","0","0","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","403230000","","","0","0","","0","0","0","4336531","0","0","0","1574000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","404010102","","","0","0","","0","0","0","11700377","0","0","0","2107000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","404030000","","","0","0","","0","0","0","717083","0","0","0","1703000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","404050000","","","0","0","","0","0","0","1152800","0","0","0","0","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","404080000","","","0","0","","0","0","0","2294311","0","0","0","2851000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","405010102","","","0","0","","0","0","0","93213275","0","0","0","34250000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","405020000","","","0","0","","0","0","0","1312375","0","0","0","30520000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","405040000","","","0","0","","0","0","0","1513600","0","0","0","0","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","405050000","","","0","0","","0","0","0","3507752","0","0","0","15197000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","406010000","","","0","0","","0","0","0","29997180","0","0","0","36177000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","406020000","","","0","0","","0","0","0","26935338","0","0","0","25015000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","406030000","","","0","0","","0","0","0","11370000","0","0","0","10530000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","406040000","","","0","0","","0","0","0","18600000","0","0","0","15000000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","407050000","","","0","0","","0","0","0","19987321","0","0","0","52400000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","420000000","","","0","0","","0","0","0","1059787","0","0","0","10600000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","421010000","","","0","0","","0","0","0","162365120","0","0","0","162115000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","421050000","","","0","0","","0","0","0","500000","0","0","0","750000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","422030000","","","0","0","","0","0","0","11407955","0","0","0","11279000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","422040000","","","0","0","","0","0","0","74910","0","0","0","250000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","150810","0","0","0","351000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","11653","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","39060000","0","0","0","39060000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","204608","0","0","0","300000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","6","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","283798","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603070000","0000","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603080000","0000","","0","0","","0","0","0","6510000","0","0","0","6233000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603090000","0000","","0","0","","0","0","0","0","0","0","0","277000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603100300","0000","","0","0","","0","0","0","44640000","0","0","0","42997000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603110100","0000","","0","0","","0","0","0","579798","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","603110201","0000","","0","0","","0","0","0","2636550","0","0","0","0","","","0","0","01",
