"kodeunit","tanggal","kodeafd","thntnm","HrgLatex","HrgLump",
"71","12-01-2017 00:00:00","10","1998","8000","2000",
"71","12-01-2017 00:00:00","10","1997","8000","2000",
"71","12-01-2017 00:00:00","10","1996","8000","2000",
"71","12-01-2017 00:00:00","10","1990","8500","2000",
"71","12-01-2017 00:00:00","11","1998","8000","2000",
"71","12-01-2017 00:00:00","11","1997","8000","2000",
"71","12-01-2017 00:00:00","11","1990","8500","2000",
"71","12-01-2017 00:00:00","12","1998","8000","2000",
"71","12-01-2017 00:00:00","12","1997","8000","2000",
"71","12-01-2017 00:00:00","12","1996","8000","2000",
"71","12-01-2017 00:00:00","12","1994","8000","2000",
"71","12-01-2017 00:00:00","12","1990","8500","2000",
