"kodeunit","tanggal","kodetrans","kodeafd","kodebud","regmdr","register","sts","norek","netral","kdblok","thntnm","stb","jmlhasil","nilai","KMK",
"71","26-01-2017 00:00:00","638","11","00","01100478039480","711100033","KL","602030200","","0016","2009","Cash","29","188000","01",
"71","26-01-2017 00:00:00","638","11","00","01100478039480","01059471031165","KB","602030100","","0012","2008","Cash","71","517000","01",
"71","26-01-2017 00:00:00","638","11","00","01100478039480","01019065028655","KB","602030100","","0011","2008","Cash","146","917000","01",
"71","26-01-2017 00:00:00","638","11","00","01079968034942","01099165030357","KB","602030100","","0013","2008","Cash","66","402000","01",
"71","26-01-2017 00:00:00","638","11","00","01079968034942","01089573031716","KB","602030100","","0012","2008","Cash","84","503000","01",
"71","26-01-2017 00:00:00","638","11","00","01079968034942","01051277041909","KB","602030100","","0017","2009","Cash","48","293500","01",
"71","26-01-2017 00:00:00","638","11","00","01060680040449","01051272041905","KB","602030100","","0005","2003","Cash","54","288000","01",
"71","26-01-2017 00:00:00","638","11","00","01060680040449","711200169","KL","602030200","","0002","2001","Cash","201","1072000","01",
"71","26-01-2017 00:00:00","638","11","00","01020979041246","711200231","KL","602030200","","0002","2001","Cash","273","1446000","01",
"71","26-01-2017 00:00:00","638","11","00","01030271037195","01079968034938","KB","602030100","","0013","2008","Cash","189","1236000","01",
"71","26-01-2017 00:00:00","638","11","00","01079968034942","01050775041044","KB","602030100","","0018","2009","Cash","16","99500","01",
"71","24-01-2017 00:00:00","638","11","00","01100478039480","01019064028653","KB","602030100","","0016","2009","Cash","16","102000","01",
"71","24-01-2017 00:00:00","638","11","00","01100478039480","01030272037193","KB","602030100","","0012","2008","Cash","47","289000","01",
"71","24-01-2017 00:00:00","638","11","00","01100478039480","01089572031714","KB","602030100","","0011","2008","Cash","119","743000","01",
"71","24-01-2017 00:00:00","638","11","00","01079968034942","01099165030357","KB","602030100","","0013","2008","Cash","76","462000","01",
"71","24-01-2017 00:00:00","638","11","00","01079968034942","01019066028658","KB","602030100","","0012","2008","Cash","66","412000","01",
"71","24-01-2017 00:00:00","638","11","00","01079968034942","01010378039059","KB","602030100","","0017","2009","Cash","38","236000","01",
"71","24-01-2017 00:00:00","638","11","00","01079968034942","01050775041044","KB","602030100","","0018","2009","Cash","37","234000","01",
"71","24-01-2017 00:00:00","638","11","00","01060680040449","01060672040446","KB","602030100","","0005","2003","Cash","40","200000","01",
"71","24-01-2017 00:00:00","638","11","00","01060680040449","711200149","KL","602030200","","0002","2001","Cash","190","935000","01",
"71","24-01-2017 00:00:00","638","11","00","01020979041246","711200231","KL","602030200","","0002","2001","Cash","128","641000","01",
"71","24-01-2017 00:00:00","638","11","00","01030271037195","01010069034894","KB","602030100","","0012","2008","Cash","131","898000","01",
"71","01-01-2017 00:00:00","638","12","00","01020979041242","711200249","KL","602030200","","0001","1999","Cash","437","3604000","01",
"71","01-01-2017 00:00:00","638","12","00","01020979041242","711200021","KL","602030200","","0001","1999","Cash","195","1638000","01",
"71","01-01-2017 00:00:00","638","12","00","01099166030360","01018963028023","KB","602030100","","0002","1999","Cash","270","1535000","01",
"71","01-01-2017 00:00:00","638","12","00","01050575039896","01010371039064","KB","602030100","","0001","1999","Cash","249","1273000","01",
"71","01-01-2017 00:00:00","638","12","00","01050572039897","711200036","KL","602030200","","0002","1999","Cash","111","714000","01",
"71","01-01-2017 00:00:00","638","12","00","01050572039897","711200025","KL","602030200","","0002","1999","Cash","227","1480000","01",
"71","01-01-2017 00:00:00","638","12","00","01099565031861","711200170","KL","602030200","","0002","1999","Cash","97","662000","01",
"71","01-01-2017 00:00:00","638","12","00","01099565031861","711200209","KL","602030200","","0002","1999","Cash","13","86000","01",
"71","01-01-2017 00:00:00","638","12","00","01099565031861","711200010","KL","602030200","","0002","1999","Cash","50","346000","01",
"71","01-01-2017 00:00:00","638","12","00","01051272041897","01099166030359","KB","602030100","","0012","2001","Cash","339","2108000","01",
"71","01-01-2017 00:00:00","638","12","00","01050777041038","01099572029768","KB","602030100","","0010","2003","Cash","115","464000","01",
"71","01-01-2017 00:00:00","638","12","00","01051274041894","01050769041041","KB","602030100","","0007","2006","Cash","62","310000","01",
"71","01-01-2017 00:00:00","638","12","00","01051274041894","01051276041898","KB","602030100","","0010","2003","Cash","26","130000","01",
