"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"71","KT","00002","KAS201701-V00002","09-01-2017 00:00:00","KAS201701-00002","06-01-2017 00:00:00","100000000",
"71","KT","00001","KAS201701-V00001","09-01-2017 00:00:00","KAS201701-00001","09-01-2017 00:00:00","100000000",
"71","KT","00003","KAS201701-V00003","09-01-2017 00:00:00","KAS201701-00003","09-01-2017 00:00:00","100000000",
"71","KT","00004","KAS201701-V00004","09-01-2017 00:00:00","KAS201701-00004","09-01-2017 00:00:00","100000000",
"71","KT","00005","KAS201701-V00005","09-01-2017 00:00:00","KAS201701-00005","09-01-2017 00:00:00","100000000",
"71","KT","00006","KAS201701-V00006","09-01-2017 00:00:00","KAS201701-00006","09-01-2017 00:00:00","100000000",
"71","KT","00007","KAS201701-V00007","09-01-2017 00:00:00","KAS201701-00007","09-01-2017 00:00:00","100000000",
"71","KT","00008","KAS201701-V00008","09-01-2017 00:00:00","KAS201701-00008","09-01-2017 00:00:00","100000000",
"71","KT","00092","KAS201701-V00092","18-01-2017 00:00:00","KAS201701-00092","18-01-2017 00:00:00","100000000",
"71","KT","00141","KAS201701-V00141","30-01-2017 00:00:00","KAS201701-00141","30-01-2017 00:00:00","100000000",
"71","KT","00153","KAS201701-V00153","31-01-2017 00:00:00","KAS201701-00153","31-01-2017 00:00:00","100000000",
"71","KT","00154","KAS201701-V00154","31-01-2017 00:00:00","KAS201701-00154","31-01-2017 00:00:00","100000000",
"71","KT","00170","KAS201701-V00170","31-01-2017 00:00:00","KAS201701-00170","31-01-2017 00:00:00","100000000",
"71","KK","00006","KAS201701-V00006","09-01-2017 00:00:00","KAS201701-00009","09-01-2017 00:00:00","100000000",
"71","KK","00010","KAS201701-V00010","09-01-2017 00:00:00","KAS201701-00010","09-01-2017 00:00:00","100000000",
"71","KK","00011","KAS201701-V00011","09-01-2017 00:00:00","KAS201701-00011","09-01-2017 00:00:00","100000000",
"71","KK","00012","KAS201701-V00012","09-01-2017 00:00:00","KAS201701-00012","09-01-2017 00:00:00","100000000",
"71","KK","00013","KAS201701-V00013","09-01-2017 00:00:00","KAS201701-00013","09-01-2017 00:00:00","100000000",
"71","KK","00014","KAS201701-V00014","09-01-2017 00:00:00","KAS201701-00014","09-01-2017 00:00:00","100000000",
"71","KK","00015","KAS201701-V00015","09-01-2017 00:00:00","KAS201701-00015","09-01-2017 00:00:00","100000000",
"71","KK","00016","KAS201701-V00016","09-01-2017 00:00:00","KAS201701-00016","09-01-2017 00:00:00","100000000",
"71","KK","00017","KAS201701-V00017","09-01-2017 00:00:00","KAS201701-00017","09-01-2017 00:00:00","100000000",
"71","KK","00018","KAS201701-V00018","09-01-2017 00:00:00","KAS201701-00018","09-01-2017 00:00:00","100000000",
"71","KK","00019","KAS201701-V00019","09-01-2017 00:00:00","KAS201701-00019","09-01-2017 00:00:00","100000000",
"71","KK","00020","KAS201701-V00020","09-01-2017 00:00:00","KAS201701-00020","09-01-2017 00:00:00","100000000",
"71","KK","00021","KAS201701-V00021","09-01-2017 00:00:00","KAS201701-00021","09-01-2017 00:00:00","100000000",
"71","KK","00022","KAS201701-V00022","09-01-2017 00:00:00","KAS201701-00022","09-01-2017 00:00:00","100000000",
"71","KK","00023","KAS201701-V00023","09-01-2017 00:00:00","KAS201701-00023","09-01-2017 00:00:00","100000000",
"71","KK","00024","KAS201701-V00024","09-01-2017 00:00:00","KAS201701-00024","09-01-2017 00:00:00","100000000",
"71","KK","00025","KAS201701-V00025","09-01-2017 00:00:00","KAS201701-00025","09-01-2017 00:00:00","100000000",
"71","KK","00026","KAS201701-V00026","09-01-2017 00:00:00","KAS201701-00026","09-01-2017 00:00:00","100000000",
"71","KK","00027","KAS201701-V00027","09-01-2017 00:00:00","KAS201701-00027","09-01-2017 00:00:00","100000000",
"71","KK","00028","KAS201701-V00028","09-01-2017 00:00:00","KAS201701-00028","09-01-2017 00:00:00","100000000",
"71","KK","00029","KAS201701-V00029","09-01-2017 00:00:00","KAS201701-00029","09-01-2017 00:00:00","100000000",
"71","KK","00030","KAS201701-V00030","09-01-2017 00:00:00","KAS201701-00030","09-01-2017 00:00:00","100000000",
"71","KK","00031","KAS201701-V00031","09-01-2017 00:00:00","KAS201701-00031","09-01-2017 00:00:00","100000000",
"71","KK","00032","KAS201701-V00032","09-01-2017 00:00:00","KAS201701-00032","09-01-2017 00:00:00","100000000",
"71","KK","00033","KAS201701-V00033","09-01-2017 00:00:00","KAS201701-00033","09-01-2017 00:00:00","100000000",
"71","KK","00034","KAS201701-V00034","09-01-2017 00:00:00","KAS201701-00034","09-01-2017 00:00:00","100000000",
"71","KK","00035","KAS201701-V00035","09-01-2017 00:00:00","KAS201701-00035","09-01-2017 00:00:00","100000000",
"71","KK","00036","KAS201701-V00036","09-01-2017 00:00:00","KAS201701-00036","09-01-2017 00:00:00","100000000",
"71","KK","00037","KAS201701-V00037","09-01-2017 00:00:00","KAS201701-00037","09-01-2017 00:00:00","100000000",
"71","KK","00038","KAS201701-V00038","09-01-2017 00:00:00","KAS201701-00038","09-01-2017 00:00:00","100000000",
"71","KK","00039","KAS201701-V00039","09-01-2017 00:00:00","KAS201701-00039","09-01-2017 00:00:00","100000000",
"71","KK","00040","KAS201701-V00040","09-01-2017 00:00:00","KAS201701-00040","09-01-2017 00:00:00","100000000",
"71","KK","00041","KAS201701-V00041","09-01-2017 00:00:00","KAS201701-00041","09-01-2017 00:00:00","100000000",
"71","KK","00042","KAS201701-V00042","09-01-2017 00:00:00","KAS201701-00042","09-01-2017 00:00:00","100000000",
"71","KK","00043","KAS201701-V00043","09-01-2017 00:00:00","KAS201701-00043","09-01-2017 00:00:00","100000000",
"71","KK","00044","KAS201701-V00044","11-01-2017 00:00:00","KAS201701-00044","11-01-2017 00:00:00","100000000",
"71","KK","00045","KAS201701-V00045","11-01-2017 00:00:00","KAS201701-00045","11-01-2017 00:00:00","100000000",
"71","KK","00046","KAS201701-V00046","11-01-2017 00:00:00","KAS201701-00046","11-01-2017 00:00:00","100000000",
"71","KK","00047","KAS201701-V00047","11-01-2017 00:00:00","KAS201701-00047","11-01-2017 00:00:00","100000000",
"71","KK","00048","KAS201701-V00048","11-01-2017 00:00:00","KAS201701-00048","11-01-2017 00:00:00","100000000",
"71","KK","00049","KAS201701-V00049","11-01-2017 00:00:00","KAS201701-00049","11-01-2017 00:00:00","100000000",
"71","KK","00050","KAS201701-V00050","11-01-2017 00:00:00","KAS201701-00050","11-01-2017 00:00:00","100000000",
"71","KK","00051","KAS201701-V00051","12-01-2017 00:00:00","KAS201701-00051","12-01-2017 00:00:00","100000000",
"71","KK","00052","KAS201701-V00052","12-01-2017 00:00:00","KAS201701-00052","12-01-2017 00:00:00","100000000",
"71","KK","00053","KAS201701-V00053","12-01-2017 00:00:00","KAS201701-00053","12-01-2017 00:00:00","100000000",
"71","KK","00054","KAS201701-V00054","12-01-2017 00:00:00","KAS201701-00054","12-01-2017 00:00:00","100000000",
"71","KK","00055","KAS201701-V00055","12-01-2017 00:00:00","KAS201701-00055","12-01-2017 00:00:00","100000000",
"71","KK","00056","KAS201701-V00056","12-01-2017 00:00:00","KAS201701-00056","12-01-2017 00:00:00","100000000",
"71","KK","00057","KAS201701-V00057","13-01-2017 00:00:00","KAS201701-00057","13-01-2017 00:00:00","100000000",
"71","KK","00058","KAS201701-V00058","13-01-2017 00:00:00","KAS201701-00058","13-01-2017 00:00:00","100000000",
"71","KK","00059","KAS201701-V00059","13-01-2017 00:00:00","KAS201701-00059","13-01-2017 00:00:00","100000000",
"71","KK","00060","KAS201701-V00060","13-01-2017 00:00:00","KAS201701-00060","13-01-2017 00:00:00","100000000",
"71","KK","00061","KAS201701-V00061","13-01-2017 00:00:00","KAS201701-00061","13-01-2017 00:00:00","100000000",
"71","KK","00062","KAS201701-V00062","13-01-2017 00:00:00","KAS201701-00062","13-01-2017 00:00:00","100000000",
"71","KK","00063","KAS201701-V00063","13-01-2017 00:00:00","KAS201701-00063","13-01-2017 00:00:00","100000000",
"71","KK","00064","KAS201701-V00064","13-01-2017 00:00:00","KAS201701-00064","13-01-2017 00:00:00","100000000",
"71","KK","00065","KAS201701-V00065","13-01-2017 00:00:00","KAS201701-00065","13-01-2017 00:00:00","100000000",
"71","KK","00066","KAS201701-V00066","13-01-2017 00:00:00","KAS201701-00066","13-01-2017 00:00:00","100000000",
"71","KK","00067","KAS201701-V00067","13-01-2017 00:00:00","KAS201701-00067","13-01-2017 00:00:00","100000000",
"71","KK","00068","KAS201701-V00068","13-01-2017 00:00:00","KAS201701-00068","13-01-2017 00:00:00","100000000",
"71","KK","00069","KAS201701-V00069","13-01-2017 00:00:00","KAS201701-00069","13-01-2017 00:00:00","100000000",
"71","KK","00070","KAS201701-V00070","13-01-2017 00:00:00","KAS201701-00070","13-01-2017 00:00:00","100000000",
"71","KK","00071","KAS201701-V00071","13-01-2017 00:00:00","KAS201701-00071","13-01-2017 00:00:00","100000000",
"71","KK","00072","KAS201701-V00072","13-01-2017 00:00:00","KAS201701-00072","13-01-2017 00:00:00","100000000",
"71","KK","00073","KAS201701-V00073","14-01-2017 00:00:00","KAS201701-00073","14-01-2017 00:00:00","100000000",
"71","KK","00074","KAS201701-V00074","14-01-2017 00:00:00","KAS201701-00074","14-01-2017 00:00:00","100000000",
"71","KK","00075","KAS201701-V00075","14-01-2017 00:00:00","KAS201701-00075","14-01-2017 00:00:00","100000000",
"71","KK","00076","KAS201701-V00076","14-01-2017 00:00:00","KAS201701-00076","14-01-2017 00:00:00","100000000",
"71","KK","00077","KAS201701-V00077","14-01-2017 00:00:00","KAS201701-00077","14-01-2017 00:00:00","100000000",
"71","KK","00078","KAS201701-V00078","14-01-2017 00:00:00","KAS201701-00078","14-01-2017 00:00:00","100000000",
"71","KK","00079","KAS201701-V00079","14-01-2017 00:00:00","KAS201701-00079","14-01-2017 00:00:00","100000000",
"71","KK","00080","KAS201701-V00080","14-01-2017 00:00:00","KAS201701-00080","14-01-2017 00:00:00","100000000",
"71","KK","00081","KAS201701-V00081","14-01-2017 00:00:00","KAS201701-00081","14-01-2017 00:00:00","100000000",
"71","KK","00082","KAS201701-V00082","14-01-2017 00:00:00","KAS201701-00082","14-01-2017 00:00:00","100000000",
"71","KK","00083","KAS201701-V00083","14-01-2017 00:00:00","KAS201701-00083","14-01-2017 00:00:00","100000000",
"71","KK","00084","KAS201701-V00084","16-01-2017 00:00:00","KAS201701-00084","16-01-2017 00:00:00","100000000",
"71","KK","00085","KAS201701-V00085","16-01-2017 00:00:00","KAS201701-00085","16-01-2017 00:00:00","100000000",
"71","KK","00086","KAS201701-V00086","16-01-2017 00:00:00","KAS201701-00086","16-01-2017 00:00:00","100000000",
"71","KK","00087","KAS201701-V00087","16-01-2017 00:00:00","KAS201701-00087","16-01-2017 00:00:00","100000000",
"71","KK","00088","KAS201701-V00088","16-01-2017 00:00:00","KAS201701-00088","16-01-2017 00:00:00","100000000",
"71","KK","00089","KAS201701-V00089","17-01-2017 00:00:00","KAS201701-00089","17-01-2017 00:00:00","100000000",
"71","KK","00090","KAS201701-V00090","17-01-2017 00:00:00","KAS201701-00090","17-01-2017 00:00:00","100000000",
"71","KK","00091","KAS201701-V00091","18-01-2017 00:00:00","KAS201701-00091","18-01-2017 00:00:00","100000000",
"71","KK","00093","KAS201701-V00093","18-01-2017 00:00:00","KAS201701-00093","18-01-2017 00:00:00","100000000",
"71","KK","00094","KAS201701-V00094","18-01-2017 00:00:00","KAS201701-00094","18-01-2017 00:00:00","100000000",
"71","KK","00095","KAS201701-V00095","18-01-2017 00:00:00","KAS201701-00095","18-01-2017 00:00:00","100000000",
"71","KK","00096","KAS201701-V00096","18-01-2017 00:00:00","KAS201701-00096","18-01-2017 00:00:00","100000000",
"71","KK","00097","KAS201701-V00097","18-01-2017 00:00:00","KAS201701-00097","18-01-2017 00:00:00","100000000",
"71","KK","00098","KAS201701-V00098","18-01-2017 00:00:00","KAS201701-00098","18-01-2017 00:00:00","100000000",
"71","KK","00099","KAS201701-V00099","18-01-2017 00:00:00","KAS201701-00099","18-01-2017 00:00:00","100000000",
"71","KK","00100","KAS201701-V00100","18-01-2017 00:00:00","KAS201701-00100","18-01-2017 00:00:00","100000000",
"71","KK","00101","KAS201701-V00101","18-01-2017 00:00:00","KAS201701-00101","18-01-2017 00:00:00","100000000",
