"kdasal","uraian","rekBasah","rekJadi",
"01","Penerimaan d/ Kebun Sendiri","X","X",
"02","Penerimaan d/ Kebun Seinduk","6080100","6080400",
"03","Penerimaan d/ Kebun Plasma","6080101","6080401",
"04","Penerimaan d/ Pihak ke III","6080102","6080402",
"05","Penerimaan d/ Kebun Lancuran","6080200","6080500",
"06","Penerimaan d/ TBM","6080300","6080600",
"07","Penjualan Ke Kebun Seinduk","6090100","6090400",
"08","Penjualan Ke Pihak ke III","6090101","6090401",
"09","Penjualan Kering (Eks Penjualan Basah)","","6090500",
"10","Penjualan Ke Blending Plan/BPT","","6090402",
"11","Penjualan Untuk Barang Bahan","","6900403",
"2*","JUAL BELI ANTAR JENIS OLAH BERBEDA","","",
"20","Penerimaan","6080100","6080400",
"21","Penjualan","6090100","6090400",
