"norek","KodeBarang","NamaBarang","KodeSatuan","NamaSatuan","InitSatuan","JenisBarang",
"300050000","00504181","KAYU GUTTA PERCHA UK. 5X10X250","","","","",
"300020202","00202274","STARMAX","02","LITER","LTR","",
"300030200","00302054","OLIE PENZOIL","","","","",
"300040000","00400015","BELT CONVEYOR ALUR 40cm x 10,57m NON ENDLES","","","","",
"300040000","00400167","VAN BELT A 118","","","","",
"300040000","00400336","VAN BELT C 64","","","","",
"300050000","00504264","KAYU LOG JABON A2.2 UK.26-29 Cm x 130 Cm","13","M3","M3","",
"300040000","00400488","CONVEYOR BELT AMMERAL 2T.29 16,00X40 CM","","","","",
"300050000","00500156","CAT BESI MERAH","","","","",
"300050000","00501878","KAYU BALATA UK 200 CM","","","","",
"300050000","00502039","BALOK 5/10X360CM","","","","",
"300050000","00502196","CAT KOLAM RENANG","","","","",
"300050000","00502363","CONTINER ROTAN BULAT","","","","",
"300020205","00202501","OMITE","","","","",
"300050000","00502532","KAYU BAHAN PETI PALET","","","","",
"300050000","00501593","KAWAT MESH SS 5","","","","",
"300050000","00501756","KNIE GALVANIS","","","","",
"300050000","00502718","TUTUP TANGKI SUS2","","","","",
"300150000","01502729","KARET REM BLK PS 100","","","","",
"300020102","00201234","GANDASIL","01","KILOGRAM","KG","",
"300050000","00503016","SARINGAN WATERPEL","","","","",
"300050000","00503182","KERAN","","","","",
"300050000","00503349","RAMING","","","","",
"300050000","00503515","CORONG PLASTIK BESAR","","","","",
"300050000","00503681","SOKET 1 1/2""","","","","",
"300050000","00504492","KAYU LOG APRIKA 31-24 X 290 CM","13","M3","M3","",
"300050000","00504601","KAYU LOG SILVER OAK  UK.23 CM X 2,3 M","13","M3","M3","",
"300060000","00600065","AMPENOL KABEL","","","","",
"300050000","00503915","SKRUP 1","","","","",
"300150000","01502479","HEAD INJECTION PUMP","","","","",
"300050000","00501439","KAYU 5/20X200","","","","",
"300050000","00500107","BESI SIKU 50 X 50 X 5","","","","",
"300050000","00504393","CAT TEMBOK TOP SEAL CREAM","30","PAIL","PL","",
"300150000","01502654","KAMPAS REM DPN ROCKY","","","","",
"300150000","01503082","METAL JALAN UNIMOG","","","","",
"300150000","01503083","METAL JALAN YANMAR TS.190","","","","",
"300150000","01503084","METAL MID LATON","","","","",
"300150000","01503085","METAL NOKEN AS","","","","",
"300150000","01503086","METAL SHEET","","","","",
"300150000","01503087","METAL STEAMING TRUCK PS.100","","","","",
"300150000","01503088","METAL TALOON PANTHER","","","","",
"300150000","01503089","METAL TURBIN DEPAN BLK","","","","",
"300150000","01503090","MIKA","","","","",
"300150000","01503091","MIKA PLAAT","","","","",
"300150000","01503092","MINDRI","","","","",
"300150000","01503093","MODEL PB 52","","","","",
"300150000","01503094","MOP KABEL","","","","",
"300150000","01503095","MOTHERBOARD ASSUS P5S-800 LGA","","","","",
"300150000","01503096","MOTOR ASSY WIPER BLADE","","","","",
"300150000","01503097","MOTOR BLOWER AC","","","","",
"300150000","01503098","MOTOR CIRCUIT BREAKER","","","","",
"300150000","01503099","MOTOR FAN AC","","","","",
"300150000","01503100","MOTOR GEAR BOX MERK.TEKO 70 RFM 1:2","","","","",
"300150000","01503101","MOTOR POMPA 15 HP","","","","",
"300150000","01503102","MOTOR PUMP SUMERSIBLE","","","","",
"300150000","01503103","MOTOR WIVER BLADE ROCKY","","","","",
"300150000","01503104","MOUNTING ADAPTABILITY 37KW 2900 RPM 380","","","","",
"300150000","01503105","MOUNTING PACKER","","","","",
"300150000","01503106","MOUNTING PERSENELING","","","","",
"300150000","01503107","MOUNTING TRANSFER F70","","","","",
"300150000","01503108","MOUNTING TRANSFER ROCKY","","","","",
"300150000","01503109","MOZAIK","","","","",
"300150000","01503110","MUF BAG SIR BLAD","","","","",
"300150000","01503111","MUR BRUGHT RODA BLK","","","","",
"300150000","01503112","MUR BRUGHT/BLONGSONG","","","","",
"300150000","01503113","MUR CYLINDER HEAD","","","","",
"300150000","01503114","MUR HANDLE","","","","",
"300150000","01503115","MUR HAPEL","","","","",
"300150000","01503116","MUR MAUD 1.5X3","","","","",
"300150000","01503117","MUR PENGUNCI BEARING M25","","","","",
"300150000","01503118","MUR PINION","","","","",
"300150000","01503119","MUR PINTU AIR","","","","",
"300150000","01503120","MUR PLENES PS.100","","","","",
"300150000","01503121","MUR PLUTING","","","","",
"300150000","01503122","MUR REFAIRKIT","","","","",
"300150000","01503123","MUR RING KARET","","","","",
"300150000","01503124","MUR SETELAN KLEP","","","","",
"300150000","01503125","MUR+RING+KARET+R.PLAT","","","","",
"300150000","01503126","MURBAUT 14X4""","","","","",
"300150000","01503127","MURBAUT 5/16""X2""","","","","",
"300150000","01503128","MUT GUARDE","","","","",
"300150000","01503129","MUT OPUT SHAFT GT","","","","",
"300150000","01503130","MUTU","","","","",
"300150000","01503132","NAP RODA","","","","",
"300150000","01503133","NAPLLE SELANG","","","","",
"300150000","01503134","NAVE","","","","",
"300150000","01503135","NEDDLE ROLLER","","","","",
"300150000","01503136","NEDLE BEARING","","","","",
"300150000","01503137","NEDLE BEARING BESAR","","","","",
"300150000","01503139","NEDLE BEARING VERSENELING","","","","",
"300150000","01503141","NIK JTW","","","","",
"300150000","01503142","NM_BRG","","","","",
"300150000","01503143","NOK SINCROMIS","","","","",
"300150000","01503144","NOK WUWUNG","","","","",
"300150000","01503145","NOMEX","","","","",
"300150000","01503146","NUT KEY.42 00280-10605","","","","",
"300150000","01503147","NUT MAINSHAFT","","","","",
"300150000","01503148","NUT PER TRANS D/C","","","","",
"300150000","01503149","NUT PINGION","","","","",
"300150000","01503150","NUT RODA RESING INDEPENDENT","","","","",
"300150000","01503151","NUT SHAFT OUT PUT","","","","",
"300150000","01503152","NUT WASHER","","","","",
"300150000","01503153","NUT WORM","","","","",
"300150000","01503154","NUTOSAL","","","","",
"300150000","01503155","O RING AC PANTHER","","","","",
"300150000","01503156","O RING BORING","","","","",
"300150000","01503157","O RING OIL FILTER","","","","",
"300150000","01503158","O RING RUBBER","","","","",
"300150000","01503159","OIL COMPRESOR","","","","",
"300150000","01503160","OIL CONTROL","","","","",
"300150000","01503161","OIL COOLER ASSY TRUCK PS","","","","",
"300150000","01503162","OIL CUP ENGINE","","","","",
"300150000","01503163","OIL DEF TECTOR 546929","","","","",
"300150000","01503164","OIL FILTER CD 120 MARUTI","","","","",
"300150000","01503165","OIL FILTER CUMINS","","","","",
"300150000","01503166","OIL FILTER HINO","","","","",
"300150000","01503167","OIL FILTER INDEPENDENT","","","","",
"300150000","01503168","OIL FILTER INTER COOLER","","","","",
"300150000","01503169","OIL FILTER IR 0741","","","","",
"300150000","01503170","OIL FILTER ISZ PANTHER","","","","",
"300150000","01503171","OIL FILTER MS. DEUTZ","","","","",
"300150000","01503173","OIL FILTER PS 120","","","","",
"300150000","01503174","OIL FILTER SUZUKI AVP","","","","",
"300150000","01503175","OIL HYDROLIC","","","","",
"300150000","01503176","OIL PERSENELENGRANGER","","","","",
"300150000","01503177","OIL POMPA + HOS.TIMINGBELT","","","","",
"300150000","01503178","OIL POWER STERING","","","","",
"300150000","01503179","OIL SCOP","","","","",
"300150000","01503180","OIL SEAL ALTERNATOR","","","","",
"300150000","01503181","OIL SEAL ALTERNATOR DYNA","","","","",
"300150000","01503182","OIL SEAL AS","","","","",
"300150000","01503183","OIL SEAL AS RD.BLK","","","","",
"300150000","01503184","OIL SEAL AS RODA","","","","",
"300150000","01503185","OIL SEAL AS TRUCK TA","","","","",
"300150000","01503186","OIL SEAL BALLHUP","","","","",
"300150000","01503187","OIL SEAL BESAR","","","","",
"300150000","01503188","OIL SEAL BLOWER","","","","",
"300150000","01503189","OIL SEAL BRUGH","","","","",
"300150000","01503190","OIL SEAL BURNER","","","","",
"300150000","01503192","OIL SEAL COMPRESOR","","","","",
"300150000","01503193","OIL SEAL CRANSHAFT BELAKANG","","","","",
"300150000","01503194","OIL SEAL CRANSHAFT DEPAN","","","","",
"300150000","01503195","OIL SEAL CREPER","","","","",
"300150000","01503196","OIL SEAL DORMAN DIESEL","","","","",
"300150000","01503197","OIL SEAL GARDAN","","","","",
"300150000","01503198","OIL SEAL GARDAN SBR","","","","",
"300150000","01503199","OIL SEAL GEAR BOX","","","","",
"300150000","01503200","OIL SEAL HIDROLIK","","","","",
"300150000","01503201","OIL SEAL HYDROLIC","","","","",
"300150000","01503203","OIL SEAL KATUP","","","","",
"300150000","01502655","KAMPAS REM HINO RANGER","","","","",
"300150000","01502656","KAMPAS REM TANGAN","","","","",
"300150000","01502657","KAMPAS STIR","","","","",
"300150000","01502658","KANCING BRAKE SHOSE","","","","",
"300150000","01502659","KANCING KACA","","","","",
"300150000","01502660","KANCING VIRODO","","","","",
"300150000","01502661","KANEBO","","","","",
"300150000","01502662","KANPAS","","","","",
"300150000","01502663","KANPAS PIRODO BELAKANG U/COLT DIESEL","","","","",
"300150000","01502664","KANPAS REM DEPAN INDEPENDENT","","","","",
"300150000","01502665","KANVAS REM","","","","",
"300150000","01502666","KANVAS REM D/B","","","","",
"300150000","01502667","KANVAS REM F/R ROCKY","","","","",
"300150000","01502668","KAP MOTOR","","","","",
"300150000","01502669","KAPEL INJECTION","","","","",
"300150000","01502670","KAPER HUB ACLE","","","","",
"300150000","01502671","KAPER SHEET","","","","",
"300150000","01502672","KAPILER KIT ROCKY","","","","",
"300150000","01502673","KARASORY KAYU","","","","",
"300150000","01502674","KARD RIMEND CONTROL","","","","",
"300150000","01502675","KARET ABSORBER DEPAN BELAKANG","","","","",
"300150000","01502676","KARET BANTALAN PER BLK ELF","","","","",
"300150000","01502677","KARET BANTALAN VEL BLK","","","","",
"300150000","01502678","KARET BODY","","","","",
"300150000","01502680","KARET BOSH VEER","","","","",
"300150000","01502681","KARET BRAKE","","","","",
"300150000","01502682","KARET BRIGHT","","","","",
"300150000","01502683","KARET BUMPER","","","","",
"300150000","01502684","KARET DUDUKAN BODY","","","","",
"300150000","01502685","KARET DUDUKAN KNALPOT","","","","",
"300150000","01502686","KARET DUDUKAN MESIN","","","","",
"300150000","01502687","KARET DUDUKAN PERSENELING","","","","",
"300150000","01502688","KARET EXPANTION JOINT","","","","",
"300150000","01502689","KARET GANTUNGAN HAPEL","","","","",
"300150000","01502690","KARET GANTUNGAN KNALPOT","","","","",
"300150000","01502691","KARET GANTUNGAN KOPEL","","","","",
"300150000","01502692","KARET GAYORAN HAVEL","","","","",
"300150000","01502693","KARET HANGER","","","","",
"300150000","01502694","KARET HAPEL","","","","",
"300150000","01502695","KARET JOK D/B","","","","",
"300150000","01502696","KARET KABIN","","","","",
"300150000","01502697","KARET KABIN BULAT","","","","",
"300150000","01502698","KARET KABIN SEGI","","","","",
"300150000","01502699","KARET KACA","","","","",
"300150000","01502700","KARET KACA BELAKANG","","","","",
"300150000","01502701","KARET KACA DEPAN","","","","",
"300150000","01502702","KARET KACA PINTU LHRH DALAM","","","","",
"300150000","01502703","KARET KACA PINTU LHRH LUAR","","","","",
"300150000","01502704","KARET KACA STRIP DALAM LHRH","","","","",
"300150000","01502705","KARET KACA VENTILASI LHRH","","","","",
"300150000","01502706","KARET KAP","","","","",
"300150000","01502707","KARET KAP MESIN","","","","",
"300150000","01502708","KARET KOHEL","","","","",
"300150000","01502709","KARET LIST KACA DALAM TAFT GT","","","","",
"300150000","01502710","KARET LIST KACA LUAR TAFT GT","","","","",
"300150000","01502711","KARET LIST PINTU TAFT GT","","","","",
"300150000","01502831","KUL STARTER PS","","","","",
"300150000","01502986","LAMPU SEN","","","","",
"300150000","01502987","LAMPU SERI","","","","",
"300150000","01502989","LAP KLT YAPAN INDEPNDN","","","","",
"300150000","01502990","LAP KUMPON KIT","","","","",
"300150000","01502991","LATEX","","","","",
"300150000","01502992","LAVER ASM RELAY","","","","",
"300150000","01502993","LEST MAIN CLUTH","","","","",
"300150000","01502994","LEVER ARM LINKAGE","","","","",
"300150000","01502995","LEVER ASM RELAY","","","","",
"300150000","01502996","LEVER AUTOMATIC ADJUSTER L/R","","","","",
"300150000","01502997","LEVER SUB ASSY PARKING BRAKE SHOES INDF","","","","",
"300150000","01502998","LEVERKIT COUPLING","","","","",
"300150000","01502999","LIDAH BAN","","","","",
"300150000","01503000","LIDAH DINAMO STATER HILINE","","","","",
"300150000","01503001","LINING BREAK","","","","",
"300150000","01503002","LINK ASSY WINDSHIELD","","","","",
"300150000","01503003","LIQUIDE TUBE GENIUNE","","","","",
"300150000","01503004","LIS BEMPER","","","","",
"300150000","01503005","LIS KACA DPN","","","","",
"300150000","01503006","LIS PINTU TAFT F 75","","","","",
"300150000","01503007","LOADER INJEKTION PUMP","","","","",
"300150000","01503008","LOADING BALANCE (Timbangan 2.000 Grm)","","","","",
"300150000","01503009","LOCK NUT 4","","","","",
"300150000","01503010","LOCK PLAT CAP","","","","",
"300150000","01503011","LOCK POWER WINDOWS","","","","",
"300150000","01503012","LOCK RING","","","","",
"300150000","01503013","LOCK SPRING PIN","","","","",
"300150000","01503014","LOCK WASHER","","","","",
"300150000","01503015","LOGO DAIHATSU","","","","",
"300150000","01503016","LOGO POLRES","","","","",
"300150000","01503018","LONG DRAK LINK ROCKY","","","","",
"300150000","01503019","LONG DRAKLING","","","","",
"300150000","01503020","LONG DRAKLING ASSY ELF","","","","",
"300150000","01503021","LONG DRAKLINK","","","","",
"300150000","01503022","LONG STEER","","","","",
"300150000","01503023","LONG STIR ISUZU ELF","","","","",
"300150000","01503024","LONG TIE ROAD ROCKY","","","","",
"300150000","01503025","LONG TIE ROD","","","","",
"300150000","01503026","LONG TIE ROD DRAKLING","","","","",
"300150000","01503027","LONG TIE ROD STIR","","","","",
"300150000","01503028","LONG TIEROAD PS.100","","","","",
"300150000","01503029","LONG TIEROD RANGER","","","","",
"300150000","01503030","LONG&SHORT TIE ROD","","","","",
"300150000","01503031","LOOSE LEAF","","","","",
"300150000","01503032","LOW SPEED ROLL CTC","","","","",
"300150000","01503033","MACHINE CAM KIT","","","","",
"300150000","01503034","MAGNETIC POWER MAC","","","","",
"300150000","01503036","MAIN BEARING + CONROD BEARING","","","","",
"300150000","01503037","MAIN CONTACK GM 20 NS AC I-135","","","","",
"300150000","01503038","MAIN SHAFT ( SESUAI CONTOH )","","","","",
"300150000","01503039","MAIN SHAFT BUSHING","","","","",
"300150000","01503040","MAIN SHAFT T.20","","","","",
"300150000","01503041","MASTER CENTRAL REM","","","","",
"300150000","01503042","MASTER CLUTCH ASSY","","","","",
"300150000","01503043","MASTER COPLING ATS","","","","",
"300150000","01503044","MASTER COPLING BWH HINO","","","","",
"300150000","01503046","MASTER COUPLING ATAS","","","","",
"300150000","01503047","MASTER COUPLING ATAS ASSY ISUZU","","","","",
"300150000","01503048","MASTER COUPLING ATAS C/D","","","","",
"300150000","01503049","MASTER COUPLING BAWAH","","","","",
"300150000","01503050","MASTER COUPLING BAWAH T DYNA","","","","",
"300150000","01503051","MASTER COUPLING BWH PANTHER","","","","",
"300150000","01503052","MASTER KOPLING","","","","",
"300150000","01503053","MASTER KOPLING ATAS ELF","","","","",
"300150000","01503054","MASTER KOPLING ATAS NKR 66","","","","",
"300150000","01503055","MASTER KOPLING BAWAH","","","","",
"300150000","01503056","MASTER KOPLING BAWAH ELF","","","","",
"300150000","01503057","MASTER KOPLING BAWAH NKR 66","","","","",
"300150000","01503058","MASTER LOCKS","","","","",
"300150000","01503059","MASTER MIXER","","","","",
"300150000","01503060","MASTER REM","","","","",
"300150000","01503061","MASTER REM ASSY","","","","",
"300150000","01503062","MASTER REM ATAS RANGER","","","","",
"300150000","01503063","MASTER REM BLK ASSY","","","","",
"300150000","01503064","MASTER REM RODA BELAKANG","","","","",
"300150000","01503065","MASTER REM RODA DPN","","","","",
"300150000","01503066","MASTER REM SENTRAL","","","","",
"300150000","01503067","MASTER RODA ASSY","","","","",
"300150000","01503068","MASTER RODA BLK ASSY","","","","",
"300150000","01503069","MASTER SENTRAL REM","","","","",
"300150000","01503070","MASTERIAL HOSE","","","","",
"300150000","01503071","MASUHA","","","","",
"300150000","01503072","MATGLAS 2000 CC","","","","",
"300150000","01503073","METAL DUDUK 005","","","","",
"300150000","01503074","METAL DUDUK PS 100","","","","",
"300150000","01503075","METAL DUDUK STANDAR","","","","",
"300150000","01503076","METAL DUDUK STD","","","","",
"300150000","01503077","METAL DUDUK TRUCK PS.100","","","","",
"300150000","01503078","METAL JALAN 020","","","","",
"300150000","01503079","METAL JALAN MS. LISTER","","","","",
"300150000","01503080","METAL JALAN STD","","","","",
"300150000","01503081","METAL JALAN TRUCK PS.100","","","","",
"300150000","01503204","OIL SEAL KIPAS","","","","",
"300150000","01503360","PER DOUBLE NO.2 PS100","","","","",
"300150000","01503361","PER DOUBLE NO.3 PS100","","","","",
"300150000","01503362","PER DOUBLE NO.4 PS100","","","","",
"300150000","01503363","PER DPN NO 3 PS 120","","","","",
"300150000","01503364","PER DPN NO. 1","","","","",
"300150000","01503365","PER DPN NO.03 ISUZU ELF","","","","",
"300150000","01503366","PER DPN NO.1 ISUZU ELF","","","","",
"300150000","01503367","PER DPN NO.1 PS 120","","","","",
"300150000","01503368","PER DPN NO.1 T.DYNA","","","","",
"300150000","01503369","PER DPN NO.2 ISUZU ELF","","","","",
"300150000","01503370","PER DPN NO.2 PS 120","","","","",
"300150000","01503371","PER DPN NO.2 T.DYNA","","","","",
"300150000","01503372","PER DPN NO.3 T DYNA","","","","",
"300150000","01503373","PER DPN T DYNA 2005 NO.2","","","","",
"300150000","01503374","PER DPN T DYNA 2005 NO.3","","","","",
"300150000","01503375","PER DRAKLING","","","","",
"300150000","01503376","PER DRUK LAGER","","","","",
"300150000","01503377","PER ELEVATOR","","","","",
"300150000","01503378","PER EXTRA DOUBLE","","","","",
"300150000","01503379","PER EXTRA NO.1","","","","",
"300150000","01503380","PER EXTRA NO.2","","","","",
"300150000","01503381","PER EXTRA NO.3","","","","",
"300150000","01503382","PER EXTRA NO.4","","","","",
"300150000","01503383","PER EXTRA NO.5","","","","",
"300150000","01503384","PER EXTRA NO.6","","","","",
"300150000","01503385","PER KASON","","","","",
"300150000","01503386","PER KLEP","","","","",
"300150000","01503387","PER KOOPLING MESIN RUMPUT","","","","",
"300150000","01503388","PER KOPLING","","","","",
"300150000","01503389","PER PIRODO","","","","",
"300150000","01503390","PER PIRODO BESAR","","","","",
"300150000","01503391","PER PIRODO BLK","","","","",
"300150000","01503392","PER PIRODO DEPAN","","","","",
"300150000","01503393","PER PIRODO INTER COOLER","","","","",
"300150000","01503394","PER PIRODO KECIL","","","","",
"300150000","01503395","PER SETELAN ROLL","","","","",
"300150000","01503396","PER SPROCKET","","","","",
"300150000","01503397","PER STARTER","","","","",
"300150000","01503398","PER VIBREK 3/8 X 4 CM","","","","",
"300150000","01503399","PER VIRODO DEPAN HINO","","","","",
"300150000","01503400","PERB.KAKI DUDUKAN LAGER","","","","",
"300150000","01503401","PERBAIKAN JOCK/GANTI JOCK","","","","",
"300150000","01503402","PERBANDING 10 M/2","","","","",
"300150000","01503403","PERINCIAN OBAT","","","","",
"300150000","01503404","PERNIS/PENGENCER TINTA KARUNG","","","","",
"300150000","01503405","PERPAC CYL HEAD SIZU PK","","","","",
"300150000","01503406","PERPAK","","","","",
"300150000","01503407","PERPAK CARTER","","","","",
"300150000","01503408","PETRI DISK","","","","",
"300150000","01503409","PEWANGI","","","","",
"300150000","01503410","PEWANGI AMBIPUR","","","","",
"300150000","01503411","PEWANGI IDEALIFE","","","","",
"300150000","01503412","PEWANGI STELA REFILL","","","","",
"300150000","01503413","PIECES","","","","",
"300150000","01503414","PIN THREAD MAISA","","","","",
"300150000","01503415","PINIL JATI","","","","",
"300150000","01503416","PINSET ANATOMIS","","","","",
"300150000","01503417","PINTU BELAKANG","","","","",
"300150000","01503418","PINTU KAYU PANEL","","","","",
"300150000","01503419","PIPA ZET OLI","","","","",
"300150000","01503420","PIPE BLOCK VAL PUMP","","","","",
"300150000","01503421","PIPE CONECTION SUB ASSY","","","","",
"300150000","01503422","PIPE HUB PUMP SUB ASSY","","","","",
"300150000","01503423","PIPE INJECTOR PUMP","","","","",
"300150000","01503424","PIPET VOLUME 25 ML","","","","",
"300050000","00503961","KUNCI ETALASE","","","","",
"300050000","00503962","RENG BAMBU","","","","",
"300050000","00503963","ASBES GELOMBANG 210X105 CM","","","","",
"300050000","00503964","ASBES GLOMBANG","","","","",
"300050000","00503965","BESI BETON 8 MM","","","","",
"300050000","00503966","BATA TAHAN API","","","","",
"300050000","00503967","KACA 3MM 60X142CM","","","","",
"300050000","00503968","KACA 3MM 59X119CM","","","","",
"300050000","00503969","KASO 5/10X300CM JENGJING","","","","",
"300050000","00503970","KACA 50X100CM 3MM","","","","",
"300050000","00503971","KACA 22X39.5CM 3MM","","","","",
"300050000","00503972","PLASTIK MIKA UK.0,30 MM","","","","",
"300050000","00503973","KASO 5/7X400 BORNEO SUPER","","","","",
"300050000","00503974","PLAT ALUMUNIUM 0,5X120X240","","","","",
"300050000","00503975","KAWAT BORONJONG 80X200CM","","","","",
"300050000","00503976","IJUK","","","","",
"300050000","00503977","KAWAT AYAK 0.5CM","","","","",
"300050000","00503978","KAWAT HARMONIKA LEBAR 2 M","","","","",
"300050000","00503979","BALOK ALBAZIA","","","","",
"300050000","00503982","PAPAN 3/20X300CM","","","","",
"300050000","00503983","ENGSEL PINTU 4""","","","","",
"300050000","00503984","BESI BETON EZZER 15 MM","","","","",
"300050000","00503985","KACA ES 3MM 71.5X20CM","","","","",
"300050000","00503986","KACA ES 3MM 67X15CM","","","","",
"300050000","00503987","KACA POLOS 3MM 46.5X77.5CM","","","","",
"300050000","00503988","ENGSEL JENDELA RCH","","","","",
"300050000","00503989","BALOK 5/10X4M BORNEO","","","","",
"300050000","00503990","PASIR PASANG","","","","",
"300050000","00503991","METERAN BESAR","","","","",
"300050000","00503992","HAMPLAS DUCO CC 800","","","","",
"300050000","00503993","HAMPLAS DUCO AA 1000","","","","",
"300050000","00503994","SENG PLAT BJLS 20/60","","","","",
"300050000","00503995","SKRUP GANTUNG","","","","",
"300050000","00503996","KUNCI SLOT BIASA","","","","",
"300050000","00503997","BESI SIKU 2X20MM","","","","",
"300050000","00503998","TAMBANG PLASTIK 12MM","","","","",
"300050000","00503999","HAMPLAS DUCO CC 320 CW","","","","",
"300050000","00504000","MELAMIN","","","","",
"300050000","00504001","PAKU BIRIT 1","","","","",
"300050000","00504002","KAWAT HARMONIKA 1 1.5 M","","","","",
"300050000","00504003","ENGSEL KUPU-KUPU 10 CM","","","","",
"300050000","00504004","HAMPLAS NO. 2","","","","",
"300050000","00504005","TEAK BLOK","","","","",
"300050000","00504006","TARIKAN LEMARI STAINLESS","","","","",
"300050000","00504007","SIKU KALASORI","","","","",
"300050000","00504008","SKRUP 2","","","","",
"300050000","00504009","SKRUP DRAT KASAR 2MM","","","","",
"300050000","00504010","KUNCI SLOT LEMARI ( TIPIS )","","","","",
"300050000","00504011","SKRUP KAYU 1","","","","",
"300050000","00504012","KACA 15 X 57.2 5MM","","","","",
"300050000","00504013","KACA RIBEN 15X57.2 5MM","","","","",
"300050000","00504014","SKRUP 1,5","","","","",
"300050000","00504016","BALOK 8/12X400CM KAMPER","","","","",
"300050000","00504017","PAPAN JENGJENG","","","","",
"300050000","00504018","PAPAN 3/30X400CM KAMPER","","","","",
"300050000","00504019","PAKU BETON 4 CM","","","","",
"300050000","00504020","PAKU BETON 5 CM + 7 CM","","","","",
"300050000","00504021","PAPAN 2/20X4M BORNEO","","","","",
"300050000","00504022","BESI HOLLOW 20X20X1,8X6","","","","",
"300050000","00504023","BESI BETON 14 MM","","","","",
"300050000","00504024","PAPAN 35X3X400","","","","",
"300050000","00504025","KACA BENING 5MM 94X63CM","","","","",
"300050000","00504026","PLASTIK COR BETON","","","","",
"300050000","00504027","ATAP ILALANG/EURIH","","","","",
"300050000","00504028","SENG ALMUNIUM","","","","",
