"JnsTunjangan","kdjabatan","nmjabatan",
"Sansos","040510002","MANAJER GRUP KOMODITI NON TEH",
"Sansos","040700004","GENERAL MANAGER QUALITY CONTROL",
"Sansos","040701022","Kepala Bidang Tanaman",
"Sansos","040703022","Kepala Bidang Administrasi",
"Sansos","051101001","MANAJER INDUSTRI HILIR TEH",
"Sansos","051101206","Asisten Kepala Produksi",
"Sansos","051102205","Asisten Kepala Sarana & Prasaran",
"Sansos","051102305","Asisten Kepala Umum",
"Sansos","051103003","Staf Setara Manajer Aneka Usha",
"Sansos","051103004","MANAJER ANEKA USAHA",
"Sansos","051103010","Pjs.MANAJER ANEKA USAHA",
"Sansos","051103205","Asisten Kepala Produksi",
"Sansos","051103206","Pjs.Asisten Kepala Produksi",
"Sansos","051103305","Asisten Kepala Umum",
"Sansos","082000000","MANAJER AGROWISATA",
"Sepeda Motor","060500011","Asisten Afdeling",
"Sepeda Motor","060500015","Pjs.Asisten Afdeling",
"Struktural","040510001","MANAJER GRUP KOMODITI TEH",
"Struktural","040510002","MANAJER GRUP KOMODITI NON TEH",
"Struktural","040700004","GENERAL MANAGER QUALITY CONTROL",
"Struktural","051100000","GENERAL MANAGER INDUSTRI HILIR TERPADU",
"Struktural","051101001","MANAJER INDUSTRI HILIR TEH",
"Struktural","051102000","MANAGER AGROWISATA",
"Struktural","051103003","Staf Setara Manajer Aneka Usha",
"Struktural","051103004","MANAJER ANEKA USAHA",
"Struktural","060000003","MANAJER",
"Struktural","060000004","Pjs.MANAJER",
"Struktural","081000000","MANAJER INDUSTRI HILIR",
"Struktural","082000000","MANAJER AGROWISATA",
"Struktural","084000000","MANAJER PETERNAKAN",
"Struktural","085000000","ADMINISTRATUR ANTAN",
"Khusus","040701022","Kepala Bidang Tanaman",
"Khusus","040703022","Kepala Bidang Administrasi",
"Khusus","040705000","Kepala Bidang Teknik & Pengolahan",
"Khusus","051101206","Asisten Kepala Produksi",
"Khusus","051101300","Asisten Manager Bidang Umum",
"Khusus","051102305","Asisten Kepala Umum",
"Khusus","051103105","Asisten Kepala Pemasaran",
"Khusus","051103205","Asisten Kepala Produksi",
"Khusus","051103206","Pjs.Asisten Kepala Produksi",
"Khusus","051103305","Asisten Kepala Umum",
"Khusus","051103306","Pjs.Asisten Kepala Umum",
"Khusus","060001001","Asisten Kepala",
"Khusus","060001002","Pjs.Asisten Kepala",
"Khusus","060100002","Masinis Kepala",
"Khusus","060200009","Pjs.Kepala Pabrik",
"Khusus","082001000","Wakil Manajer Unit II",
"Khusus","082002000","Wakil Manajer Unit I",
"Khusus","090102002","Staf Setara Kaur",
