"GOLBARU","GOL","KDGOL","MK","GPO","T_TETAP","B_PERSH","B_PRIB","A_PERSH","A_PRIB","PIP_PERS","PIP_PRIB",
"0100","IA","01","00","1089000","363000","23071","17325","10435","4597","23071","17325",
"0101","IA","01","01","1091000","364000","23225","17440","10505","4628","23225","17440",
"0102","IA","01","02","1093000","365000","23378","17555","10574","4658","23378","17555",
"0103","IA","01","03","1096000","366000","23531","17670","10643","4689","23531","17670",
"0104","IA","01","04","1098000","367000","23684","17785","10713","4719","23684","17785",
"0105","IA","01","05","1099000","368000","23837","17900","10782","4750","23837","17900",
"0106","IA","01","06","1101000","369000","23991","18015","10851","4780","23991","18015",
"0107","IA","01","07","1104000","370000","24143","18130","10920","4811","24143","18130",
"0108","IA","01","08","1105000","371000","24297","18245","10990","4841","24297","18245",
"0109","IA","01","09","1108000","380000","24450","18360","11059","4872","24450","18360",
"0110","IA","01","10","1109000","381000","24603","18475","11128","4902","24603","18475",
"0111","IA","01","11","1111000","382000","24757","18590","11198","4933","24757","18590",
"0112","IA","01","12","1113000","383000","24909","18705","11267","4963","24909","18705",
"0113","IA","01","13","1114000","384000","25063","18820","11336","4994","25063","18820",
"0114","IA","01","14","1117000","385000","25216","18935","11405","5024","25216","18935",
"0115","IA","01","15","1118000","386000","25369","19050","11475","5055","25369","19050",
"0200","IB","02","00","1162000","387000","25523","19166","11544","5085","25523","19166",
"0201","IB","02","01","1167000","389000","25964","19497","11744","5173","25964","19497",
"0202","IB","02","02","1173000","391000","26405","19828","11943","5261","26405","19828",
"0203","IB","02","03","1177000","392000","26846","20160","12143","5349","26846","20160",
"0204","IB","02","04","1184000","395000","27288","20491","12342","5437","27288","20491",
"0205","IB","02","05","1206000","402000","27729","20822","12542","5525","27729","20822",
"0206","IB","02","06","1226000","409000","28170","21154","12741","5613","28170","21154",
"0207","IB","02","07","1249000","416000","28611","21485","12941","5701","28611","21485",
"0208","IB","02","08","1270000","423000","29053","21816","13141","5789","29053","21816",
"0209","IB","02","09","1292000","431000","29494","22148","13340","5877","29494","22148",
"0210","IB","02","10","1315000","438000","29935","22479","13540","5965","29935","22479",
"0211","IB","02","11","1335000","445000","30376","22810","13739","6053","30376","22810",
"0300","IC","03","00","1294000","431000","28611","21485","12941","5701","28611","21485",
"0301","IC","03","01","1305000","435000","29113","21862","13168","5801","29113","21862",
"0302","IC","03","02","1315000","438000","29616","22239","13395","5901","29616","22239",
"0303","IC","03","03","1324000","441000","30118","22617","13623","6001","30118","22617",
"0304","IC","03","04","1334000","445000","30620","22994","13850","6101","30620","22994",
