"KRBB","Norek","NamaRekening",
"003","043010100","PEGAWAI STAF",
"003","043020000","PEGAWAI NON STAF / KARYAWAN",
"003","043190000","PERUMAHAN LAINNYA",
"004","044010000","BANGUNAN PABRIK",
"004","044020000","BANGUNAN KANTOR",
"004","044030000","BANGUNAN GUDANG",
"004","044040000","BANGUNAN BENGKEL",
"004","044050000","BANGUNAN GARASI",
"004","044060000","BANGUNAN INSTALASI",
"004","044070000","BANGUNAN RUMAH SAKIT DAN POLIKLINIK",
"004","044080000","BANGUNAN SOSIAL",
"004","044090000","BANGUNAN HOTEL",
"004","044100000","PESANGGRAHAN",
"004","044190000","BANGUNAN LAIN-LAIN",
"005","045010000","MESIN DAN PERLENGKAPAN PABRIK",
"005","045020000","INSTALASI PABRIK",
"006","046010000","JALAN",
"006","046020000","JEMBATAN",
"006","046030000","SALURAN AIR",
"006","046040000","JALAN REL",
"006","046190000","LAIN-LAIN",
"007","047010000","KENDARAAN PENUMPANG",
"007","047020000","KENDARAAN TRUK",
"007","047030000","TRAKTOR",
"007","047040000","GANDENGAN",
"007","047050000","SEPEDA MOTOR",
"007","047190000","LAIN-LAIN",
"008","048010000","MESIN-MESIN DAN PERLENGKAPAN PERTANIAN",
"008","048020000","PERABOT DAN PERLENGKAPAN KANTOR",
"008","048030000","PERABOT DAN PERLENGKAPAN RUMAH STAF",
"008","048040000","ALAT-ALAT DAN PERLENGKAPAN RUMAH SAKIT",
"008","048050000","PERABOT DAN PERLENGKAPAN KANTOR PABRIK",
"008","048060000","ALAT-ALAT DAN PERLENGKAPAN BENGKEL",
"008","048070000","PERLENGKAPAN KANTOR KEBUN",
"008","048080000","PERLENGKAPAN LABORATORIUM",
"008","048090000","ALAT-ALAT DAN PERLENGKAPAN HOTEL",
"008","048190000","LAIN-LAIN",
"011","049010000","SERTIFIKAT HGU",
"011","049060000","BIAYA PATOK",
