"kodeunit","struktural","jabatan","khusus","peralihan",
"71","060000000","060000000","","",
"71","","060100001","060100001","",
"71","","060400002","","",
"71","","060500002","","",
"71","","060200002","","",
"71","","060400010","","",
"71","","060500005","","",
"71","","060523100","","",
"71","","060400100","","",
"71","","060401100","","",
"71","","060402100","","",
"71","","060403100","","",
"71","","060404100","","",
"71","","060405100","","",
"71","","060406100","","",
"71","","060525100","","",
"71","","060321100","","",
"71","","060320127","","",
