"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK",
"71","02-01-2017 00:00:00","07:42:35","A53201701-00001","A53201701-V00001","02-01-2017 00:00:00","","Bagian Tekpol","Cibungur","","00","001","00202706","0","186","False","1","3290000","196190000","","0","","","","07-01-2017 00:00:00","sutarja","","01",
"71","02-01-2017 00:00:00","07:43:48","A53201701-00002","A53201701-V00002","02-01-2017 00:00:00","","Bagian tanaman","Cibungur","","00","001","00100008","0","1500","False","1","3750000","196190000","","0","","","","07-01-2017 00:00:00","sutarja","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00100007","0","5410","False","","33812500","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00100007","0","-1250","False","","-7812500","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00100008","0","488","False","","1219999,99308819","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00100008","0","-211","False","","-527500","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00100081","0","3105","False","","19778237,9317453","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201101","0","14941,41","False","","87724513,4811486","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201101","0","-14503","False","","-85150506,1137264","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201103","0","9483","False","","64597164,663648","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201103","0","-9423","False","","-64188451,2254331","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201105","0","256","False","","1536000","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201105","0","-256","False","","-1536000","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201106","0","15981","False","","107072700","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201106","0","-15543","False","","-104138100","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201107","0","4487","False","","15749370","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201107","0","-2273","False","","-7978230","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","02",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201113","0","13455","False","","12835725,0525541","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201114","0","12600","False","","90090000","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201116","0","1022,5","False","","7837462,42693111","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201140","0","167","False","","1395576","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201152","0","57050","False","","336595000","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201153","0","53548","False","","326642799,829322","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201154","0","6823","False","","43485460,7241519","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201201","0","32","False","","918000","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201304","0","2300","False","","6292800","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
"71","01-01-2017 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00201410","0","225952","False","","384118400","","","0","","","","07-01-2017 08:00:16","TUTUP_BUKU","","01",
